,mine_status,creation_date_x,updation_date_x,Mine,creation_date_y,updation_date_y,County,creation_date_x,updation_date_x,Province,creation_date_y,updation_date_y,rsdatabase_id,index,tonnesproduced,gradeal2o3,asa,miningscale,mineautolevel,minetypeopenpit,minetypeunderground,depthopenpit,depthunderground,StrippingRatioOpenPit,strippingratiounderground,dressingautolevel,distanceopenpit,distanceunderground,localtaxandfees,distance,dressingratio,empty
27,Operational,,2020-08-22 21:52:46.720,County Total,,,Wulong,,,Chongqing,,,37,35,347.9696257,0.616214108,6.448240886,3,2,0,1,0,110.6712755,0,0.5,2,0,20,30,0,0,0
28,Operational,,2020-08-22 21:52:46.720,County Total,,,Chongzuo,,,Chongqing,,,38,36,218.0360176,0.563709812,5.228765189,1,2,0,1,0,110.6712755,0,0.5,2,0,20,30,0,0,0
29,Operational,,2020-08-22 21:52:46.720,County Total,,,Tianyang,,,Guizhou,,,44,42,242.3846949,0.664,6.9,1,1,1,0,43.65787504,0,0,0,1,5,0,30,0,0,0
30,Operational,,2020-08-22 21:52:46.720,County Total,,,Longli,,,Guangxi,,2020-08-13 10:46:45.210,45,43,886.7134065,0.5,5,3,2,1,0,22.6753034,0,0,0,2,26,0,25,0,2,0
31,Operational,,2020-08-22 21:52:46.720,County Total,,,Guiyang,,,Guizhou,,,49,47,201.6440541,0.65,6.7,1,1,1,0,53.65787504,0,7.154383339,0,1,5,0,30,0,0,0
32,Operational,,2020-08-22 21:52:46.720,County Total,,,Huangping,,,Guizhou,,,50,48,617.882999,0.663537512,6.742442304,1,1,0,1,0,133.657875,0,2.6,1,15,15,30,0,0,0
33,Operational,,2020-08-22 21:52:46.720,County Total,,,Kaili,,,Guizhou,,,51,49,493.2649734,0.6811,6.8,1,1,1,0,53.65787504,0,7.154383339,0,1,5,0,30,0,0,0
34,Operational,,2020-08-22 21:52:46.720,County Total,,,Kaiyang,,,Guizhou,,,52,50,799.7092209,0.633358857,6.649060347,1,1,1,0,53.65787504,0,8.942979174,0,1,5,0,30,0,0,0
35,Operational,,2020-08-22 21:52:46.720,County Total,,,Weng'an,,,Guizhou,,,53,51,396.3401987,0.691590604,7.67667196,1,1,0.5,0.5,53.65787504,133.657875,5.365787504,2.1,1,5,5,30,0,0,0
36,Operational,,2020-08-22 21:52:46.720,County Total,,,Xifeng,,,Guizhou,,,55,53,165.901262,0.6041,7,1,1,1,0,53.65787504,0,7.154383339,0,1,0,0,30,0,0,0
37,Operational,,2020-08-22 21:52:46.720,County Total,,,Tongzi,,,Guizhou,,,57,55,63.43211347,0.6241,4.4,1,1,0.5,0.5,33.65787504,133.657875,6.731575008,2.4,1,0,0,30,0,0,0
38,Operational,,2020-08-22 21:52:46.720,County Total,,,Zhijin,,,Guizhou,,,58,56,1724.504934,0.645132763,5.66291595,1,1,1,0,33.65787504,0,16.82893752,0,1,5,0,30,8,0,0
39,Operational,,2020-08-22 21:52:46.720,County Total,,,Baofeng,,,Guizhou,,,59,57,5.640642908,0.591172029,5.984797468,1,1,1,0,38.65787504,0,11.59736251,0,1,5,0,30,0,0,0
40,Operational,,2020-08-22 21:52:46.720,County Total,,,Hubin,,,Guizhou,,,60,58,153.9304012,0.6578,8.06,1,1,0,1,0,0,0,0,1,0,0,30,0,0,0
41,Operational,,2020-08-22 21:52:46.720,County Total,,,Jiyuan,,,Henan,,,62,60,727.0377984,0.613675413,4.783374175,1,2,1,0,87.66867585,0,11.68915678,0,2,12,0,27.25,0,0,0
42,Operational,,2020-08-22 21:52:46.720,County Total,,,Ruyang,,,Henan,,,65,63,145.6149543,0.6,4,1,2,1,0,77.66867585,0,23.30060275,0,2,0,0,27.25,0,0,0
