domestic_price_data_id,date,Shanxi 4.5 - 5.0,Henan 4.0 - 5.0,Guizhou 5.5 - 6.5,creation_date,updation_date
1,07-07-2017,365,345.833,250,,2020-08-18 04:09:50.230
2,14-07-2017,0,330.833,250,,
3,21-07-2017,0,330.833,250,,
4,28-07-2017,0,330.833,250,,
5,04-08-2017,0,363.333,250,,
6,11-08-2017,0,363.333,250,,
7,18-08-2017,0,363.333,250,,
8,25-08-2017,0,361.667,250,,
9,01-09-2017,0,361.667,250,,
10,08-09-2017,390,382.5,0,,
11,15-09-2017,382.5,382.5,0,,
12,22-09-2017,382.5,382.5,0,,
13,29-09-2017,382.5,382.5,0,,
14,06-10-2017,382.5,382.5,0,,
15,13-10-2017,380,357.5,0,,
16,20-10-2017,390,377.5,0,,
17,27-10-2017,390,397.5,0,,
18,03-11-2017,390,417.5,265,,
19,10-11-2017,430,492.5,262.5,,
20,17-11-2017,430,492.5,302.5,,
21,24-11-2017,430,482.5,302.5,,
22,01-12-2017,430,482.5,302.5,,
23,08-12-2017,430,478.333,302.5,,
24,15-12-2017,400,398.333,282.5,,
25,22-12-2017,400,388.333,282.5,,
26,29-12-2017,400,388.333,282.5,,
27,05-01-2018,365,370,280,,
28,12-01-2018,365,370,280,,
29,19-01-2018,365,370,280,,
30,26-01-2018,365,370,280,,
31,02-02-2018,365,370,280,,
32,09-02-2018,365,370,280,,
33,16-02-2018,365,370,280,,
34,23-02-2018,365,370,275,,
35,02-03-2018,365,361.667,265,,
36,09-03-2018,375,381.667,295,,
37,16-03-2018,375,381.667,290,,
38,23-03-2018,375,381.667,290,,
39,30-03-2018,375,381.667,290,,
40,06-04-2018,375,381.667,290,,
41,13-04-2018,402.5,416.667,290,,
42,20-04-2018,402.5,416.667,290,,
43,27-04-2018,402.5,416.667,297.5,,
44,04-05-2018,0,0,0,,
45,11-05-2018,0,0,0,,
46,18-05-2018,0,0,0,,
47,25-05-2018,0,0,0,,
48,01-06-2018,0,0,0,,
49,08-06-2018,0,0,0,,
50,15-06-2018,0,0,0,,
51,22-06-2018,0,0,0,,
52,29-06-2018,0,0,0,,
53,06-07-2018,0,0,0,,
54,13-07-2018,0,0,0,,
55,20-07-2018,0,0,0,,
56,27-07-2018,0,0,0,,
57,03-08-2018,0,0,0,,
58,10-08-2018,0,0,0,,
59,17-08-2018,0,0,0,,
60,24-08-2018,0,0,0,,
61,31-08-2018,0,0,0,,
62,07-09-2018,0,0,0,,
63,14-09-2018,0,0,0,,
64,21-09-2018,0,0,0,,
65,28-09-2018,0,0,0,,
66,05-10-2018,0,0,0,,
67,12-10-2018,0,0,0,,
68,19-10-2018,0,0,0,,
69,26-10-2018,0,0,0,,
70,02-11-2018,0,0,0,,
71,09-11-2018,0,0,0,,
72,16-11-2018,0,0,0,,
73,23-11-2018,0,0,0,,
74,30-11-2018,0,0,0,,
75,07-12-2018,0,0,0,,
76,14-12-2018,0,0,0,,
77,21-12-2018,0,0,0,,
78,28-12-2018,0,0,0,,
79,04-01-2019,0,0,0,,
80,11-01-2019,0,0,0,,
81,18-01-2019,0,0,0,,
82,25-01-2019,0,0,0,,
83,15-02-2019,0,0,0,,
84,22-02-2019,0,0,0,,
85,01-03-2019,0,0,0,,
86,08-03-2019,0,0,0,,
87,15-03-2019,0,0,0,,
88,22-03-2019,0,0,0,,
89,29-03-2019,0,0,0,,
90,05-04-2019,0,0,0,,
91,12-04-2019,0,0,0,,
92,19-04-2019,0,0,0,,
93,26-04-2019,0,0,0,,
94,03-05-2019,0,0,0,,
95,10-05-2019,0,0,0,,
96,17-05-2019,0,0,0,,
97,24-05-2019,0,0,0,,
98,31-05-2019,0,0,0,,
99,07-06-2019,0,0,0,,
100,14-06-2019,0,0,0,,
101,21-06-2019,0,0,0,,
102,28-06-2019,0,0,0,,
103,05-07-2019,0,0,0,,
104,12-07-2019,0,0,0,,
105,19-07-2019,0,0,0,,
106,26-07-2019,0,0,0,,
107,02-08-2019,0,0,0,,
108,09-08-2019,0,0,0,,
109,16-08-2019,0,0,0,,
110,23-08-2019,0,0,0,,
111,30-08-2019,0,0,0,,
112,06-09-2019,0,0,0,,
113,13-09-2019,0,0,0,,
114,20-09-2019,0,0,0,,
115,27-09-2019,0,0,0,,
116,04-10-2019,0,0,0,,
117,11-10-2019,0,0,0,,
118,18-10-2019,0,0,0,,
119,25-10-2019,0,0,0,,
120,01-11-2019,0,0,0,,
121,08-11-2019,0,0,0,,
122,15-11-2019,0,0,0,,
123,22-11-2019,0,0,0,,
124,29-11-2019,0,0,0,,
125,06-12-2019,0,0,0,,
126,13-12-2019,0,0,0,,
127,20-12-2019,0,0,0,,
128,27-12-2019,0,0,0,,
129,03-01-2020,0,0,0,,
130,10-01-2020,0,0,0,,
131,17-01-2020,0,0,0,,
132,24-01-2020,0,0,0,,
133,31-01-2020,0,0,0,,
134,07-02-2020,0,0,0,,
135,14-02-2020,0,0,0,,
136,21-02-2020,0,0,0,,
137,28-02-2020,0,0,0,,
138,06-03-2020,0,0,0,,
139,13-03-2020,0,0,0,,
140,20-03-2020,0,0,0,,
141,27-03-2020,0,0,0,,
142,03-04-2020,0,0,0,,
143,10-04-2020,0,0,0,,
144,17-04-2020,0,0,0,,
145,24-04-2020,0,0,0,,
146,01-05-2020,0,0,0,,
147,08-05-2020,0,0,0,,
148,15-05-2020,0,0,0,,
149,22-05-2020,0,0,0,,
150,29-05-2020,0,0,0,,
