cmaaxdata2_id,date,wacif,usdrmb,australia,wacifrmb,creation_date,updation_date
1,07-01-2011,478.889,6.6341,-,3177,,2020-08-18 04:05:26.190
2,10-01-2011,483.567,6.6349,-,3208.42,,
3,11-01-2011,483.592,6.6216,-,3202.15,,
4,12-01-2011,491.798,6.6128,-,3252.16,,
5,13-01-2011,492.992,6.5997,-,3253.6,,
6,14-01-2011,493.01,6.5896,-,3248.74,,
7,17-01-2011,488.33,6.5897,-,3217.95,,
8,18-01-2011,488.331,6.5891,-,3217.66,,
9,19-01-2011,488.332,6.5885,-,3217.38,,
10,20-01-2011,487.163,6.5883,-,3209.57,,
11,21-01-2011,487.162,6.5886,-,3209.72,,
12,24-01-2011,487.163,6.5883,-,3209.57,,
13,25-01-2011,487.163,6.5881,-,3209.48,,
14,26-01-2011,487.164,6.5878,-,3209.34,,
15,27-01-2011,485.994,6.5876,-,3201.53,,
16,28-01-2011,485.984,6.593,-,3204.09,,
17,31-01-2011,487.746,6.5891,-,3213.81,,
18,01-02-2011,488.331,6.5891,-,3217.66,,
19,02-02-2011,488.331,6.5891,-,3217.66,,
20,03-02-2011,488.331,6.5891,-,3217.66,,
21,04-02-2011,488.331,6.5891,-,3217.66,,
22,07-02-2011,488.331,6.5891,-,3217.66,,
23,08-02-2011,491.841,6.5891,-,3240.79,,
24,09-02-2011,491.849,6.585,-,3238.82,,
25,10-02-2011,497.699,6.5849,-,3277.3,,
26,11-02-2011,497.68,6.5952,-,3282.3,,
27,12-02-2011,503.53,6.5952,-,3320.88,,
28,13-02-2011,503.53,6.5952,-,3320.88,,
29,14-02-2011,503.524,6.5985,-,3322.5,,
30,15-02-2011,503.534,6.5929,-,3319.75,,
31,16-02-2011,503.548,6.5855,-,3316.11,,
32,17-02-2011,503.558,6.58,-,3313.41,,
33,18-02-2011,502.392,6.5781,-,3304.78,,
34,21-02-2011,502.406,6.5705,-,3301.06,,
35,22-02-2011,504.733,6.5772,-,3319.73,,
36,23-02-2011,504.723,6.5828,-,3322.49,,
37,24-02-2011,509.409,6.5795,-,3351.66,,
38,25-02-2011,509.416,6.5757,-,3349.77,,
39,28-02-2011,510.587,6.5752,-,3357.21,,
40,01-03-2011,510.595,6.5706,-,3354.92,,
41,02-03-2011,510.59,6.5736,-,3356.41,,
42,03-03-2011,511.767,6.5695,-,3362.06,,
43,04-03-2011,511.772,6.5671,-,3360.86,,
44,07-03-2011,511.776,6.5651,-,3359.86,,
45,08-03-2011,511.769,6.5687,-,3361.66,,
46,09-03-2011,511.758,6.5748,-,3364.7,,
47,10-03-2011,512.934,6.5713,-,3370.64,,
48,11-03-2011,512.927,6.575,-,3372.5,,
49,14-03-2011,512.936,6.5701,-,3370.04,,
50,15-03-2011,510.6,6.5679,-,3353.57,,
51,16-03-2011,508.253,6.5718,-,3340.14,,
52,17-03-2011,509.428,6.569,-,3346.44,,
53,18-03-2011,510.602,6.5668,-,3353.02,,
54,21-03-2011,510.609,6.5632,-,3351.23,,
55,22-03-2011,511.779,6.5632,-,3358.91,,
56,23-03-2011,515.295,6.5601,-,3380.39,,
57,24-03-2011,515.29,6.5625,-,3381.59,,
58,25-03-2011,515.299,6.558,-,3379.33,,
59,28-03-2011,515.292,6.5618,-,3381.24,,
60,29-03-2011,515.29,6.5625,-,3381.59,,
61,30-03-2011,514.128,6.5586,-,3371.96,,
62,31-03-2011,514.132,6.5564,-,3370.85,,
63,01-04-2011,512.962,6.5564,-,3363.18,,
64,04-04-2011,512.962,6.5564,-,3363.18,,
65,05-04-2011,512.962,6.5564,-,3363.18,,
66,06-04-2011,514.144,6.5496,-,3367.44,,
67,07-04-2011,515.322,6.5456,-,3373.09,,
68,08-04-2011,515.329,6.542,-,3371.28,,
69,11-04-2011,517.672,6.5401,-,3385.63,,
70,12-04-2011,517.665,6.544,-,3387.6,,
71,13-04-2011,517.678,6.5369,-,3384.01,,
72,14-04-2011,517.684,6.5339,-,3382.49,,
73,15-04-2011,516.521,6.5301,-,3372.93,,
74,18-04-2011,517.689,6.531,-,3381.03,,
75,19-04-2011,519.438,6.5346,-,3394.32,,
76,20-04-2011,520.032,6.5294,-,3395.5,,
77,21-04-2011,532.317,6.5294,-,3475.71,,
78,26-04-2011,532.34,6.5173,-,3469.42,,
79,27-04-2011,532.355,6.5096,-,3465.42,,
80,28-04-2011,532.363,6.5051,-,3463.07,,
81,03-05-2011,532.372,6.5002,-,3460.53,,
82,04-05-2011,532.37,6.5013,-,3461.1,,
83,05-05-2011,532.368,6.5025,-,3461.72,,
84,06-05-2011,532.363,6.5053,-,3463.18,,
85,09-05-2011,527.695,6.4988,-,3429.38,,
86,10-05-2011,530.042,6.495,-,3442.62,,
87,11-05-2011,530.043,6.4948,-,3442.52,,
88,12-05-2011,530.032,6.5005,-,3445.47,,
89,13-05-2011,527.104,6.5017,-,3427.08,,
90,16-05-2011,524.751,6.5089,-,3415.55,,
91,17-05-2011,521.237,6.5108,-,3393.67,,
92,18-05-2011,521.244,6.5074,-,3391.94,,
93,19-05-2011,521.249,6.5048,-,3390.62,,
94,20-05-2011,521.261,6.4983,-,3387.31,,
95,23-05-2011,518.918,6.4998,-,3372.86,,
96,24-05-2011,517.741,6.5038,-,3367.28,,
97,25-05-2011,517.757,6.4949,-,3362.78,,
98,26-05-2011,515.423,6.4921,-,3346.18,,
99,27-05-2011,509.577,6.4898,-,3307.05,,
100,31-05-2011,504.907,6.4845,-,3274.07,,
101,01-06-2011,506.079,6.4837,-,3281.26,,
102,02-06-2011,506.069,6.4886,-,3283.68,,
103,03-06-2011,506.077,6.4846,-,3281.71,,
104,06-06-2011,506.077,6.4846,-,3281.71,,
105,07-06-2011,503.743,6.4816,-,3265.06,,
106,08-06-2011,501.407,6.4795,-,3248.86,,
107,09-06-2011,501.4,6.483,-,3250.58,,
108,10-06-2011,501.396,6.4853,-,3251.7,,
109,13-06-2011,501.388,6.4892,-,3253.61,,
110,14-06-2011,501.401,6.4822,-,3250.18,,
111,15-06-2011,501.406,6.4796,-,3248.91,,
112,16-06-2011,501.405,6.4803,-,3249.26,,
113,17-06-2011,501.422,6.4716,-,3245,,
114,20-06-2011,500.256,6.4696,-,3236.45,,
115,21-06-2011,497.917,6.469,-,3221.02,,
116,22-06-2011,497.918,6.4683,-,3220.68,,
117,23-06-2011,496.738,6.4736,-,3215.68,,
118,24-06-2011,495.567,6.4742,-,3208.4,,
119,27-06-2011,495.567,6.4742,-,3208.4,,
120,28-06-2011,495.565,6.475,-,3208.78,,
121,29-06-2011,494.401,6.4718,-,3199.67,,
122,30-06-2011,493.232,6.4716,-,3192,,
123,01-07-2011,490.898,6.4685,-,3175.37,,
124,04-07-2011,490.902,6.4661,-,3174.22,,
125,05-07-2011,490.902,6.4661,-,3174.22,,
126,06-07-2011,489.734,6.465,-,3166.13,,
127,07-07-2011,489.719,6.4732,-,3170.05,,
128,08-07-2011,487.969,6.4705,-,3157.4,,
129,11-07-2011,487.968,6.4709,-,3157.59,,
130,12-07-2011,486.206,6.4748,-,3148.08,,
