domestic_price_raw_data_id,date,shanxi4.5,shanxi5,henan4,henan5,guizhou5.5,guizhou6.5,creation_date,updation_date
1,07-07-2017,350,390,350,360,230,260,,2020-08-18 04:10:26.300
2,14-07-2017,350,390,350,360,230,260,,
3,21-07-2017,350,390,350,360,230,260,,
4,28-07-2017,350,390,350,360,230,260,,
5,04-08-2017,360,410,340,400,230,260,,
6,11-08-2017,360,410,340,400,230,260,,
7,18-08-2017,360,410,340,400,230,260,,
8,25-08-2017,360,410,350,410,230,260,,
9,01-09-2017,360,410,350,410,230,260,,
10,08-09-2017,370,420,370,430,230,260,,
11,15-09-2017,370,420,370,430,230,260,,
12,22-09-2017,370,420,370,430,240,270,,
13,29-09-2017,370,420,370,430,240,270,,
14,06-10-2017,370,420,370,430,240,270,,
15,13-10-2017,370,420,370,430,240,270,,
16,20-10-2017,380,430,390,450,240,270,,
17,27-10-2017,380,430,390,470,240,270,,
18,03-11-2017,380,430,390,490,240,280,,
19,10-11-2017,400,480,400,570,240,280,,
20,17-11-2017,400,480,400,570,280,320,,
21,24-11-2017,400,480,390,560,280,320,,
22,01-12-2017,400,480,390,560,280,320,,
23,08-12-2017,400,480,390,560,280,320,,
24,15-12-2017,370,450,320,480,260,300,,
25,22-12-2017,370,450,310,470,260,300,,
26,29-12-2017,370,450,310,470,260,300,,
27,05-01-2018,330,410,270,420,250,290,,
28,12-01-2018,330,410,270,420,250,290,,
29,19-01-2018,330,410,270,420,250,290,,
30,26-01-2018,330,410,270,420,250,290,,
31,02-02-2018,330,410,270,420,250,290,,
32,09-02-2018,330,410,270,420,250,290,,
33,16-02-2018,330,410,270,420,250,290,,
34,23-02-2018,330,410,270,420,250,290,,
35,02-03-2018,330,410,270,420,250,290,,
36,09-03-2018,340,420,300,440,280,320,,
37,16-03-2018,340,420,300,440,280,320,,
38,23-03-2018,340,420,300,440,280,320,,
39,30-03-2018,340,420,300,440,280,320,,
40,06-04-2018,340,420,300,440,280,320,,
41,13-04-2018,370,450,340,480,280,320,,
42,20-04-2018,370,450,340,480,280,320,,
43,27-04-2018,370,450,340,480,280,320,,
44,04-05-2018,370,450,340,480,280,320,,
45,11-05-2018,370,450,340,480,280,320,,
46,18-05-2018,370,480,370,500,285,325,,
47,25-05-2018,385,480,370,500,300,350,,
48,01-06-2018,385,480,370,500,300,350,,
49,08-06-2018,385,480,370,500,300,350,,
50,15-06-2018,385,500,370,500,300,350,,
51,22-06-2018,385,500,370,500,300,350,,
52,29-06-2018,385,500,370,500,300,350,,
53,06-07-2018,420,530,380,510,300,350,,
54,13-07-2018,420,530,380,510,300,350,,
55,20-07-2018,440,560,390,540,300,350,,
56,27-07-2018,440,560,390,540,300,350,,
57,03-08-2018,440,560,390,540,300,350,,
58,10-08-2018,440,560,390,540,300,350,,
59,17-08-2018,440,560,390,540,300,350,,
60,24-08-2018,440,560,390,540,300,350,,
61,31-08-2018,440,560,390,540,300,350,,
62,07-09-2018,460,580,410,560,300,350,,
63,14-09-2018,460,580,410,560,300,350,,
64,21-09-2018,480,600,430,600,310,360,,
65,28-09-2018,480,600,430,600,310,360,,
66,05-10-2018,480,600,430,600,310,360,,
67,12-10-2018,480,600,430,600,310,360,,
68,19-10-2018,480,625,450,630,310,360,,
69,26-10-2018,480,625,450,630,310,360,,
70,02-11-2018,480,625,450,630,310,360,,
71,09-11-2018,480,625,450,630,310,360,,
72,16-11-2018,480,625,450,630,310,360,,
73,23-11-2018,480,625,450,630,310,360,,
74,30-11-2018,500,650,450,630,340,390,,
75,07-12-2018,500,650,470,650,340,390,,
76,14-12-2018,500,650,470,650,340,390,,
77,21-12-2018,500,650,470,650,340,390,,
78,28-12-2018,480,630,450,630,320,370,,
79,04-01-2019,450,600,430,610,320,370,,
80,11-01-2019,450,600,430,610,320,370,,
81,18-01-2019,450,600,430,610,320,370,,
82,25-01-2019,450,600,430,610,320,370,,
83,15-02-2019,450,580,400,580,320,370,,
84,22-02-2019,450,580,400,580,320,370,,
85,01-03-2019,450,580,400,580,320,370,,
86,08-03-2019,450,580,400,580,320,370,,
87,15-03-2019,450,580,400,580,320,370,,
88,22-03-2019,450,580,400,580,320,370,,
89,29-03-2019,450,580,380,550,320,370,,
90,05-04-2019,450,580,380,550,320,370,,
91,12-04-2019,450,580,380,550,320,370,,
92,19-04-2019,450,580,380,550,320,370,,
93,26-04-2019,450,560,380,500,320,370,,
94,03-05-2019,450,560,380,500,320,370,,
95,10-05-2019,450,560,380,500,320,370,,
96,17-05-2019,450,560,380,500,320,370,,
97,24-05-2019,450,560,380,500,320,370,,
98,31-05-2019,450,560,380,500,320,370,,
99,07-06-2019,450,560,400,550,320,370,,
100,14-06-2019,450,560,400,550,320,370,,
101,21-06-2019,450,560,400,550,320,370,,
102,28-06-2019,450,560,400,550,350,400,,
103,05-07-2019,450,560,400,550,350,400,,
104,12-07-2019,450,560,400,550,350,400,,
105,19-07-2019,450,560,400,550,350,400,,
106,26-07-2019,450,560,400,550,350,400,,
107,02-08-2019,450,560,400,530,350,400,,
108,09-08-2019,450,560,400,530,350,400,,
109,16-08-2019,450,560,400,530,350,400,,
110,23-08-2019,450,560,400,530,350,400,,
111,30-08-2019,450,540,370,500,350,400,,
112,06-09-2019,450,540,370,500,350,400,,
113,13-09-2019,450,540,370,500,350,400,,
114,20-09-2019,450,540,370,500,350,400,,
115,27-09-2019,450,540,370,500,350,400,,
116,04-10-2019,450,540,370,500,350,400,,
117,11-10-2019,470,560,370,500,350,400,,
118,18-10-2019,470,560,370,500,350,400,,
119,25-10-2019,470,560,370,500,350,400,,
120,01-11-2019,470,560,370,500,350,400,,
121,08-11-2019,470,560,370,500,350,400,,
122,15-11-2019,470,560,370,500,350,400,,
123,22-11-2019,470,560,370,500,350,400,,
124,29-11-2019,470,560,370,500,350,400,,
125,06-12-2019,470,560,370,500,350,400,,
126,13-12-2019,470,560,370,500,350,400,,
127,20-12-2019,450,540,360,490,350,400,,
128,27-12-2019,450,540,360,490,350,400,,
129,03-01-2020,450,540,360,490,350,400,,
130,10-01-2020,450,540,360,490,350,400,,
131,17-01-2020,450,540,360,490,350,400,,
132,24-01-2020,450,540,360,490,350,400,,
133,31-01-2020,450,540,360,490,350,400,,
134,07-02-2020,450,540,360,490,350,400,,
135,14-02-2020,450,540,360,490,350,400,,
136,21-02-2020,450,540,360,490,350,400,,
137,28-02-2020,450,540,360,490,350,400,,
138,06-03-2020,450,540,360,490,350,400,,
139,13-03-2020,450,540,360,490,350,400,,
140,20-03-2020,450,540,360,490,350,400,,
141,27-03-2020,450,540,360,490,350,400,,
142,03-04-2020,410,500,320,450,350,400,,
143,10-04-2020,410,500,320,450,350,400,,
144,17-04-2020,370,460,320,450,350,400,,
145,24-04-2020,370,460,320,450,350,400,,
146,01-05-2020,370,460,320,450,320,370,,
147,08-05-2020,370,460,320,450,320,370,,
148,15-05-2020,340,430,280,410,300,350,,
149,22-05-2020,340,430,280,410,300,350,,
150,29-05-2020,340,430,280,410,300,350,,
