week,"indonesia,panamax","indonesia,capesize","australia,panamax","india,supramax","india,panamax","india,capesize","malaysia,superamax","malaysia,panamax","guinea,capesize","brazil,capesize",weekbeforecbx,creation_date,updation_date
40725,8.71,6.72921,12.0972,0,0,0,0,0,0,0,0,,
40732,8.84389,6.68007,11.3958,0,0,0,0,0,0,0,0,,
40739,9.01199,6.73652,11.6264,0,0,0,0,0,0,0,0,,
40746,8.67637,6.46266,11.2283,0,0,0,0,0,0,0,0,,
40753,8.77582,6.35115,11.3526,0,0,0,0,0,0,0,0,,
40760,8.59326,6.22668,11.1269,0,0,0,0,0,0,0,0,,
40767,8.4826,6.14415,10.96,0,0,0,0,0,0,0,0,,
40774,9.31302,6.47741,11.9713,0,0,0,0,0,0,0,0,,
40781,9.38761,7.46051,12.0628,0,0,0,0,0,0,0,0,,
40788,9.66256,8.27071,12.4076,0,0,0,0,0,0,0,0,,
40795,10.6708,9.46703,13.6233,0,0,0,0,0,0,0,0,,
40802,11.064,10.0537,14.1001,0,0,0,0,0,0,0,0,,
40809,10.1625,9.31129,13.019,0,0,0,0,0,0,0,0,,
40816,9.51142,10.0052,12.2263,0,0,0,0,0,0,0,0,,
40823,9.89747,9.3332,12.7028,0,0,0,0,0,0,0,0,,
40830,10.8354,10.2935,13.8474,0,0,0,0,0,0,0,0,,
40837,11.2381,10.8914,14.3528,0,0,0,0,0,0,0,0,,
40844,10.7148,10.7651,13.7172,0,0,0,0,0,0,0,0,,
40851,10.4555,8.89613,13.4046,0,0,0,0,0,0,0,0,,
40858,10.0471,8.65373,12.9474,0,0,0,0,0,0,0,0,,
40865,10.0877,9.18279,13.009,0,0,0,0,0,0,0,0,,
40872,9.9727,9.14244,12.8285,0,0,0,0,0,0,0,0,,
40879,9.62284,9.48015,12.4118,0,0,0,0,0,0,0,0,,
40886,9.40491,10.3699,12.1303,0,0,0,0,0,0,0,0,,
40893,9.62869,11.4019,12.3805,0,0,0,0,0,0,0,0,,
40900,9.60799,11.0308,12.3574,0,0,0,0,0,0,0,0,,
40907,9.65291,10.9302,12.4424,0,0,0,0,0,0,0,0,,
40914,9.80293,9.05236,12.6791,0,0,0,0,0,0,0,0,,
40921,8.98833,6.93826,11.698,0,0,0,0,0,0,0,0,,
40928,8.42059,5.77708,11.0078,0,0,0,0,0,0,0,0,,
40935,8.12306,5.61718,10.642,0,0,0,0,0,0,0,0,,
40942,7.84064,5.56541,10.2972,0,0,0,0,0,0,0,0,,
40949,8.1312,5.56307,10.6445,0,0,0,0,0,0,0,0,,
40956,8.90178,5.65517,11.5833,0,0,0,0,0,0,0,0,,
40963,8.77439,5.70024,11.427,0,0,0,0,0,0,0,0,,
40970,9.02737,5.93716,11.731,0,0,0,0,0,0,0,0,,
40977,9.12407,5.98792,11.8583,0,0,0,0,0,0,0,0,,
40984,8.88984,5.97227,11.572,0,0,0,0,0,0,0,0,,
40991,8.82825,5.80772,11.4998,0,0,0,0,0,0,0,0,,
40998,8.92074,5.69857,11.6169,0,0,0,0,0,0,0,0,,
41005,8.715,5.83607,11.3539,0,0,0,0,0,0,0,0,,
41012,8.74562,5.99797,11.3839,0,0,0,0,0,0,0,0,,
41019,9.36526,5.90746,12.1196,0,0,0,0,0,0,0,0,,
41026,10.1903,5.85926,13.1263,0,0,0,0,0,0,0,0,,
41033,10.1179,5.81421,13.0384,0,0,0,0,0,0,0,0,,
41040,9.3214,5.8643,12.0315,0,0,0,0,0,0,0,0,,
41047,8.73368,5.84931,11.2963,0,0,0,0,0,0,0,0,,
41054,8.2475,5.78937,10.6886,0,0,0,0,0,0,0,0,,
41061,7.55874,5.51544,9.84476,0,0,0,0,0,0,0,0,,
41068,6.8694,5.11971,8.92938,0,0,0,0,0,0,0,0,,
41075,7.10334,5.00557,9.21601,0,0,0,0,0,0,0,0,,
41082,7.53458,4.88673,9.72461,0,0,0,0,0,0,0,0,,
41089,7.46289,4.87409,9.60977,0,0,0,0,0,0,0,0,,
41096,7.74913,5.38886,9.99942,0,0,0,0,0,0,0,0,,
41103,8.14318,5.70338,10.4798,0,0,0,0,0,0,0,0,,
41110,8.41884,5.37731,10.8376,0,0,0,0,0,0,0,0,,
41117,8.2939,5.28068,10.6931,0,0,0,0,0,0,0,0,,
41124,8.06331,5.14022,10.4244,0,0,0,0,0,0,0,0,,
41131,7.84466,5.30941,10.1813,0,0,0,0,0,0,0,0,,
41138,7.7419,5.26375,10.0868,0,0,0,0,0,0,0,0,,
41145,7.84506,5.20363,10.232,0,0,0,0,0,0,0,0,,
41152,7.71404,5.34428,10.0743,0,0,0,0,0,0,0,0,,
41159,7.42305,5.34278,9.74066,0,0,0,0,0,0,0,0,,
41166,7.18049,5.31617,9.44176,0,0,0,0,0,0,0,0,,
41173,7.14235,5.63016,9.38,0,0,0,0,0,0,0,0,,
41180,7.17484,6.00571,9.38617,0,0,0,0,0,0,0,0,,
41187,8.43051,6.25078,10.8926,0,0,0,0,0,0,0,0,,
41194,7.98779,6.86934,10.3461,0,0,0,0,0,0,0,0,,
41201,7.94492,7.51389,10.2926,0,0,0,0,0,0,0,0,,
41208,7.90088,8.70584,10.2202,0,0,0,0,0,0,0,0,,
41215,7.8971,8.6495,10.1966,0,0,0,0,0,0,0,0,,
