output_lebel
Elementdatamonth
Sax
Shanxi 4.5 - 5.0
"Frieght,Data,Id"
Capesize
"Indonesia,Panamax"
Check3
Panamax
"India,Capesize"
Northprice
Check 1
Wacif
Date
Cmaaxdata2_Id
Shandong
"Malaysia,Superamax"
Bpi
"India,Panamax"
Bci
"Brazil,Capesize"
Daily_Price_Data_Id
Check1
Wacifrmb
"Indonesia,Capesize"
Shanxi
"Guinea,Capesize"
Guizhou 5.5 - 6.5
Week
Elementdataday
"Malaysia,Panamax"
Check 2
Cbix1
Day
"Australia,Panamax"
Southprice
Check2
Cmaaxdata1_Id
Cbixusd
Elementdatayear
Domestic_Price_Data_Id
Henan
Nax
Australia
Henan 4.0 - 5.0
Month
Daybeforecbx
Usdrmb
Weekbeforecbx
Cbix2
Check 3
"India,Supramax"
