Digestion Technology Code,Digestion Technology,DSP AA:SiO2,DSP Na:Si,Lime rate,Required Steam raising energy,Required Calcining energy,Calcining energy (gas),Extraction Efficiency,Caustic wash loss,Limestone rate,Alumina quality,Required Electrical energy
1,Domestic Pure Bayer,1.23,0.6,0.22,10.5,5,3.2,0.92,0.035,0,0.987,320
2,Domestic Combination,0.1,0.1,0.036,20.5,5,3.2,0.92,0.035,1.959857445,0.991,600
3,Domestic Sinter,0.1,0.1,0.036,28.5,5,3.2,0.92,0.035,1.959857445,0.995,640
4,Import LT,1,0.9,0.036,9.15,5,3.2,0.92,0.035,0,0.987,320
5,Import HT,1.23,0.6,0.22,10.5,5,3.2,0.92,0.035,0,0.987,320
6,Import MT,1,0.9,0.036,10.5,5,3.2,0.92,0.035,0,0.987,320
