Summary Name,Chinese Name,Sub Name - technology variant,Sub Chinese Name,Province,Region,Owner,Ref,count in current capacity totals,Capacity - for maintenance and labour calcs,Bauxite 1 Customisation multiplier,Handling losses,Bauxite 1 Loading + Unloading Fee,Bauxite 1 Other,Bauxite 2 Loading + Unloading Fee,Bauxite 3 Loading + Unloading Fee,Bauxite 2 Customisation multiplier,Bauxite 3 Customisation multiplier,Bauxite 3 Moisture,Bauxite 3 Other,Bauxite 2 Other,Bauxite 3 Alumina Grade (Reacting),Bauxite 3 Silica Grade (Reacting),List Price Customisation multiplier,Caustic Purchased Customisaton multiplier,Caustic Strength as transported,Caustic Purchased Freight rate (trucking),Caustic Purchased Transport distance,Caustic Purchased [Loading + Unloading] Total Fee,% of Electricity for Caustic Production from Grid,Caustic Self Supplied Customisation multiplier,Total Electricity for 1 ECU for NaOH + Cl2 + H2 prodn,Caustic Self Supplied Other Costs,tonnes pure NaOH per ECU,Caustic Strength as transported.1,Caustic Self Supplied Transport distance,Caustic Self Supplied Freight rate (trucking),Caustic Self Supplied [Loading + Unloading] Total Fee,Caustic Price Customisation multiplier,Caustic Domestic Purchased,Flocculent Customisation multiplier,Flocculent Loading + Unloading Fee,Handling losses.1,Flocculent Transport distance,count in current capacity totals.1,Capacity - for maintenance and labour calcs.1,Packaging,Energy - Lignitous Coal - Customization Multiplier,Energy - Lignitous Coal - Transport Distance,Energy - Lignitous Coal - Loading + Unloading Fee,Energy - Lignitous Coal - Customization Multiplier 2,Energy - Natural - Customization Multiplier ,Energy - Sourcing Mix - % from Anthracite Coal,Energy - Anthracite coal - Customization Multiplier 1,Energy - Anthracite coal - Customization Multiplier 2,Energy - Anthracite coal - Loading + Unloading Fee,Energy - Anthracite coal - Transport distance,Energy - Natural Gas/Coal Customization Multiplier 3,Energy - Electricity - Purchased Customization Multiplier,Lime - Customisation multiplier 1,Lime - Transport distance,Lime - Loading + Unloading Fee,Lime - Customisation multiplier 2,Limestone - Customisation multiplier 1,Limestone - Transport distance,Limestone - Loading + Unloading Fee,Limestone - Customisation multiplier 2,Labour - Customisation multiplier,Labour - hours worked per year,Consumables - Flocculent - Usage rate,Consumables - Flocculent - customise,Maintenance Allowance - Portion of Capex,Other Costs - Packaging,Production kT,Customisation multiplier for self supply,Purchased delivery Transport distance,Purchased delivery [Loading + Unloading] Total Fee,Purchased delivery Customisation multiplier,Self-Supplied delivery Transport distance,Self-Supplied delivery [Loading + Unloading] Total Fee,Self-Supplied delivery Customisation multiplier,Sodium Carbonate Domestic Self Supply,Caustic Customisation multiplier,Caustic Sourcing mix - Added customisation multiplier,Energy - Sourcing Mix -% from Anthracite Coal,Energy Usage rate - Custom Multiplier 1,Energy Usage rate - Custom Multiplier 2,Energy Usage rate - Custom Multiplier 3,Lime Usage rate - Customisation multiplier,Limestone usage- customisation multiplier,Labour usage- customisation multiplier
Huafei,华飞,Huafei,华飞,Guizhou,South-Central,Owner_1,15.0,1,200,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,1,1,0.175,3200,5,1,1,3150,700,1.128,0.32,25,0.5,5,1.5,1,1,2,0,0,1,200,24,1,50,2,1,1,1,1,1,2,1000,1,0,1,10,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,200,0.8,50,5,2,50,5,2,0,1,1,1,1,1,0,1,1,0
Qingzhen Guanglv,清镇广铝,Qingzhen Guanglv,清镇广铝,Guizhou,South-Central,Owner_1,16.0,1,500,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,1.05,1,0.175,3280,5,1,1,3150,700,1.128,0.32,25,0.5,5,1.5,1,1,2,0,0,1,500,24,1,50,2,1,1,1,1,1,2,1500,1,0,1,40,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,500,0.8,50,5,2,50,5,2,0,1,1,1,1,1,0,1,1,0
"Qiya Qizheng
",其亚其正,Qizheng Chemical,其亚其正,Guizhou,South-Central,Owner_9,17.1,1,1000,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,1.1,1,0.175,3280,5,1,1,3150,700,1.128,0.32,25,0.5,5,1.5,1,1,2,0,0,1,1000,24,1,50,2,1,1,1,1,1,2,500,1,0,1,10,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,1000,0.8,50,5,2,50,5,2,0,1,1,1,1,1,0,1,1,0
"Qiya Qizheng
",其亚其正,Qizheng Chemical Added LT,其亚其正后加矿,Guizhou,South-Central,Owner_9,17.2,1,1000,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,1.1,1,0.175,3280,5,1,1,3150,700,1.128,0.32,25,0.5,5,1.5,1,1,2,0,0,1,1000,24,1,50,2,1,1,1,1,1,2,500,1,0,1,10,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,200,0.8,50,5,2,50,5,2,0,1,1,1,1,1,0,1,1,0
SPIC - Wuchuan,国电投务川,SPIC - Wuchuan,国电投务川,Guizhou,South-Central,Owner_5,18.0,0,1000,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,1,1,0.175,3200,5,1,1,3150,700,1.128,0.32,25,0.5,5,1.5,1,1,2,0,0,0,1000,24,1,180,2,1,1,1,1,1,2,700,1,0,1,5,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,1000,0.8,50,5,2,50,5,2,0,1,1,1,1,1,0,1,1,0
Kaisheng,凯晟,Kaisheng,凯晟,Guizhou,South-Central,Owner_1,19.0,0,0,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,1,1,0.175,3200,5,1,1,3150,700,1.128,0.32,25,0.5,5,1.5,1,1,2,0,0,0,0,24,1,50,2,1,1,1,1,1,2,700,1,0,1,5,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,0,0.8,50,5,2,50,5,2,0,1,1,1,1,1,0,1,1,0
Huajin,华锦,Huajin,华锦,Guizhou,South-Central,Owner_6,20.0,1,1600,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,1.05,1,0.175,3280,5,1,1,3150,700,1.128,0.32,25,0.5,5,1.5,1,1,2,0,0,1,1600,0,1,50,2,1,1,1,1,1,2,1500,1,0,1,30,2,1,1,0,2,1,1,2000,0.92,0,0.025,0,1600,0.8,50,5,2,50,5,2,0,1,1,1,1,1,0,1,1,0
Chalco Zhengzhou ,中铝郑州,Chalco Zhengzhou domestic,中铝郑州国内线,Henan,Central-Henan,Owner_6,21.1,1,2000,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,1.2,0.32,0.5,120,5,1,1,3150,700,1.128,0.32,25,0.5,5,1.5,1,1,2,0,0,1,2000,24,1,150,2,1,1,1,1,1,2,200,1,0,1,20,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,1700,0.8,50,5,2,50,5,2,0,1,1,1,1,1,0,1,1,0
Chalco Zhengzhou ,中铝郑州,Chalco Zhengzhou import,中铝郑州进口线,Henan,Central-Henan,Owner_6,21.2,1,2000,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,1.2,0.32,0.5,120,5,1,1,3150,700,1.128,0.32,25,0.5,5,1.5,1,1,2,0,0,1,2000,24,1,150,2,1,1,1,1,1,2,200,1,0,1,20,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,300,0.8,50,5,2,50,5,2,0,1,1,1,1,1,0,1,1,0
Chalco Zhengzhou ,中铝中州,Chalco Zhongzhou Dom. Sinter,中铝中州国内烧结线,Henan,Central-Henan,Owner_6,22.1,1,3000,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,1.2,0.32,0.5,170,5,1,1,3150,700,1.128,0.32,25,0.5,5,1.5,1,1,2,0,0,1,3000,24,1,70,2,1,1,1,1,1,2,200,1,0,1,20,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,300,0.8,50,5,2,50,5,2,0,1,1,1,1,1,0,1,1,0
Chalco Zhengzhou ,中铝中州,Chalco Zhongzhou Dom. Bayer,中铝中州国内增浓线,Henan,Central-Henan,Owner_6,22.2,1,3000,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,1.2,0.32,0.5,170,5,1,1,3150,700,1.128,0.32,25,0.5,5,1.5,1,1,2,0,0,1,3000,24,1,70,2,1,1,1,1,1,2,200,1,0,1,20,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,0,0.8,50,5,2,50,5,2,0,1,1,1,1,1,0,1,1,0
Chalco Zhengzhou ,中铝中州,Chalco Zhongzhou LT Amt,中铝中州进口线,Henan,Central-Henan,Owner_6,22.3,1,3000,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,1.2,0.32,0.5,170,5,1,1,3150,700,1.128,0.32,25,0.5,5,1.5,1,1,2,0,0,1,3000,24,1,70,2,1,1,1,1,1,2,200,1,0,1,20,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,2700,0.8,50,5,2,50,5,2,0,1,1,1,1,1,0,1,1,0
