Demand,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
Total Alumina Apparent Demand (Mt),73.9,77,79.8,81.3,82.3,82.5,82.9,83.3,83.7,83.9,83.9,83.9
Alumina Net Imports (Mt),3.0,3,3.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Total AA to be produced in China,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AA production from domestic bauxite,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Demand of alumina produced by imported bauxite,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
