,Ref. No.,Refinery,Province,Prov - Category,Technology,Ownership,Owner,Bauxite Previous,Bauxite Now,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
18,17.2,Qizheng Chemical Added LT,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,18.0,SPIC - Wuchuan,,,,,,,,0.4,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
20,19.0,Kaisheng,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,20.0,Huajin,,,,,,,,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,0.8,0.32,0.16,0.0
22,21.1,Chalco Zhengzhou domestic,,,,,,,,1.2,1.2,1.2,1.2,1.0,1.0,1.0,1.0,0.8,0.8,0.8,0.8
23,21.2,Chalco Zhengzhou import,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,22.1,Chalco Zhongzhou Dom. Sinter,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
25,22.2,Chalco Zhongzhou Dom. Bayer,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,22.3,Chalco Zhongzhou LT Amt,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,23.1,Kaiman,,,,,,,,1.4,1.25,1.25,1.3,1.1,0.55,0.2,0.1,0.0,0.0,0.0,0.0
28,23.2,Kaiman Import,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,24.1,East Hope Mianchi,,,,,,,,1.7,1.8,1.8,1.8,1.26,0.9,0.36,0.18,0.0,0.0,0.0,0.0
30,24.2,East Hope Mianchi Added LT,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,25.0,Huiyuan Lushan,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,26.0,Jingxin,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,27.0,Shenhuo,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,28.1,Wanji,,,,,,,,0.4,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,28.2,Wanji import,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,29.0,Weilai,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,30.0,Yifeng Gongyi (Yulian Xinya),,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
