Factor,Value
First year of forecast,2020.0
In forecast: Minimum refinery utilisation for viability,0.2
In forecast: Minimum refinery capacity for viability (MTPY),0.1
In forecast: Domestic capacity overall utilisation on switch to imports,0.8
