Ref. No.,Refinery,Province,Prov - Category,Technology,Ownership,Owner,Bauxite Previous,Bauxite Now,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
17.2,Qizheng Chemical Added LT,Guizhou,Guizhou,L-B,Qiya,Qiya,Imported,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
18.0,SPIC - Wuchuan,Guizhou,Guizhou,H-B,SPIC,SPIC,Domestic,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
19.0,Kaisheng,Guizhou,Guizhou,H-B,Private,Other,Domestic,Domestic,0.0,0.052227,0.172,0.19,0.1914,0.0735,0.057576159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,Huajin,Guizhou,Guizhou,H-B,"Chalco, Jinjiang",Chalco,Domestic,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1.44,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6
21.1,Chalco Zhengzhou domestic,Henan,Henan,H-B,Chalco,Chalco,Domestic,Domestic,1.68,2.3,2.0,1.89,1.273,1.65,1.67,1.9,1.9,1.9,1.9,0.95,1.6,1.6,1.2,1.2,1.2,1.2,1.2,1.0,1.0,1.0,1.0,0.8,0.8,0.8,0.8
21.2,Chalco Zhengzhou import,Henan,Henan,L-B,Chalco,Chalco,Imported,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
22.1,Chalco Zhongzhou Dom. Sinter,Henan,Henan,Sinter,Chalco,Chalco,Domestic,Domestic,1.54,1.0,1.0,1.0,0.65,0.6,0.6,0.55,0.55,0.5,0.45,0.45,0.4,0.45,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
22.2,Chalco Zhongzhou Dom. Bayer,Henan,Henan,H-B-ODT-Sweet,Chalco,Chalco,Domestic,Domestic,0.0,0.7,0.9,1.0,1.0,1.0,1.7,1.7,1.7,1.75,2.05,1.92,1.65,1.65,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.3,Chalco Zhongzhou LT Amt,Henan,Henan,L-B,Chalco,Chalco,Imported,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.15,0.15,0.2,0.2,0.0,0.0,0.2,1.5,1.93,1.8,1.8,1.5,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
23.1,Kaiman,Henan,Henan,"H-B, ODT, Sweetening",Jinjiang,Jinjiang,Domestic,Domestic,0.0,0.5,1.3,1.31,1.5,1.593678887,1.532760736,1.95,1.95,1.9,1.7,1.9,1.9,1.9,1.89,1.4,1.25,1.25,1.3,1.1,1.1,1.0,1.0,0.7,0.7,0.7,0.7
23.2,Kaiman Import,Henan,Henan,L-B,Jinjiang,Jinjiang,Imported,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
24.1,East Hope Mianchi,Henan,Henan,"H-B, ODT",East Hope,East Hope,Domestic,Domestic,0.0,0.24,0.9,1.203,1.875,1.992098609,1.91595092,2.0,2.25,2.25,2.45,2.45,2.82,2.63,1.95,1.7,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.5,1.5,1.5,1.5
24.2,East Hope Mianchi Added LT,Henan,Henan,L-B,East Hope,East Hope,Imported,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,Huiyuan Lushan,Henan,Henan,"H-B, ODT","Shenhuo, Huiyuan",Shenhuo,Domestic,Domestic,0.175,0.313262,0.35,0.35,0.307669725,0.637471555,0.613104294,0.64,0.72,0.72,0.72,0.5,0.68,0.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.0,Jingxin,Henan,Henan,H-B,Private,Other,Domestic,Domestic,0.0,0.035,0.1,0.09,0.075,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.0,Shenhuo,Henan,Henan,Sintering,Shenhuo,Shenhuo,Domestic,Domestic,0.0,0.0,0.0,0.05,0.076917431,0.079683944,0.076638037,0.05,0.08,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.1,Wanji,Henan,Henan,H-B,Wanji Holdings,Other,Domestic,Domestic,0.0,0.0,0.25,0.5,0.61533945,0.637471555,0.613104294,0.72,0.72,1.0,1.2,1.05,1.3,1.0,0.58,0.4,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.2,Wanji import,Henan,Henan,L-B,Wanji Holdings,Other,Imported,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29.0,Weilai,Henan,Henan,H-B,Private,Other,Domestic,Domestic,0.0,0.06,0.085,0.1,0.076917431,0.103589128,0.12,0.12,0.09,0.12,0.12,0.12,0.12,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,Yifeng Gongyi (Yulian Xinya),Henan,Henan,H-B,Private,Other,Domestic,Domestic,0.0,0.0,0.05,0.07,0.115376147,0.119525917,0.114957055,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,Yima Yixiang,Henan,Henan,"H-B, CGA","Jinjiang, Yima Coal Group",Jinjiang,Domestic,Domestic,0.01,0.081163,0.2,0.3,0.45,0.478103666,0.459828221,0.48,0.3,0.5,0.5,0.5,0.45,0.3,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
32.0,Zhongmei,Henan,Henan,"H-B, Sweetening","Yongmei Group, Wuzhou Aluminium, Dengfeng Electric Power Corporation",Other,Domestic,Domestic,0.0,0.0,0.2,0.3,0.307669725,0.318735777,0.383190184,0.4,0.4,0.4,0.4,0.4,0.45,0.25,0.3,0.2,0.2,0.2,0.2,0.2,0.17,0.0,0.0,0.0,0.0,0.0,0.0
33.0,Shaoxing,Henan,Henan,H-B,Private,Other,Domestic,Domestic,0.0,0.03,0.14,0.2,0.076917431,0.079683944,0.076638037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,Zhongchao,Henan,Henan,H-B,Private,Other,Domestic,Domestic,0.0,0.04204,0.045,0.05,0.023075229,0.023905183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,Jialu Xianfeng,Hubei,Other,H-B,Private,Other,Domestic,Domestic,0.0,0.0,0.0,0.05,0.03,0.036,0.096,0.06,0.0,0.108,0.108,0.108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,Jinshi,Hubei,Other,H-B,Private,Other,Domestic,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.05,0.06,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.0,Huixiang,Hunan,Other,H-B,Private,Other,Domestic,Domestic,0.0,0.0,0.0,0.04,0.05,0.06,0.08,0.0,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.1,Xinwang L-B,Inner Mongolia,Other,L-B,BXG,Other,Imported,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.0,0.0,0.5,0.48,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4
38.2,Xinwang H-B,Inner Mongolia,Other,H-B,BXG,Other,Domestic,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39.0,Datang Tuoketuo Fly Ash,Inner Mongolia,Other,fly ash,Private,Other,Fly ash,Fly ash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.18,0.0,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.1,Mengxi Fly Ash,Inner Mongolia,Other,fly ash,Private,Other,Fly ash,Fly ash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.2,Mengxi import,Inner Mongolia,Other,L-B,Private,Other,Imported,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.19,0.18,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.1,Qihui H-B,Inner Mongolia,Other,H-B,Jinguotou,Other,Imported,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,1.0,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3
41.2,Qihui L-B,Inner Mongolia,Other,L-B,Jinguotou,Other,Imported,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.3,1.3,1.3,1.3
42.0,Jinjiang Lianyungang,Jiangsu,Other,L-B,Jinjiang,Jinjiang,Imported,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,1.0,1.0,1.7,2.0,2.0
43.0,Chalco Lianyungang,Jiangsu,Other,L-B,Chalco,Chalco,Imported,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.9,2.0,2.0,2.0,2.0
44.1,Chalco Shandong L-B,Shandong,Other,L-B,Chalco,Chalco,Imported,Imported,0.9,1.15,1.15,1.15,1.15,1.25,1.25,1.35,1.2,1.5,1.5,1.5,1.5,1.5,2.15,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
44.2,Chalco Shandong sinter,Shandong,Other,Sintering,Chalco,Chalco,Domestic,Domestic,0.3,0.25,0.3,0.3,0.2,0.2,0.4,0.5,0.5,0.5,0.7,0.7,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.3,Chalco Shandong sinter import,Shandong,Other,L-B,Chalco,Chalco,Imported,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
45.1,Chiping Xinfa L-B,Shandong,Other,L-B,Xinfa,Xinfa,Imported,Imported,0.0,0.6,1.8,1.8,1.8,1.8,2.4,3.25,3.2,1.0,1.7,2.0,2.9,3.1,3.3,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25
45.2,Chiping Xinfa H-B,Shandong,Other,H-B,Xinfa,Xinfa,Imported,Imported,0.3,0.8,0.8,1.0,1.0,1.2,0.8,0.8,0.8,2.0,2.0,2.0,2.0,1.6,1.26,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25
46.0,Lubei,Shandong,Other,L-B,Lubei Group,Jinjiang,Imported,Imported,0.0,0.0,0.2,0.2,0.2,0.7,0.7,0.5,0.25,0.25,0.25,0.5,0.9,0.9,0.92,0.9,0.9,1.4,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
47.1,Nanshan Donghai H-B,Shandong,Other,H-B,Nanshan Group,Nanshan,Imported,Imported,0.0,0.0,0.0,0.0,0.0,0.38,0.8,0.95,0.95,0.95,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
47.2,Nanshan Donghai L-B,Shandong,Other,L-B,Nanshan Group,Nanshan,Imported,Imported,0.0,0.14,0.25,0.22,0.25,0.39,0.4,0.6,0.66,0.67,0.67,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
48.0,Bochuang,Shandong,Other,L-B,Chuangxin Group,Other,Imported,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.5,0.45,0.1,0.0,0.39,0.5,0.8,0.8,1.2,1.2,1.2,1.2,1.2,1.4,1.4,1.4,1.4
49.0,Nanhan,Shandong,Other,L-B,Private,Other,Imported,Imported,0.0,0.0,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.1,Weiqiao - Binzhou L-B,Shandong,Other,L-B,Weiqiao,Weiqiao,Imported,Imported,0.0,0.6,2.1,1.8,1.8,2.92,3.52,5.2,5.4,3.0,3.0,3.6,4.0,4.0,3.8,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
50.2,Weiqiao - Binzhou H-B,Shandong,Other,H-B,Weiqiao,Weiqiao,Imported,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.8,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
51.1,Weiqiao-Wudi-Zhanhua L-B,Shandong,Other,L-B,Weiqiao,Weiqiao,Imported,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.9,3.0,4.5,4.5,6.0,7.0,7.2,8.0,8.5,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
51.2,Weiqiao-Wudi-Zhanhua H-B,Shandong,Other,H-B,Weiqiao,Weiqiao,Imported,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.8,3.0,2.0,2.8,2.0,2.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
52.0,Aokaida,Shanxi,Shanxi,H-B,Aokaida,Other,Domestic,Domestic,0.0,0.0,0.0,0.0,0.0,0.044557196,0.048412073,0.16,0.16,0.16,0.16,0.18,0.18,0.16,0.3,0.16,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53.0,Chalco Huaxing,Shanxi,Shanxi,H-B,Chalco,Chalco,Domestic,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.9,1.6,1.9,1.9,1.05,1.15,1.3,1.3,1.3,1.3,1.25,1.25,1.25,1.2,1.2,1.2,1.2
54.1,Chalco Shanxi,Shanxi,Shanxi,"H-B (Lime), sinter",Chalco,Chalco,Domestic,Domestic,1.5,2.2,2.1,1.98,1.3,1.2,1.3,1.89,2.16,2.16,2.16,1.8,2.0,2.0,1.3,1.0,0.8,0.8,0.8,0.8,0.8,0.5,0.2,0.0,0.0,0.0,0.0
54.2,Chalco Shanxi import,Shanxi,Shanxi,L-B,Chalco,Chalco,Imported,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
55.1,SPIC Shanxi,Shanxi,Shanxi,H-B & Sinter,SPIC,SPIC,Domestic,Domestic,0.0,0.351405,0.8,0.7,0.7655,1.5,1.7,1.7,1.7,1.7,2.8,2.7,2.75,2.8,1.8,1.3,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
55.2,SPIC Shanxi import,Shanxi,Shanxi,L-B,SPIC,SPIC,Imported,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,1.5,1.9,1.9,1.9,1.9,1.9,1.5,1.5,1.5,1.5,1.5,1.5
56.1,Dongxu Tianyuan,Shanxi,Shanxi,H-B,Tianyuan Chemical,Other,Domestic,Domestic,0.0,0.03,0.07,0.072,0.02,0.1,0.121030184,0.32,0.16,0.3,0.3,0.28,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56.2,Dongxu Tianyuan import,Shanxi,Shanxi,L-B,Tianyuan Chemical,Other,Imported,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.3,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0
57.1,East Hope Lingshi,Shanxi,Shanxi,H-B,East Hope,East Hope,Domestic,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,1.8,1.9,1.85,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
57.2,East Hope Lingshi Import,Shanxi,Shanxi,L-B,East Hope,East Hope,Imported,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.5,1.5,1.5,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
58.0,Huaqing,Shanxi,Shanxi,H-B,Private,Other,Domestic,Domestic,0.0,0.0,0.0,0.0,0.03,0.044557196,0.048412073,0.08,0.08,0.08,0.08,0.08,0.04,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
59.0,Qiangjin Aluminium,Shanxi,Shanxi,H-B,Private,Other,Domestic,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
60.0,Senze,Shanxi,Shanxi,H-B & Sinter (1.2:0.1),Senze,Other,Domestic,Domestic,0.0,0.0,0.0,0.0,0.02,0.06,0.2,0.3,0.6,0.6825,0.6825,0.6825,0.8,1.25,1.2,1.2,1.11,1.2,1.2,1.0,1.0,1.0,0.8,0.8,0.8,0.8,0.8
61.0,Taixing,Shanxi,Shanxi,H-B,Private,Other,Domestic,Domestic,0.0,0.0,0.0,0.0,0.02,0.044557196,0.048412073,0.05,0.05,0.05,0.05,0.08,0.1,0.25,0.35,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.0,Wusheng,Shanxi,Shanxi,H-B,Private,Other,Domestic,Domestic,0.0,0.0,0.1,0.15,0.04,0.1,0.14523622,0.24,0.24,0.24,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63.0,Xinfa - Jiaokou,Shanxi,Shanxi,H-B,Xinfa,Xinfa,Domestic,Domestic,0.0,0.0,0.0,0.2,0.02,0.0,0.580944882,0.72,1.8,1.8,1.8,2.4,2.8,2.5,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.85,1.55,1.6,1.6,1.6,1.6
64.0,Xinfa - Xiaoyi,Shanxi,Shanxi,H-B,Xinfa,Xinfa,Domestic,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,1.6,1.8,2.1,2.1,3.03,2.65,2.8,2.8,2.8,2.8,2.8,2.4,2.4,2.4,2.4,2.4,2.4
65.1,Xingan Chemical,Shanxi,Shanxi,H-B,Jinjiang,Jinjiang,Domestic,Domestic,0.0,0.0,0.0,0.0,0.2,0.4,0.823005249,2.04,2.16,2.16,2.16,2.4,2.5,2.5,2.55,1.8,1.9,1.9,1.9,1.9,1.9,1.7,1.7,1.7,1.7,1.7,1.7
