Ref. No.,Refinery,Ownership,Alumina Produced,Digestion Technology Code,Bauxite 1 Aa Grade (Reacting),Bauxite 1 A/S ratio (Reacting),Bauxite 1 Moisture,Bauxite 1 Mining-Dressing (FAW) Cost,Bauxite 1 Transport distance,Bauxite 2 Aa Grade (Reacting),Bauxite 2 A/S ratio (Reacting),Bauxite 2 Moisture,Bauxite 2 Transport distance,Transport distance,Transport fee,Domestic Self Supply,Domestic Purchased,BAR,Caustic
29.0,Weilai,Private,SGA,4,0.57,4,0.05,240.0,66.25,0.63,4.5,0.05,100,12.5,247.5,0,0,1,1
30.0,Yifeng Gongyi (Yulian Xinya),Private,SGA,4,0.57,4,0.05,240.0,40.0,0.63,4.5,0.05,100,12.5,FALSE,0,0,1,1
31.0,Yima Yixiang,Private,SGA,4,0.6,4.5,0.05,220.0,42.5,0.6,5,0.05,120,12.5,200,0,0,1,1
32.0,Zhongmei,Private,SGA,4,0.6,5,0.05,240.0,42.5,0.59,5,0.05,100,12.5,190,0,0,1,1
33.0,Shaoxing,Private,SGA,4,0.683622871,5,0.05,114.0,232.5,0.683622871,4.5,0.05,113.75,12.5,FALSE,0,0,1,1
34.0,Zhongchao,Private,SGA,4,0.670648871,5,0.05,114.0,232.5,0.670648871,4.5,0.05,113.75,12.5,FALSE,0,0,1,1
35.0,Jialu Xianfeng,Private,SGA,4,0.6,5.5,0.05,240.0,232.5,0.6,6,0.05,200,12.5,FALSE,0,0,1,1
36.0,Jinshi,Private,SGA,4,0.6,5.5,0.05,240.0,232.5,0.6,6,0.05,200,12.5,FALSE,0,0,1,1
37.0,Huixiang,Private,SGA,4,0.6,5.5,0.05,240.0,232.5,0.6,6,0.05,200,12.5,FALSE,0,0,1,1
38.1,Xinwang L-B,Private,SGA,4,0,0,0,160.0,20.0,0.6,9,0.05,113.75,12.5,150,0,0,1,1
38.2,Xinwang H-B,Private,SGA,4,0.58,6,0.05,114.0,232.5,0.624,5.4,0.05,256.25,12.5,150,0,0,1,1
39.0,Datang Tuoketuo Fly Ash,Private,SGA,4,0.670648871,5,0.05,114.0,232.5,0.670648871,5,0.05,113.75,12.5,FALSE,0,0,1,1
40.1,Mengxi Fly Ash,Private,SGA,4,0.670648871,5,0.05,114.0,232.5,0.670648871,5,0.05,113.75,12.5,FALSE,0,0,1,1
40.2,Mengxi import,Private,SGA,4,,,,,,,,,,,165,0,0,1,1
41.1,Qihui H-B,Private,SGA,5,,,,,,,,,,,120,0,0,1,1
41.2,Qihui L-B,Private,SGA,4,,,,,,,,,,,120,0,0,1,1
42.0,Jinjiang Lianyungang,Private,SGA,4,,,,,,,,,,,50,0,0,1,1
43.0,Chalco Lianyungang,Private,SGA,4,,,,,,,,,,,50,0,0,1,1
44.1,Chalco Shandong L-B,SOE,SGA,4,0.58,6,0.05,114.0,232.5,0.58,4.5,0.05,232.5,12.5,100,0,0,1,1
44.2,Chalco Shandong sinter,SOE,Chemical,3,0.58,6,0.05,114.0,232.5,0.58,4.5,0.05,232.5,12.5,100,0,0,1,1
44.3,Chalco Shandong sinter import,SOE,Chemical,3,0.58,6,0.05,114.0,232.5,0.58,4.5,0.05,232.5,12.5,100,0,0,1,1
45.1,Chiping Xinfa L-B,Private,SGA,4,0.58,6,0.05,114.0,232.5,0.58,6,0.05,113.75,250.0,110,0,0,1,1
45.2,Chiping Xinfa H-B,Private,SGA,5,0.58,6,0.05,114.0,232.5,0.58,6,0.05,113.75,250.0,110,0,0,1,1
46.0,Lubei,Private,SGA,4,0.58,6,0.05,114.0,232.5,0.58,6,0.05,113.75,150.0,40,0,0,1,1
47.1,Nanshan Donghai H-B,Private,SGA,5,0.48357519,10.29477461,0.05,114.0,232.5,0.48357519,10.29477461,0.05,113.75,12.5,35,0,0,1,1
47.2,Nanshan Donghai L-B,Private,SGA,4,0.48357519,10.29477461,0.05,114.0,232.5,0.48357519,10.29477461,0.05,113.75,12.5,35,0,0,1,1
48.0,Bochuang,Private,SGA,4,0.55,3.17,0.05,114.0,232.5,0.55,3.17,0.05,113.75,160.0,50,0,0,1,1
49.0,Nanhan,Private,SGA,4,0.43,6.935483871,0.05,114.0,232.5,0.43,6.935483871,0.05,113.75,170.0,FALSE,0,0,1,1
50.1,Weiqiao - Binzhou L-B,Private,SGA,4,0.58,6,0.05,114.0,232.5,0.58,6,0.05,113.75,150.0,80,0,0,1,1
50.2,Weiqiao - Binzhou H-B,Private,SGA,5,0.58,6,0.05,114.0,232.5,0.58,6,0.05,113.75,150.0,80,0,0,1,1
51.1,Weiqiao-Wudi-Zhanhua L-B,Private,SGA,4,0.58,6,0.05,114.0,232.5,0.58,6,0.05,113.75,120.0,70,0,0,1,1
51.2,Weiqiao-Wudi-Zhanhua H-B,Private,SGA,5,0.545671291,3.172245213,0.05,114.0,232.5,0.545671291,3.172245213,0.05,113.75,120.0,70,0,0,1,1
52.0,Aokaida,Private,SGA,4,0.6,5,0.05,240.0,137.5,0.6,5,0.05,113.75,12.5,200,0,0,1,1
53.0,Chalco Huaxing,SOE,SGA,4,0.6,5.5,0.05,100.0,30.0,0.6,4.5,0.05,100,12.5,150,0,0,1,1
54.1,Chalco Shanxi,SOE,SGA,4,0.6,5,0.05,240.0,30.0,0.6,5,0.05,150,12.5,170,0,0,1,1
54.2,Chalco Shanxi import,SOE,SGA,4,0.64,5,0.05,240.0,30.0,0.64,5,0.05,150,,170,0,0,1,1
55.1,SPIC Shanxi,SOE,SGA,4,0.56,4.5,0.05,150.0,30.0,0.56,4.8,0.05,120,12.5,145,0,0,1,1
55.2,SPIC Shanxi import,SOE,SGA,4,,,,,,,,,,,145,0,0,1,1
56.1,Dongxu Tianyuan,Private,SGA,4,0.6,5,0.05,140.0,50.0,0.6,5,0.05,120,12.5,170,0,0,1,1
56.2,Dongxu Tianyuan import,Private,SGA,4,,,,,,,,,,12.5,170,0,0,1,1
57.1,East Hope Lingshi,Private,SGA,4,0.633,5.2,0.05,240.0,42.5,0.6,5,0.05,113.75,12.5,180,0,0,1,1
57.2,East Hope Lingshi Import,Private,SGA,4,,,,,,,,,,,180,0,0,1,1
58.0,Huaqing,Private,SGA,4,0.6,5,0.05,130.0,50.0,0.6,5,0.05,113.75,12.5,180,0,0,1,1
59.0,Qiangjin Aluminium,Private,SGA,4,0,0,0,160.0,20.0,0.6,5,0.05,113.75,12.5,161.33,0,0,1,1
60.0,Senze,Private,SGA,4,0.58,4.8,0.05,280.0,30.0,0.6,5,0.05,50,12.5,220,0,0,1,1
61.0,Taixing,Private,SGA,4,0.6,5,0.05,240.0,50.0,0.58,4.8,0.05,100,12.5,200,0,0,1,1
62.0,Wusheng,Private,SGA,4,0.56,4.5,0.05,114.0,137.5,0.58,5,0.05,113.75,12.5,220,0,0,1,1
63.0,Xinfa - Jiaokou,Private,SGA,4,0.655003888,4.5,0.05,240.0,50.0,0.6,5,0.05,113.75,12.5,170,0,0,1,1
64.0,Xinfa - Xiaoyi,Private,SGA,4,0.65,4.5,0.05,240.0,50.0,0.58,4.9,0.05,50,12.5,150,0,0,1,1
65.1,Xingan Chemical,Private,SGA,4,0.65,4.5,0.05,114.0,50.0,0.6,4.65,0.05,50,12.5,140,0,0,1,1
65.2,Xingan Chemical import,Private,SGA,4,0.65,4.5,0.05,114.0,50.0,0.6,4.5,0.05,50,12.5,140,0,0,1,1
66.0,Yangquan Zhaofeng,Private,SGA,4,0.6,5,0.05,240.0,50.0,0.58,5,0.05,80,12.5,184.5,0,0,1,1
67.0,Gangyuan Jiaohua,Private,SGA,4,0.670648871,5,0.05,114.0,232.5,0.6,5,0.05,113.75,12.5,FALSE,0,0,1,1
68.1,Chalco Xinghua,SOE,SGA,4,0.59,4.5,0.05,240.0,60.0,0.59,4.6,0.05,100,12.5,170,0,0,1,1
68.2,Chalco Xinghua import,SOE,SGA,4,0.59,4.5,0.05,240.0,60.0,0.64,4.5,0.05,100,12.5,170,0,0,1,1
69.0,Tiantong,Private,SGA,4,0.668226403,6,0.05,114.0,232.5,0.6,5,0.05,120,12.5,FALSE,0,0,1,1
70.0,Fusheng,Private,SGA,4,0.56,5,0.05,240.0,50.0,0.58,5,0.05,113.75,12.5,220,0,0,1,1
71.0,YMG - Wenshan,SOE,SGA,4,0.58,5.5,0.05,160.0,100.0,0.62015196,11.42919813,0.05,113.75,12.5,200,0,0,1,1
