County,county_id
Gongyi,county_1
Dengfeng,county_2
Xinmi,county_3
Yanshi,county_4
Xin'an,county_5
Mianchi,county_6
Mianchi,county_6
Shaan,county_7
Xing,county_8
Xing,county_8
Xiaoyi,county_9
Xiaoyi,county_9
Xiaoyi,county_9
Xiaoyi,county_9
Wutai,county_10
Jiaokou,county_11
Jiaokou,county_11
Gu,county_12
Yangquan,county_13
Ningwu,county_14
Pinglu,county_15
Debao,county_16
Jingxi,county_17
Pingguo,county_18
Pingguo,county_18
Wenshan,county_20
Wenshan,county_20
Wenshan,county_20
Qingzhen,county_21
Qingzhen,county_21
Wuchuan,county_22
Wuchuan,county_22
Zunyi,county_23
Zunyi,county_23
Zunyi,county_23
Nanchuan,county_24
Wulong,county_25
Chongzuo,county_26
Debao,county_27
Fusui,county_28
Jingxi,county_29
Long'an,county_30
Fuquan,county_31
Napo,county_32
Pingguo,county_18
Tiandong,county_19
Tianyang,county_19
Longli,county_33
Guiyang,county_34
Huangping,county_35
Kaili,county_36
Kaiyang,county_37
Qingzhen,county_21
Weng'an,county_38
Wuchuan,county_39
Xifeng,county_40
Xiuwen,county_41
Tongzi,county_42
Zhijin,county_43
Zunyi,county_44
Baofeng,county_45
Dengfeng,county_46
Gongyi,county_47
Hubin,county_48
Jiaxian,county_49
Jiyuan,county_50
Lushan,county_51
Mianchi,county_6
Qinyang,county_53
Ruyang,county_54
Ruzhou,county_55
Sanmenxia,county_56
Shaan,county_57
Xin'an,county_58
Xingyang,county_59
Xinmi,county_3
Yanshi,county_4
Yichuan,county_60
Yuzhou City,county_61
Yicheng,county_62
Chenxi,county_63
Baode,county_64
Fangshan,county_65
Fenxi County,county_66
Fenyang,county_67
Gu,county_68
Hequ County,county_69
Heshun,county_70
Huairen,county_71
Jiaokou,county_11
Jiexiu,county_72
Jincheng,county_73
Jingle county,county_74
Lin,county_75
Lingshi,county_76
Liulin,county_77
Loufan,county_78
Yu,county_79
Ningwu,county_80
Pinglu,county_15
Qinyuan,county_81
Shenchi,county_82
Shuozhou,county_83
Wutai,county_84
Xia,county_85
Xiaoyi,county_9
Xing,county_8
Xiyang,county_86
Yuanping,county_87
Yangquan,county_88
Yuanqu,county_89
Zhongyang,county_90
Guangyuan,county_91
Wenshan,county_20
