Mine,Round trip distance Main fuel,Round Trip Distance on Auxiliary fuel,Vessel Loading rate,Vessel Un-Loading rate,Vessel Speed,Main Engine Fuel burn rate,MDO / MGO burn rate,Days at Avg Speed Main Fuel,Days at Avg Speed Auxiliary Fuel,Days Loading,Days unloading,Extra Days due to Canal use,Lay days allowance (50% each port),Main Fuel HFO / VLSFO Fuel Price,Auxiliary Fuel (MDO / MGO / LNG) Price,Main Fuel Cost,Auxiliary Fuel Cost,FX rate per USD,Fixed fee,Berthing Charge,Anchorage Charge,Per T_Cargo (wet) Charge,RMB/T_Cargo (wet)/day berthed,RMB/T_Cargo (wet)/day anchored,RMB/NRT,RMB/NRT/day berthed,RMB/NRT/day anchored,RMB/GRT,RMB/GRT/day berthed,RMB/GRT/day anchored,RMB/LOA,RMB/LOA/day berthed,RMB/LOA/day anchored,Time Charter Rate,Time Charter Cost,Canal Costs,Total Cost for Leg - before Insurance & Commission,Total Cost for Leg - with Insurance & Commission,Per tonne cargo incl. Insurance & Commission
SMB Generic,22300.0,0.0,30000.0,42500,11.25,36.99237447782868,3.067630769230769,82.5925925925926,0.0,5.683333333333334,4.011764705882353,0,11.074522875816994,446.5,608.5,1364189.7150259863,38769.68190009372,6.69596,1843.200974916218,,,67222.62379106207,,,47724.458881520746,17444.37112855524,2916.808011144531,,,,8783.648073442217,,,4329.0,451784.0222745098,0.0,2000678.530061231,2107014.593933985,13.730952062130887
West Kalimantan Generic,4652.0,0.0,15000.0,42500,11.25,41.55291085504955,3.4474199457013572,17.22962962962963,0.0,13.678117647058823,4.827570934256055,0,7,446.5,608.5,319667.77440525487,53504.68669256798,6.69596,1843.200974916218,,,80892.57684089054,,,57429.39265897321,24787.42005704327,2218.5747715938874,,,,9697.001684733026,,,4329.0,189330.1925351788,0.0,739370.8206211518,778668.379737166,4.464944033906546
Weipa/Amrun Generic,6560.0,0.0,80000.0,42500,11.25,23.933547830485416,2.1336454111405834,24.296296296296294,0.0,1.0654310344827587,2.0055172413793105,0,7,446.5,608.5,259638.21828668518,13075.346121660696,6.69596,1843.200974916218,,,33605.193950196626,,,23857.88602757468,4842.807623858053,921.6622637584037,,,,6537.510077536281,,,7922.0,280179.31150063855,0.0,624501.1368268246,657693.3722491703,8.869290560848643
Gove,6158.0,0.0,80000.0,42500,11.25,25.21662811722144,2.2146,22.807407407407407,0.0,1.1578125,2.179411764705882,0,7,194.4,301.2,111804.47708101172,6895.316437213233,7.076,1744.2057659694744,,,34557.6596947428,,,24534.085641605427,5325.706136318291,947.7847654041833,,,,6370.622526851328,,,5208.5,177842.31406420207,0.0,370022.1721133185,389688.8505611413,4.648803400644389
Alufer Bel Air,22200.0,0.0,18000.0,42500,11.25,37.670005899934345,3.1224,82.22222222222221,0.0,9.75,4.129411764705883,0,11.53219607843137,194.4,301.2,602117.3743045505,23898.77554401882,7.076,1744.2057659694744,,,65477.67100056529,,,46485.63595251556,17434.618551524625,2958.5070012968445,,,,8436.533352176371,,,3771.0,409658.1731764705,0.0,1178211.494649088,1240833.435589687,7.864600652131282
Central Kalimantan Generic,4600.0,0.0,15000.0,42500,11.25,18.29614662704724,1.80876,17.037037037037038,0.0,3.705,1.3076470588235294,0,7,194.4,301.2,60596.83762878046,6544.472242828235,7.076,1744.2057659694744,,,20734.59581684568,,,14720.451384963257,2155.771015179729,568.6708592425099,,,,5447.038863764838,,,6593.0,198117.5672440087,0.0,310629.61082158284,327139.5746367499,6.925237747331374
CBG LT,22340.0,0.0,30000.0,42500,11.25,20.060679594195616,1.90488,82.74074074074075,0.0,2.145,1.5141176470588236,0,10.367983006535948,194.4,301.2,322672.01913671766,8048.046980097505,7.076,1744.2057659694744,,,24008.47936687394,,,17044.733182589032,2781.268416453297,975.2732008169012,,,,5665.782362916902,,,5208.5,509223.80190239655,0.0,892163.6103148313,939582.1062030644,15.717029635647096
Huntly,8500.0,0.0,30000.0,42500,11.25,16.316670262815826,1.7073,31.48148148148148,0.0,1.54375,1.089705882352941,0,7,194.4,301.2,99858.02200843285,4953.896407455883,7.076,1744.2057659694744,,,17278.8298473714,,,12267.042820802713,1579.8815404390982,473.89238270209165,,,,5216.142947993216,,,6593.0,277663.7820397603,0.0,421035.69576092705,443413.7429906203,10.406941101698536
Turkey,16852.0,0.0,30000.0,42500,11.25,23.341160633825805,2.0971200000000003,62.41481481481481,0.0,2.73,1.9270588235294117,4,8.528624836601306,194.4,301.2,283208.5720808874,10855.3808043008,7.076,1744.2057659694744,,,30556.24646693047,,,21693.29677784059,4265.537086024008,1021.0485082078054,,,,6103.269361221029,,,5208.5,419807.6963067538,137241.664,916496.9171581353,965208.7283050901,12.405484587174218
Bauxite Hills,6540.0,0.0,15000.0,42500,11.25,19.58003519766005,1.87818,24.222222222222225,0.0,4.1275,1.456764705882353,4,7,194.4,301.2,92198.46973874165,9381.848166730588,7.076,1744.2057659694744,,,23099.067269643867,,,16399.099349915206,2599.7193433852626,633.5192905596383,,,,5605.020279819107,,,5208.5,217749.0871650327,123265.871,492675.90736979747,518861.6318465022,9.311737117284737
