Mine,Handysize,Supramax loading rates,Panamax loading rates,NeoPanamax loading rate,Suezmax loading rate,Capesize loading rates,VLOC loading rates
SMB Generic,0,0,0,0,0,0,0
West Kalimantan Generic,0,0,0,0,0,0,0
Weipa/Amrun Generic,0,0,0,0,0,0,0
Gove,0,0,0,0,0,0,0
Alufer Bel Air,0,0,0,0,0,0,0
Central Kalimantan Generic,0,0,0,0,0,0,0
CBG LT,0,0,0,0,0,0,0
Huntly,0,0,0,0,0,0,0
Turkey,0,0,0,0,0,0,0
Bauxite Hills,0,0,0,0,0,0,0
Chalco Boffa,0,0,0,0,0,0,0
Rennell Island,0,0,0,0,0,0,0
Discovery Bay,0,0,0,0,0,0,0
MRN,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0
