Vessel dwt,Vessel Class for timecharter & fuel burn rates,"Vessel Class for distance, canals, loading and unloading rates, fuel prices",Estimated LOA (length over all) (m),Estimated NRT (net register tons),Estimated GRT (gross register tons)
0.0,Handysize,Handysize,145.89,0.0,4797.0
0.0,Handysize,Handysize,145.89,0.0,4797.0
0.0,Handysize,Handysize,145.89,0.0,4797.0
0.0,Handysize,Handysize,145.89,0.0,4797.0
0.0,Handysize,Handysize,145.89,0.0,4797.0
0.0,Handysize,Handysize,145.89,0.0,4797.0
0.0,Handysize,Handysize,145.89,0.0,4797.0
0.0,Handysize,Handysize,145.89,0.0,4797.0
0.0,Handysize,Handysize,145.89,0.0,4797.0
0.0,Handysize,Handysize,145.89,0.0,4797.0
0.0,Handysize,Handysize,145.89,0.0,4797.0
0.0,Handysize,Handysize,145.89,0.0,4797.0
0.0,Handysize,Handysize,145.89,0.0,4797.0
163170.16317016317,Capesize,Capesize,288.3375524475524,65822.84382284382,89465.99766899768
