Round trip distance Main fuel,Round Trip Distance on Auxiliary fuel,Vessel Loading rate,Vessel Un-Loading rate,Vessel Speed,Main Engine Fuel burn rate,MDO / MGO burn rate,Days at Avg Speed Main Fuel,Days at Avg Speed Auxiliary Fuel,Days Loading,Days unloading,Extra Days due to Canal use,Lay days allowance (50% each port),Main Fuel HFO / VLSFO Fuel Price,Auxiliary Fuel (MDO / MGO / LNG) Price,Main Fuel Cost,Auxiliary Fuel Cost,FX rate per USD,Fixed fee,Berthing Charge,Anchorage Charge,Per T_Cargo (wet) Charge,RMB/T_Cargo (wet)/day berthed,RMB/T_Cargo (wet)/day anchored,RMB/NRT,RMB/NRT/day berthed,RMB/NRT/day anchored,RMB/GRT,RMB/GRT/day berthed,RMB/GRT/day anchored,RMB/LOA,RMB/LOA/day berthed,RMB/LOA/day anchored,Time Charter Rate,Time Charter Cost,Canal Costs,Total Cost for Leg - before Insurance & Commission,Total Cost for Leg - with Insurance & Commission,Per tonne cargo incl. Insurance & Commission
22300.0,0.0,30000.0,42500.0,11.0,33.99672259136571,2.9622,84.46969696969697,0.0,5.3625,3.7852941176470587,0.0,11.234098930481283,520.7,530.0,1495290.4697315455,31998.879101197857,6.982,1767.6883414494414,,,60829.2752792896,,,43185.52420509882,14992.936188434123,2677.4307466047144,,,,8180.635204812374,,,2445.0,258807.13759358285,0.0,1917729.9763920156,2019657.3246372512,13.949113871275152
4652.0,0.0,15000.0,42500.0,11.0,17.439470556521986,1.80876,17.62121212121212,0.0,3.705,1.3076470588235294,0.0,7.0,273.8,301.2,84140.00220652972,6544.472242828235,7.076,1744.2057659694744,,,20734.59581684568,,,14720.451384963257,2155.771015179729,568.6708592425099,,,,5447.038863764838,,,6593.0,201969.03357397506,0.0,338024.2417292985,355990.2301772107,7.535979046380581
6560.0,0.0,80000.0,42500.0,11.0,20.892884736032425,2.01168,24.848484848484848,0.0,0.92625,1.7435294117647058,0.0,7.0,273.8,301.2,142145.05786045623,5859.093556334118,7.076,1744.2057659694744,,,27646.127755794234,,,19627.268513284343,3567.4631313138025,758.2278123233466,,,,5908.830695308083,,,5209.0,185014.6385316399,0.0,392270.91362242354,413120.11268145527,6.408241622558135
6158.0,0.0,80000.0,42500.0,11.0,24.0359160073052,2.2146,23.325757575757578,0.0,1.1578125,2.179411764705882,0.0,7.0,273.8,301.2,153507.59908198263,6895.316437213233,7.076,1744.2057659694744,,,34557.6596947428,,,24534.085641605427,5325.706136318291,947.7847654041833,,,,6370.622526851328,,,5209.0,180559.47240697415,0.0,414442.4524570615,436470.0688051543,5.206881175119831
22200.0,0.0,18000.0,42500.0,11.0,35.90619227902072,3.1224,84.0909090909091,0.0,9.75,4.129411764705883,0.0,11.756438502673797,273.8,301.2,826707.4352314712,24109.668117109733,7.076,1744.2057659694744,,,65477.67100056529,,,46485.63595251556,17434.618551524625,3016.0348804273244,,,,8436.533352176371,,,3771.0,417550.60954010696,0.0,1410962.4123918666,1485955.064610494,9.41822071760959
4600.0,0.0,15000.0,42500.0,11.0,17.439470556521986,1.80876,17.424242424242426,0.0,3.705,1.3076470588235294,0.0,7.0,273.8,301.2,83199.48627472846,6544.472242828235,7.076,1744.2057659694744,,,20734.59581684568,,,14720.451384963257,2155.771015179729,568.6708592425099,,,,5447.038863764838,,,6593.0,200670.41236185387,0.0,335785.1045853761,353632.0828940888,7.486059281714457
22340.0,0.0,30000.0,42500.0,11.0,19.121383221186875,1.90488,84.62121212121212,0.0,2.145,1.5141176470588236,0.0,10.593639572192513,273.8,301.2,443028.832492303,8177.517402148414,7.076,1744.2057659694744,,,24008.47936687394,,,17044.733182589032,2781.268416453297,996.4997789212916,,,,5665.782362916902,,,5209.0,520243.5062944742,0.0,1023690.8250626496,1078099.9924147292,18.034112632740072
8500.0,0.0,30000.0,42500.0,11.0,15.552678737729257,1.7073,32.196969696969695,0.0,1.54375,1.089705882352941,0.0,7.0,273.8,301.2,137105.11070574736,4953.896407455883,7.076,1744.2057659694744,,,17278.8298473714,,,12267.042820802713,1579.8815404390982,473.89238270209165,,,,5216.142947993216,,,6593.0,282380.9958444741,0.0,462999.99826295534,487608.4481706314,11.444192880845659
16852.0,0.0,30000.0,42500.0,11.0,22.248263086550754,2.0971200000000003,63.833333333333336,0.0,2.73,1.9270588235294117,4.0,8.698847058823528,273.8,301.2,388845.5013127299,10962.902104012801,7.076,1744.2057659694744,,,30556.24646693047,,,21693.29677784059,4265.537086024008,1041.4275434442854,,,,6103.269361221029,,,3771.0,309935.62108235294,137241.664,912389.6715005254,960883.1825407783,12.349889885492942
6540.0,0.0,15000.0,42500.0,11.0,18.663243921562554,1.87818,24.77272727272727,0.0,4.1275,1.456764705882353,4.0,7.0,273.8,301.2,126588.541873613,9381.848166730588,7.076,1744.2057659694744,,,23099.067269643867,,,16399.099349915206,2599.7193433852626,633.5192905596383,,,,5605.020279819107,,,3771.0,159728.2167513369,123265.871,469045.109090973,493974.85663915816,8.865107237169987
22100.0,0.0,30000.0,42500.0,11.0,35.90619227902072,3.1224,83.7121212121212,0.0,5.85,4.129411764705883,0.0,11.242983957219248,273.8,301.2,822983.5278655636,19958.960290724273,7.076,1744.2057659694744,,,65477.67100056529,,,46485.63595251556,17434.618551524625,2884.3115852939663,,,,8436.533352176371,,,3771.0,399479.0633582887,0.0,1384884.527722622,1458491.1403710793,9.233878698139154
