Years,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
Demand from existing and planned merchant refiners,14.85,17.625,20.305,24.41,24.96,32.084,37.71,39.5,41.07,42.72,43.7,44.1,46.22,47.8,49.5,50.3,50.6,50.6,65.93446093,66.09460195,66.22117057,66.34773919,66.44760765,66.5474761,66.62617371,66.70487131,0.0
Most likely uptake of imports BX by inland refineries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.55,7.2,10.86,12.585,15.925,16.02,15.9,16.55,18.4,18.93,19.3,87.80024283,91.64956141,94.06105065,96.47253989,98.65658502,100.8406301,100.9598821,101.079134,0.0
