Name,2014,2023,2032,2015,2016,2017,2018,2019,2020,2021,2022,2033,2024,2025,2026,2027,2028,2029,2030,2031,2034,2035,2036,2037,2038,2039,2040
Chalco Boffa,2.83446712,2.83446712,0.0,2.670940171,2.670940171,2.670940171,2.718971127,2.738879284,2.670940171,2.670940171,2.670940171,0.0,2.670940171,2.670940171,2.670940171,2.670940171,2.670940171,2.670940171,2.670940171,2.670940171,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gove,2.670940171,2.670940171,0.0,2.677376171,2.677376171,2.677376171,2.725522864,2.745478993,2.677376171,2.677376171,2.677376171,0.0,2.677376171,2.677376171,2.677376171,2.677376171,2.677376171,2.677376171,2.677376171,2.677376171,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GDM,2.677376171,2.677376171,0.0,3.06,3.06,2.975,2.937901269,2.959412421,2.886002886,2.886002886,2.886002886,0.0,2.886002886,2.886002886,2.886002886,2.886002886,2.886002886,2.886002886,2.886002886,2.886002886,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ashapura Guinea,3.06,2.886002886,0.0,2.74,2.74,2.743484225,2.792819725,2.813268598,2.743484225,2.743484225,2.743484225,0.0,2.743484225,2.743484225,2.743484225,2.743484225,2.743484225,2.743484225,2.743484225,2.743484225,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMB Kaboye,2.74,2.743484225,0.0,2.743484225,2.743484225,2.86,2.762744269,2.782359766,2.718807625,2.719827007,2.686852717,0.0,2.83446712,2.622200895,2.622200895,2.614379085,2.614379085,2.614379085,2.614379085,2.614379085,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMB Dabiss S,2.743484225,2.675584464,0.0,3.06,3.06,2.743484225,2.792819725,2.813268598,2.38948626,2.38948626,2.38948626,0.0,2.642245378,2.38948626,2.38948626,2.38948626,2.38948626,2.38948626,2.38948626,2.38948626,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMR,3.06,2.38948626,0.0,2.38948626,2.38948626,2.38948626,2.43245589,2.450266198,2.743484225,2.743484225,2.743484225,0.0,2.38948626,2.474634991,2.474634991,2.474634991,2.474634991,2.474634991,2.474634991,2.474634991,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Weiqiao Self Supply,2.38948626,2.474634991,0.0,2.474634991,2.474634991,2.474634991,2.519135832,2.537580806,2.474634991,2.474634991,2.474634991,0.0,2.474634991,2.83446712,2.614379085,2.614379085,2.614379085,2.614379085,2.614379085,2.614379085,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGB2A,2.474634991,2.743484225,0.0,2.614379085,2.614379085,2.614379085,2.661392914,2.680879487,2.614379085,2.614379085,2.614379085,0.0,2.743484225,2.743484225,2.743484225,2.743484225,2.743484225,3.174603175,3.174603175,3.174603175,0.0,0.0,0.0,0.0,0.0,0.0,0.0
