Name,Name1,Name3,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
Chalco Boffa,Guinea,Africa,0.0,0.0,0.0,0.0,0.0,0.0,1.5876,3.81024,3.81024,3.81024,3.81024,4.2336,8.04384,8.04384,8.04384,8.04384,8.04384,8.4672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alufer (Bel Air),Guinea,Africa,0.0,0.0,0.0,0.0,0.123622585,1.230126222,1.8225,1.9190925,1.9190925,2.132325,2.132325,3.254256,3.254256,3.254256,3.254256,3.254256,3.378915,3.378915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Weipa_Amrun Generic,Australia,Australasia,4.20216012,4.66889508,4.70289564,5.3241786,6.946696718,6.178797609,6.335964,6.335964,6.335964,6.83055,6.83055,6.83055,6.83055,6.83055,6.83055,6.83055,6.83055,6.83055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gove,Australia,Australasia,1.8891675,2.8676025,3.4773075,4.284,3.10961819,2.821317126,2.907,2.907,2.907,2.907,2.907,2.907,2.907,2.907,2.907,2.907,2.907,2.907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMR,Guinea,Africa,0.0,0.0,0.0,1.458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gujarat & Maharashtra,India,Asia ex-China,1.875519177,2.859628934,1.655497213,0.78003,0.233766413,0.11623213,0.0,2.916,2.916,2.916,2.916,2.916,2.916,2.916,2.916,2.916,2.916,2.916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Kalimantan,Indonesia,Asia ex-China,3.48084,0.0,0.0,0.53064,2.919322898,5.574907229,5.925744,4.926636,2.687256,2.859516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Henan-Chine,Guinea,Africa,0.0,0.0,0.0,0.72675,0.0,0.0,0.0,0.0,0.860625,3.672,3.672,3.672,3.672,3.825,3.825,3.825,3.825,3.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kuantan & Johor,Malaysia,Asia ex-China,1.102206226,8.162987526,2.586504142,1.64025,0.18381802,0.25640933,0.06984,2.0952,2.0952,2.0952,2.0952,1.3968,0.6984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aurum Xinfa-Fiji,Fiji,Australasia,0.139941,0.05661253,0.019064034,0.03942,0.01865706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
