Name,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
Awaso,0.0,42.9,37.0,42.2,47.5,45.3,48.6,47.5,47.0,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2,48.2
AMR,0.0,0.0,37.2,42.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aurum Xinfa-Fiji,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.2,47.9,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gujarat & Maharashtra,0.0,0.0,0.0,0.0,0.0,46.0,49.2,48.6,48.3,49.1,49.1,49.1,49.1,49.1,49.1,49.1,49.1,49.1,49.1,49.1,49.1,0.0,0.0,0.0,0.0,0.0,0.0
Rundi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMB Santou-Houda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMB Dabiss S,0.0,0.0,0.0,0.0,49.6,47.0,50.1,49.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Discovery Bay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.7,50.7,50.7,50.7,50.7,50.7,50.7,50.7,50.7,50.7,50.7,50.7,50.7,50.7,50.7,50.7,50.7,50.7
Weiqiao Self Supply,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,51.7,50.9,50.9,50.9,50.9,50.9,50.9,50.9,50.9,50.9,50.9,50.9,50.9,50.9,50.9,50.9,50.9,50.9,50.9
SMB Kaboye,0.0,51.0,42.1,50.2,53.4,50.1,54.0,52.9,52.4,52.3,52.3,52.3,52.3,52.3,52.3,52.3,52.3,52.3,52.3,0.0,52.3,52.3,52.3,52.3,52.3,52.3,52.3
Aurukun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Metallica,0.0,0.0,0.0,0.0,66.4,0.0,0.0,0.0,60.7,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dom. Rep.,0.0,0.0,0.0,62.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mirai,0.0,0.0,0.0,67.9,71.1,68.0,73.1,71.9,71.3,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,72.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rondon do Para,0.0,0.0,0.0,0.0,84.7,82.5,80.8,79.7,79.4,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kuantan & Johor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,,,
Seydisehir,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Metro BH1 Xinfa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CBK Kindia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPIC self supply,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPIC to Mkt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
