Rank,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
0,Vietnam Others,Vietnam Others,Vietnam Others,Gove,Dian Dian,Metro LT,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa
1,GDM,GDM,SMB Santou-Houda,Dynamic,AGB2A,Metro Blend,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian
2,Weipa_Amrun Generic,Huntly,GAC,Solomon Islands,Gove,Dian Dian,Gove,Gove,Gove,Gove,Gove,Gove,Gove,Gove,Gove,Gove,Gove,Gove,Gove,Gove,Gove,Gove,Gove,Gove,Gove,Gove,Gove
3,Huntly,Alufer (Bel Air),Weipa_Amrun Generic,Huntly,GDM,AGB2A,GDM,GDM,GDM,GDM,GDM,GDM,GDM,GDM,GDM,GDM,GDM,GDM,GDM,GDM,GDM,GDM,GDM,GDM,GDM,GDM,GDM
4,Alufer (Bel Air),GAC,Solomon Islands,GDM,Solomon Islands,Vietnam Others,Dynamic,Dynamic,Dynamic,Solomon Islands,Solomon Islands,Solomon Islands,Solomon Islands,Solomon Islands,Solomon Islands,Solomon Islands,Solomon Islands,Solomon Islands,Metro BH1,Metro BH1,Metro BH1,Metro BH1,Metro BH1,Metro BH1,Metro BH1,Metro BH1,Metro BH1
5,GAC,Solomon Islands,Henan-Chine,West Kalimantan,West Kalimantan,Weipa_Amrun Generic,Solomon Islands,Metro BH1,Metro LT,Metro LT,Metro LT,Metro LT,Metro LT,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan
6,Solomon Islands,Henan-Chine,GDM,GAC,GAC,West Kalimantan,Huntly,Solomon Islands,Metro BH1,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,Weipa_Amrun Generic,Weipa_Amrun Generic,Weipa_Amrun Generic,Weipa_Amrun Generic,Weipa_Amrun Generic,Weipa_Amrun Generic,Weipa_Amrun Generic,Weipa_Amrun Generic,Weipa_Amrun Generic,Weipa_Amrun Generic,Weipa_Amrun Generic,Weipa_Amrun Generic,Weipa_Amrun Generic,Weipa_Amrun Generic
7,Henan-Chine,CBG,Juruti,Alufer (Bel Air),Weipa_Amrun Generic,Solomon Islands,Weipa_Amrun Generic,Huntly,Solomon Islands,Weipa_Amrun Generic,Weipa_Amrun Generic,Weipa_Amrun Generic,Weipa_Amrun Generic,Huntly,Huntly,Huntly,Huntly,Huntly,Huntly,Huntly,Huntly,Huntly,Huntly,Huntly,Huntly,Huntly,Huntly
8,Mokanji,Mokanji,MRN,Henan-Chine,Alufer (Bel Air),Other,Metro BH1,Metro Blend,Huntly,Huntly,Huntly,Huntly,Huntly,GAC,GAC,GAC,GAC,GAC,GAC,GAC,GAC,GAC,GAC,GAC,GAC,GAC,GAC
9,,Awaso,Ashapura Guinea,AMC,AMC,Juruti,GAC,GAC,GAC,GAC,GAC,GAC,GAC,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other
10,,SMB Kaboye,Metro LT,Mokanji,Amrun,Mokanji,CBG,Other,Metro Blend,Metro Blend,Other,Other,Other,CBG,CBG,CBG,CBG,CBG,CBG,CBG,CBG,CBG,CBG,CBG,CBG,CBG,CBG
11,,,AMR,Ashapura Guinea,Metro LT,Ashapura Guinea,Metro Blend,CBG,Weipa_Amrun Generic,Other,Metro Blend,Metro Blend,CBG,Henan-Chine,Henan-Chine,Henan-Chine,Henan-Chine,Henan-Chine,Henan-Chine,Henan-Chine,Henan-Chine,Henan-Chine,Henan-Chine,Henan-Chine,Henan-Chine,Henan-Chine,Henan-Chine
12,,,Metro BH1,Chalco Boffa,Metro BH1,Awaso,Amrun,Juruti,Other,CBG,CBG,CBG,Henan-Chine,Metro Blend,AMC,AMC,AMC,AMC,Alufer (Bel Air),Alufer (Bel Air),Alufer (Bel Air),Alufer (Bel Air),Alufer (Bel Air),Alufer (Bel Air),Alufer (Bel Air),Alufer (Bel Air),Alufer (Bel Air)
13,,,Metro Blend,Amrun HT,CBG,AMR,Amrun HT,Amrun,CBG,AMC,AMC,Henan-Chine,Metro Blend,AMC,Alufer (Bel Air),Alufer (Bel Air),Alufer (Bel Air),Alufer (Bel Air),Amrun,Amrun,Amrun,Amrun HT,Amrun HT,Amrun HT,Amrun HT,Amrun HT,Amrun HT
14,,,,Metro LT,AMR,Aurum Xinfa-Fiji,Juruti,Amrun HT,Juruti,Amrun,Amrun HT,AMC,AMC,Amrun HT,Metro Blend,Metro Blend,Juruti,Juruti,Amrun HT,Amrun HT,Amrun HT,Juruti,Juruti,Juruti,Juruti,Juruti,Juruti
