Rank,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
0,0.0,0.0,0.0,0.0,0.0,0.0,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa
1,0.0,0.0,0.0,0.0,Dian Dian,Metro LT,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian
2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Vietnam Others,Vietnam Others,Vietnam Others,Gove,AGB2A,Metro Blend,Gove,Gove,Gove,Gove,Gove,Gove,Gove,Gove,Gove,Gove,Gove,Gove,Gove,Gove,Gove,Gove,Gove,Gove,Gove,Gove,Gove
4,0,0,0,Dynamic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,GDM,GDM,SMB Santou-Houda,Solomon Islands,Gove,Dian Dian,GDM,GDM,GDM,GDM,GDM,GDM,GDM,GDM,GDM,GDM,GDM,GDM,GDM,GDM,GDM,GDM,GDM,GDM,GDM,GDM,GDM
6,Weipa_Amrun Generic,0,0,Huntly,GDM,AGB2A,Dynamic,Dynamic,Dynamic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,GDM,0,0,0,0,Metro LT,Solomon Islands,Solomon Islands,Solomon Islands,Solomon Islands,Solomon Islands,Solomon Islands,Solomon Islands,Solomon Islands,Solomon Islands,0,0,0,0,0,0,0,0,0
8,Huntly,Huntly,GAC,West Kalimantan,Solomon Islands,Vietnam Others,Solomon Islands,Metro BH1,Metro BH1,Metro LT,Metro LT,Metro LT,Metro LT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Alufer (Bel Air),Alufer (Bel Air),Weipa_Amrun Generic,GAC,West Kalimantan,0,0,0,0,0,0,0,0,0,0,0,0,0,Metro BH1,Metro BH1,Metro BH1,Metro BH1,Metro BH1,Metro BH1,Metro BH1,Metro BH1,Metro BH1
10,GAC,GAC,Solomon Islands,0,0,0,Huntly,Solomon Islands,Solomon Islands,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan
11,0,0,0,Alufer (Bel Air),GAC,Weipa_Amrun Generic,Weipa_Amrun Generic,Huntly,Huntly,Weipa_Amrun Generic,Weipa_Amrun Generic,Weipa_Amrun Generic,Weipa_Amrun Generic,Weipa_Amrun Generic,Weipa_Amrun Generic,Weipa_Amrun Generic,Weipa_Amrun Generic,Weipa_Amrun Generic,Weipa_Amrun Generic,Weipa_Amrun Generic,Weipa_Amrun Generic,Weipa_Amrun Generic,Weipa_Amrun Generic,Weipa_Amrun Generic,Weipa_Amrun Generic,Weipa_Amrun Generic,Weipa_Amrun Generic
