Name,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
Chalco Boffa,0.0,0.0,0.0,0.8319543135870111,0.0,0.0,7.76994941020536,10.43578740306816,10.17692307715104,10.17692307715104,10.17692307715104,0.0,11.307692307945599,11.307692307945599,11.307692307945599,11.307692307945599,11.307692307945599,11.307692307945599,36.057692308499995,36.057692308499995,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alufer (Bel Air),0.3737740384699118,0.15120868055894437,0.0,0.3976927710320398,0.4412530119901676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.433734938649996,8.433734938649996,8.433734938649996,8.433734938649996,26.773761710000002,40.160642565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Weipa,9.31951807106364,0.0,0.0,0.0,0.7602352005600012,0.5050300499999996,2.5647878078370034,0.0,2.2675324675301956,2.519480519478003,2.519480519478003,0.0,2.519480519478003,2.519480519478003,2.519480519478003,2.519480519478003,3.1006493506462496,3.1006493506462496,7.215007215,7.215007215,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gove,0.0,0.0,0.0,11.73816,0.6520887941400001,0.0,8.546028358500003,8.60860190988,8.395061728500002,8.395061728500002,8.395061728500002,0.0,8.395061728500002,8.395061728500002,8.395061728500002,8.395061728500002,8.395061728500002,8.395061728500002,31.5500685875,31.5500685875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMR,0.0,0.0,0.0,0.0,0.7626279039875826,0.2626092612000014,0.0,3.750175787005444,9.161294173199996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gujarat & Maharashtra,0.0,0.0,0.0,0.0,1.7493804422999988,2.0018259122335267,1.587407245440426,3.4735499877437777,4.7683285677917455,4.74860213290899,4.7284188019689894,0.0,5.182770650335909,4.665795279878141,4.6443084626779205,4.62251753556139,4.600404441180873,4.578501908329607,7.335722818199984,7.1445639174000215,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Kalimantan,0.0,0.0,0.0,3.919354837965,0.04538245160427988,0.3193548386489985,0.0,0.0,0.0,2.0740740741000008,2.0740740741000008,0.0,1.8064516125600005,1.8708240531960005,1.8708240531960005,1.8708240531960005,1.8708240531960005,1.8708240531960005,4.949269982,4.949269982,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Henan-Chine,0.20838059255299854,0.389453662406472,0.0,0.8709354119074965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8821826278046911,2.155867346800801,1.9884705882601514,1.9884705882601514,1.9884705882601514,1.9884705882601514,7.320261437999992,7.320261437999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kuantan & Johor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aurum Xinfa-Fiji,0.0,0.0,0.0,0.0,0.0,1.1303785969666935,0.0,0.0,0.0,10.697142858479996,10.697142858479996,0.0,9.78823529424,9.78823529424,11.885714287199999,11.885714287199999,11.885714287199999,10.2716049384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
