index,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
0, , , , , , ,"Chalco Boffa,[$/dmt 10.0,[2.86 mln dmt]","Chalco Boffa,[$/dmt 10.0,[3.81 mln dmt]","Chalco Boffa,[$/dmt 10.0,[3.81 mln dmt]","Chalco Boffa,[$/dmt 10.0,[3.81 mln dmt]","Chalco Boffa,[$/dmt 10.0,[3.81 mln dmt]","Chalco Boffa,[$/dmt 10.0,[4.23 mln dmt]","Chalco Boffa,[$/dmt 10.0,[4.23 mln dmt]","Chalco Boffa,[$/dmt 10.0,[4.23 mln dmt]","Chalco Boffa,[$/dmt 10.0,[4.23 mln dmt]","Chalco Boffa,[$/dmt 10.0,[4.23 mln dmt]","Chalco Boffa,[$/dmt 10.0,[4.23 mln dmt]","Chalco Boffa,[$/dmt 10.0,[4.23 mln dmt]","Chalco Boffa,[$/dmt 10.0,[13.5 mln dmt]","Chalco Boffa,[$/dmt 10.0,[13.5 mln dmt]","Chalco Boffa,[$/dmt 10.0,[13.5 mln dmt]","Chalco Boffa,[$/dmt 10.0,[13.5 mln dmt]","Chalco Boffa,[$/dmt 10.0,[13.5 mln dmt]","Chalco Boffa,[$/dmt 10.0,[13.5 mln dmt]","Chalco Boffa,[$/dmt 10.0,[13.5 mln dmt]","Chalco Boffa,[$/dmt 10.0,[13.5 mln dmt]","Chalco Boffa,[$/dmt 10.0,[13.5 mln dmt]"
1, , , , ,"Dian Dian,[$/dmt 10.0,[0.12 mln dmt]","Metro LT,[$/dmt 10.0,[1.24 mln dmt]","Dian Dian,[$/dmt 10.0,[1.92 mln dmt]","Dian Dian,[$/dmt 10.0,[1.92 mln dmt]","Dian Dian,[$/dmt 10.0,[3.04 mln dmt]","Dian Dian,[$/dmt 10.0,[3.04 mln dmt]","Dian Dian,[$/dmt 10.0,[3.04 mln dmt]","Dian Dian,[$/dmt 10.0,[3.04 mln dmt]","Dian Dian,[$/dmt 10.0,[3.04 mln dmt]","Dian Dian,[$/dmt 10.0,[3.38 mln dmt]","Dian Dian,[$/dmt 10.0,[3.38 mln dmt]","Dian Dian,[$/dmt 10.0,[3.38 mln dmt]","Dian Dian,[$/dmt 10.0,[3.38 mln dmt]","Dian Dian,[$/dmt 10.0,[3.38 mln dmt]","Dian Dian,[$/dmt 10.0,[9.0 mln dmt]","Dian Dian,[$/dmt 10.0,[9.0 mln dmt]","Dian Dian,[$/dmt 10.0,[9.0 mln dmt]","Dian Dian,[$/dmt 10.0,[9.0 mln dmt]","Dian Dian,[$/dmt 10.0,[9.0 mln dmt]","Dian Dian,[$/dmt 10.0,[9.0 mln dmt]","Dian Dian,[$/dmt 10.0,[9.0 mln dmt]","Dian Dian,[$/dmt 10.0,[9.0 mln dmt]","Dian Dian,[$/dmt 10.0,[9.0 mln dmt]"
2, , , , , , , , , , , , , , , , , , , , , , , , , , , 
3,"Vietnam Others,[$/dmt 23.6,[1.89 mln dmt]","Vietnam Others,[$/dmt 23.6,[2.87 mln dmt]","Vietnam Others,[$/dmt 19.6,[3.48 mln dmt]","Gove,[$/dmt 19.9,[4.28 mln dmt]","AGB2A,[$/dmt 10.0,[3.17 mln dmt]","Metro Blend,[$/dmt 10.0,[2.83 mln dmt]","Gove,[$/dmt 22.5,[3.06 mln dmt]","Gove,[$/dmt 22.3,[3.06 mln dmt]","Gove,[$/dmt 22.2,[3.06 mln dmt]","Gove,[$/dmt 23.6,[3.06 mln dmt]","Gove,[$/dmt 23.6,[3.06 mln dmt]","Gove,[$/dmt 23.6,[3.06 mln dmt]","Gove,[$/dmt 23.6,[3.06 mln dmt]","Gove,[$/dmt 23.6,[3.06 mln dmt]","Gove,[$/dmt 23.6,[3.06 mln dmt]","Gove,[$/dmt 23.6,[3.06 mln dmt]","Gove,[$/dmt 23.6,[3.06 mln dmt]","Gove,[$/dmt 23.6,[3.06 mln dmt]","Gove,[$/dmt 23.6,[11.5 mln dmt]","Gove,[$/dmt 23.6,[11.5 mln dmt]","Gove,[$/dmt 23.6,[11.5 mln dmt]","Gove,[$/dmt 23.6,[11.5 mln dmt]","Gove,[$/dmt 23.6,[11.5 mln dmt]","Gove,[$/dmt 23.6,[11.5 mln dmt]","Gove,[$/dmt 23.6,[11.5 mln dmt]","Gove,[$/dmt 23.6,[11.5 mln dmt]","Gove,[$/dmt 23.6,[11.5 mln dmt]"
4, , , ,"Dynamic,[$/dmt 26.6,[1.46 mln dmt]", , , , , , , , , , , , , , , , , , , , , , , 
5,"GDM,[$/dmt 30.0,[1.88 mln dmt]","GDM,[$/dmt 30.0,[2.86 mln dmt]","SMB Santou-Houda,[$/dmt 26.7,[1.66 mln dmt]","Solomon Islands,[$/dmt 27.3,[0.78 mln dmt]","Gove,[$/dmt 21.8,[0.24 mln dmt]","Dian Dian,[$/dmt 10.0,[0.15 mln dmt]","GDM,[$/dmt 30.0,[2.92 mln dmt]","GDM,[$/dmt 30.0,[2.92 mln dmt]","GDM,[$/dmt 30.0,[2.92 mln dmt]","GDM,[$/dmt 30.0,[2.92 mln dmt]","GDM,[$/dmt 30.0,[2.92 mln dmt]","GDM,[$/dmt 30.0,[2.92 mln dmt]","GDM,[$/dmt 30.0,[2.92 mln dmt]","GDM,[$/dmt 30.0,[2.92 mln dmt]","GDM,[$/dmt 30.0,[2.92 mln dmt]","GDM,[$/dmt 30.0,[2.92 mln dmt]","GDM,[$/dmt 30.0,[2.92 mln dmt]","GDM,[$/dmt 30.0,[2.92 mln dmt]","GDM,[$/dmt 30.0,[8.0 mln dmt]","GDM,[$/dmt 30.0,[8.0 mln dmt]","GDM,[$/dmt 30.0,[8.0 mln dmt]","GDM,[$/dmt 30.0,[8.0 mln dmt]","GDM,[$/dmt 30.0,[8.0 mln dmt]","GDM,[$/dmt 30.0,[8.0 mln dmt]","GDM,[$/dmt 30.0,[8.0 mln dmt]","GDM,[$/dmt 30.0,[8.0 mln dmt]","GDM,[$/dmt 30.0,[8.0 mln dmt]"
6,"Weipa_Amrun Generic,[$/dmt 31.9,[3.48 mln dmt]", , ,"Huntly,[$/dmt 28.3,[0.53 mln dmt]","GDM,[$/dmt 30.0,[2.99 mln dmt]","AGB2A,[$/dmt 10.0,[5.58 mln dmt]","Dynamic,[$/dmt 32.5,[5.94 mln dmt]","Dynamic,[$/dmt 31.8,[4.4 mln dmt]","Dynamic,[$/dmt 31.6,[0.48 mln dmt]", , , , , , , , , , , , , , , , , , 
7, , , ,"GDM,[$/dmt 30.0,[0.73 mln dmt]", , , , ,"Metro LT,[$/dmt 34.6,[1.91 mln dmt]","Solomon Islands,[$/dmt 34.4,[3.82 mln dmt]","Solomon Islands,[$/dmt 34.4,[3.82 mln dmt]","Solomon Islands,[$/dmt 34.4,[3.83 mln dmt]","Solomon Islands,[$/dmt 34.4,[3.83 mln dmt]","Solomon Islands,[$/dmt 34.4,[3.82 mln dmt]","Solomon Islands,[$/dmt 34.4,[3.82 mln dmt]","Solomon Islands,[$/dmt 34.4,[3.82 mln dmt]","Solomon Islands,[$/dmt 34.4,[3.82 mln dmt]","Solomon Islands,[$/dmt 34.4,[3.82 mln dmt]", , , , , , , , , 
8,"Huntly,[$/dmt 33.7,[1.1 mln dmt]","Huntly,[$/dmt 33.7,[8.16 mln dmt]","GAC,[$/dmt 27.8,[2.59 mln dmt]","West Kalimantan,[$/dmt 31.3,[1.64 mln dmt]","Solomon Islands,[$/dmt 33.5,[0.19 mln dmt]","Vietnam Others,[$/dmt 23.1,[0.3 mln dmt]","Solomon Islands,[$/dmt 36.6,[2.1 mln dmt]","Metro BH1,[$/dmt 35.4,[2.1 mln dmt]","Metro BH1,[$/dmt 35.3,[2.1 mln dmt]","Metro LT,[$/dmt 34.9,[2.1 mln dmt]","Metro LT,[$/dmt 34.9,[2.1 mln dmt]","Metro LT,[$/dmt 34.9,[1.4 mln dmt]","Metro LT,[$/dmt 34.9,[0.7 mln dmt]", , , , , , , , , , , , , , 
9,"Alufer (Bel Air),[$/dmt 34.0,[0.14 mln dmt]","Alufer (Bel Air),[$/dmt 34.0,[0.06 mln dmt]","Weipa_Amrun Generic,[$/dmt 29.4,[0.02 mln dmt]","GAC,[$/dmt 31.6,[0.04 mln dmt]","West Kalimantan,[$/dmt 34.5,[0.02 mln dmt]", , , , , , , , , , , , , ,"Metro BH1,[$/dmt 35.6,[0.6 mln dmt]","Metro BH1,[$/dmt 35.6,[0.6 mln dmt]","Metro BH1,[$/dmt 35.6,[0.6 mln dmt]","Metro BH1,[$/dmt 35.6,[0.6 mln dmt]","Metro BH1,[$/dmt 35.6,[0.6 mln dmt]","Metro BH1,[$/dmt 35.6,[0.6 mln dmt]","Metro BH1,[$/dmt 35.6,[0.6 mln dmt]","Metro BH1,[$/dmt 35.6,[0.6 mln dmt]","Metro BH1,[$/dmt 35.6,[0.6 mln dmt]"
