2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
Dian Dian,Dian Dian,Dian Dian,Dian Dian,Amrun HT,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa
AGB2A,AGB2A,AGB2A,AGB2A,Dian Dian,Metro LT,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian
Gove,Gove,Gove,Vietnam Others,SMB Kaboye,Metro BH1,AGB2A,AGB2A,AGB2A,AGB2A,AGB2A,AGB2A,AGB2A,AGB2A,AGB2A,AGB2A,AGB2A,AGB2A,AGB2A,AGB2A,AGB2A,AGB2A,AGB2A,AGB2A,AGB2A,AGB2A,AGB2A
Vietnam Others,Vietnam Others,Vietnam Others,Gove,AGB2A,Metro Blend,Gove,Gove,Gove,Gove,Gove,Gove,Gove,Gove,Gove,Gove,Gove,Gove,Gove,Gove,Gove,Gove,Gove,Gove,Gove,Gove,Gove
Dynamic,Dynamic,Dynamic,Dynamic,Vietnam Others,Amrun HT,Vietnam Others,Vietnam Others,Vietnam Others,Vietnam Others,Vietnam Others,Vietnam Others,Vietnam Others,Vietnam Others,Vietnam Others,Vietnam Others,Vietnam Others,Vietnam Others,Vietnam Others,Vietnam Others,Vietnam Others,Vietnam Others,Vietnam Others,Vietnam Others,Vietnam Others,Vietnam Others,Vietnam Others
GDM,GDM,SMB Santou-Houda,Solomon Islands,Gove,Dian Dian,GDM,GDM,GDM,GDM,GDM,GDM,GDM,GDM,GDM,GDM,GDM,GDM,GDM,GDM,GDM,GDM,GDM,GDM,GDM,GDM,GDM
Weipa_Amrun Generic,Weipa_Amrun Generic,Huntly,Huntly,GDM,AGB2A,Dynamic,Dynamic,Dynamic,Dynamic,Dynamic,Dynamic,Dynamic,Dynamic,Dynamic,Dynamic,Dynamic,Dynamic,Dynamic,Dynamic,Dynamic,Dynamic,Dynamic,Dynamic,Dynamic,Dynamic,Dynamic
SMB Santou-Houda,SMB Santou-Houda,Alufer (Bel Air),GDM,Dynamic,Gove,West Kalimantan,Metro LT,Metro LT,Solomon Islands,Solomon Islands,Solomon Islands,Solomon Islands,Solomon Islands,Solomon Islands,Solomon Islands,Solomon Islands,Solomon Islands,Solomon Islands,Solomon Islands,Solomon Islands,Solomon Islands,Solomon Islands,Solomon Islands,Solomon Islands,Solomon Islands,Solomon Islands
Huntly,Huntly,GAC,West Kalimantan,Solomon Islands,Vietnam Others,Solomon Islands,Metro BH1,Metro BH1,Metro LT,Metro LT,Metro LT,Metro LT,Metro LT,Metro LT,Metro LT,Metro LT,Metro LT,Metro LT,Metro LT,Metro LT,Metro LT,Metro LT,Metro LT,Metro LT,Metro LT,Metro LT
Alufer (Bel Air),Alufer (Bel Air),Weipa_Amrun Generic,GAC,West Kalimantan,Dynamic,Metro LT,West Kalimantan,West Kalimantan,Metro BH1,Metro BH1,Metro BH1,Metro BH1,Metro BH1,Metro BH1,Metro BH1,Metro BH1,Metro BH1,Metro BH1,Metro BH1,Metro BH1,Metro BH1,Metro BH1,Metro BH1,Metro BH1,Metro BH1,Metro BH1
