,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
Continuing domestic demand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.89595344744006,81.08233716333001,76.9761765668,72.21577883795999,63.417820812580004,61.123111032075,50.75910942285,47.22084356256001,44.11098065519999,39.74866075155002,33.60121636360001,31.327517113980015,30.676500999
Import demand - economic depletion of resources,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,8.829254501199992,18.22480223040001,26.27740791004999,29.07344235142499,26.021190512640004,18.30587768064,12.407825552720006,12.65922693902499,16.139166914800004,15.386640671819997,16.538635321200008
Import demand - outright depletion of resources,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0309796404900093,3.6390540269999962,14.446334771909989,23.35039510968001,28.60764768808001,30.762577380325006,32.54291033640001,34.573755197400004,34.9445359206
Import demand - exsiting inland converted & blending consumption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.626645335960001,20.59427846601,19.896911552,19.9966580028,19.1108421164,19.4949322875,18.8043759564,17.4217869972,17.2832497304,17.3162482482,17.462049448800002,17.4188384964,17.6056440516
Demand already curtailed due to import competition / inland bauxite scarcity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.49169551199996,24.405319320929987,24.896010579439995,24.502234109760018,26.27740791005001,30.022195722750013,30.31570339998,37.31382737459997,40.06102512135998,44.418800430609984,46.38026164203997,47.05725611981998,47.56191415757998
Forecast domestic actual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.89595344744006,81.08233716333001,76.9761765668,72.21577883795999,63.417820812580004,61.123111032075,50.75910942285,47.22084356256001,44.11098065519999,39.74866075155002,33.60121636360001,31.327517113980015,30.676500999
Forecast domestic demand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.89595344744006,81.08233716333001,85.80543106799999,90.44058106836,90.72620836312001,93.83560741049999,91.2266347074,88.87711635288002,85.126453896,83.17046507090001,82.28329361480003,81.28791298320002,82.15967224080002
Nominal domestic demand - no Bx shortage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.0142942954,126.08193495027,130.59835319944,134.93947318092,136.11445838957002,143.35273542075,140.34671406377998,143.61273072468,142.47072874776,144.90551374971,146.12560470564,145.76400759942,147.32723044998
