Field,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
Future Domestic Bx Demand ie CBIX 45 line,93.89595344744006,81.08233716333001,76.9761765668,72.21577883795999,63.417820812580004,61.123111032075,50.75910942285,47.220843562560006,44.11098065519999,39.74866075155002,33.60121636360001,31.327517113980015,30.676500999
Future Imported Bx Demand,4.007698085503938,2.928562038599985,9.895594287599994,19.293372324000025,27.35308236435,32.73070151922501,40.88922114865499,41.88766829883999,41.515522128190014,43.422401684649984,48.4803112246,49.82966796931999,50.99033367900001
Exsiting Converted Demand,8.766839562040001,19.51487249358,20.7936258348,21.1042593486,19.939331348,19.5924598275,19.3532852606,17.594431753000002,17.585353206100002,17.316584504999998,17.3537847516,17.352975585,17.3573442108
Curtailed,18.119911556800012,26.596667968740004,26.151983261460007,24.790826171520003,27.41658060350001,30.172388134349994,31.20063421067,37.68359636649999,40.76127392398999,44.419662980249996,46.092704044779985,46.879326466749994,46.89112837554
Domestic Demand,93.89595344744006,81.08233716333001,76.9761765668,72.21577883795999,63.417820812580004,61.123111032075,50.75910942285,47.220843562560006,44.11098065519999,39.74866075155002,33.60121636360001,31.327517113980015,30.676500999
Real Demand L,106.670491094984,103.52577169550999,107.6653966892,112.61341051056,110.71023452493,113.44627237880002,111.001615832105,106.7029436144,103.21185598949,100.4876469412,99.4353123398,98.5101606683,99.02417888880001
Namely Demand L,124.790402651784,130.12243966424998,133.81737995066,137.40423668208,138.12681512843,143.61866051315002,142.202250042775,144.38653998089998,143.97312991348,144.90730992145,145.52801638457998,145.38948713505,145.91530726434002
