,level_0,index,County,Province,reserve_id,refractory_allocation,Inventory,GeologicalEndowment,AI203,AS,Include Inventory in Allocations Further Processed?,Include in Endowment in Further Processing? (Provinces only),Comment by row,deep bauxite,de-rating factor Al2O3,de-rating factor AS,working_stock_prior_to_aa_and_as_de_rating000t,de_rated_sio2,de_rated_al2o3
13,144,144.0,Donglan,Guangxi,12.0,0.0,1890.0,148113.0,0.51037619,3.508563629,NO,Y1,deliberately no allocation - doubt if it will be developed,0.0,0.0,0.0,,,
14,118,118.0,Fangshan,Shanxi,102.0,0.0,0.0,10000.0,0.6803,8.72,Yes,N1,,0.0,0.948882088,0.8,,,
15,141,141.0,Fengdu,Chongqing,2.0,0.0,1346.0,1346.0,0.5653,3.0,Yes,Y1,deliberately not allocated ,0.0,0.95,0.8,,,
16,3,3.0,Fengfeng,Hebei,53.0,0.0,0.0,3346.0,0.59764834,5.0,Yes,N1,deliberately unallocated,0.0,0.947802688,0.8,,,
17,24,24.0,Fenxi,Shanxi,103.0,0.0,5509.8,24298.9,0.629698791,4.297074112,Yes,Y1,,0.0,0.95,0.79,,,
18,119,119.0,Fenyang,Shanxi,104.0,0.0,8674.2,16567.4,0.6458,6.132953466,Yes,Y1,,0.0,0.95,0.79,,,
19,163,,Fiji,Fiji,,,,,,,,,,,,,99000000.0,3.0,0.39
20,18,18.0,Fugu,Shaanxi,95.0,0.0,33646.0,33646.0,0.4956,5.0,Yes,Y1,2017 update,0.0,0.95,0.85,,,
21,39,39.0,Fumin,Yunnan,148.0,0.0,3344.0,3344.0,0.564147907,5.324604897,Yes,Y1,dellibertely not allocated,0.0,0.95,0.8,,,
22,86,86.0,Fuquan,Guizhou,34.0,0.0,7220.0,7220.0,0.6658,6.0,Yes,Y1,,0.0,0.9,0.75,,,
23,166,,Ghana,Ghana,,,,,,,,,,,,,99000000.0,2.0,0.51
24,0,0.0,Gongyi,Henan,60.0,0.15,180433.0,246607.0,0.654932318,5.015392967,Yes,Y1,10% refractory,0.0,0.938715141,0.800173271,,,
25,172,,Gove,Australia,,,,,,,,,,,,,99000000.0,4.7,0.46
26,23,23.0,Gu,Shanxi,106.0,0.0,7350.0,9918.0,0.6,4.8,Yes,Y1,,0.0,0.95,0.74,,,
27,40,40.0,Guangnan,Yunnan,149.0,0.0,8023.0,10137.0,0.5325,7.29,Yes,Y1,dellibertely not allocated,0.0,0.95,0.8,,,
28,139,139.0,Guangyuan,Sichuan,140.0,0.0,0.0,37466.0,0.55,5.0,Yes,N1,,0.0,0.95,0.85,,,
29,41,41.0,Gudu,Yunnan,150.0,0.0,3654.0,3654.0,0.58,3.9,Yes,Y1,dellibertely not allocated,0.0,0.95,0.8,,,
30,145,145.0,Guigang,Guangxi,13.0,0.0,0.0,220000.0,0.27,4.0,NO,Y1,"deliberately no allocation - ""gibbsite"" resource",0.0,0.0,0.0,,,
31,92,92.0,Guiyang,Guizhou,35.0,0.1,9512.0,9512.0,0.663537595,6.742433147,Yes,Y1,10% to refractory,0.0,0.899999874,0.800001177,,,
32,171,,Gujarat,India,,,,,,,,,,,,,99000000.0,4.0,0.43
33,25,25.0,Gujiao,Shanxi,105.0,0.0,0.0,117529.0,0.55,5.0,Yes,N1,2017 update,0.0,0.948882088,0.8,,,
34,164,,Guyana,Guyana,,,,,,,,,,,,,99000000.0,3.0,0.5
35,19,19.0,Hancheng,Shaanxi,96.0,0.0,220.0,220.0,0.55,5.0,NO,N1,2017 update,0.0,0.0,0.0,,,
36,146,146.0,Heng,Guangxi,14.0,0.0,0.0,267487.62,0.5,5.0,NO,Y1,"deliberately no allocation - ""gibbsite"" resource",0.0,0.0,0.0,,,
37,42,42.0,Heqing,Yunnan,151.0,0.0,239.0,239.0,0.5142,5.22,Yes,Y1,dellibertely not allocated,0.0,0.95,0.8,,,
38,26,26.0,Hequ,Shanxi,107.0,0.0,0.0,4245.0,0.55,5.0,Yes,N1,2017 update,0.0,0.948882088,0.8,,,
39,121,121.0,Heshun,Shanxi,108.0,0.1,3888.6,3888.6,0.6,4.8,Yes,Y1,10% to refractory,0.0,0.95,0.79,,,
40,43,43.0,Hongta,Yunnan,152.0,0.0,147.0,147.0,0.6049,4.5,Yes,Y1,dellibertely not allocated,0.0,0.95,0.8,,,
41,122,122.0,Huairen,Shanxi,109.0,0.1,5886.0,14564.5,0.5595,3.78,Yes,Y1,10% to refractory,0.0,0.95,0.79,,,
42,93,93.0,Huangping,Guizhou,36.0,0.0,14915.2,15283.6,0.656217237,8.445739697,Yes,Y1,could be mostly mined out,0.0,0.934126635,0.603854746,,,
43,103,103.0,Hubin,Henan,61.0,0.0,2791.2,3777.0,0.697,11.85,Yes,Y1,,0.0,0.817790531,0.337552743,,,
44,27,27.0,Huozhou,Shanxi,110.0,0.0,20810.0,20810.0,0.575,3.15,Yes,Y1,delliberately not allocated,0.0,0.95,0.79,,,
45,12,12.0,Jiaokou,Shanxi,111.0,0.0,144749.74,731765.34,0.648700225,5.733454206,Yes,Y1,x,0.0,0.94668603,0.76,,,
46,104,104.0,Jiaxian,Henan,62.0,0.0,4900.0,4900.0,0.6,4.0,Yes,Y1,,0.0,0.95,0.95,,,
47,123,123.0,Jiexiu,Shanxi,112.0,0.0,4323.0,4323.0,0.6524,7.05,Yes,Y1,,0.0,0.947970782,0.61,,,
48,124,124.0,Jincheng,Shanxi,114.0,0.0,2926.0,24860.0,0.6502,4.82,Yes,Y1,,0.0,0.876653337,1.18,,,
49,28,28.0,Jingle,Shanxi,113.0,0.0,0.0,20429.9,0.55,5.0,Yes,N1,2017 update,0.0,0.948882088,0.8,,,
50,75,75.0,Jingxi,Guangxi,15.0,0.0,406000.0,923420.0,0.494257065,6.048846453,Yes,Y1,,0.0,1.060114015,1.015787705,,,
51,4,4.0,Jingxing,Hebei,54.0,0.0,694.0,42878.0,0.6019,5.0,Yes,Y1,deliberately unallocated,0.0,0.979844785,0.8,,,
52,44,44.0,Jinnin,Yunnan,153.0,0.0,259.0,259.0,0.5242,3.09,Yes,Y1,dellibertely not allocated,0.0,0.95,0.8,,,
53,160,160.0,Jinsha,Guizhou,39.0,0.0,21958.8,23145.9,0.6224,3.69,Yes,Y1,,0.0,0.9,0.8,,,
54,105,105.0,Jiyuan,Henan,63.0,0.0,6335.4,6335.4,0.6,4.0,Yes,Y1,,0.0,0.95,0.9,,,
55,94,94.0,Kaili,Guizhou,37.0,0.0,58277.3,78860.2,0.633358857,6.649060347,Yes,Y1,,0.0,0.95,0.8,,,
56,95,95.0,Kaiyang,Guizhou,38.0,0.0,7769.2,7758.2,0.687108932,7.626925296,Yes,Y1,,0.0,0.905870255,0.805218005,,,
57,147,147.0,Laibin,Guangxi,16.0,0.0,7520.0,7520.0,0.5078,3.58,NO,Y1,"deliberately no allocation - ""gibbsite"" resource",0.0,0.0,0.0,,,
58,125,125.0,Lin,Shanxi,115.0,0.1,53325.5,53325.5,0.6307,6.73,Yes,Y1,10% refractory,0.0,0.950508293,0.65,,,
59,126,126.0,Lingshi,Shanxi,116.0,0.0,51706.1,65936.7,0.637352803,4.478867685,Yes,Y1,x,0.0,0.942814337,0.77,,,
60,148,148.0,Lingyun,Guangxi,17.0,0.0,0.0,8020.0,0.5154,1.68,NO,Y1,deliberately no allocation,0.0,0.0,0.0,,,
61,127,127.0,Liulin,Shanxi,117.0,0.1,40156.0,414642.0,0.661084439,6.783191122,Yes,Y1,10% refractory,0.0,0.948055014,0.84,,,
62,85,85.0,Long'an,Guangxi,18.0,0.0,0.0,14968.1,0.468,2.97,Yes,N1,,0.0,0.952415133,0.925797463,,,
63,91,91.0,Longli,Guizhou,40.0,0.0,396.0,10396.0,0.687568182,5.0,Yes,Y1,,0.0,0.829008693,0.8,,,
64,149,149.0,Longzhou,Guangxi,19.0,0.0,51192.0,51592.0,0.5,5.0,Yes,Y1,could be more discoveries in future,0.0,0.95,1.0,,,
65,128,128.0,Loufan,Shanxi,119.0,0.0,58418.0,74198.9,0.620526423,7.04112671,Yes,Y1,,0.0,0.994952613,0.84,,,
66,46,46.0,Ludian,Yunnan,154.0,0.0,0.0,20100.0,0.5242,3.09,Yes,Y1,,0.0,0.94572918,0.810531308,,,
67,107,107.0,Lushan,Henan,64.0,0.0,7828.7,58220.0,0.666213971,5.541187067,Yes,Y1,,0.0,0.955523067,0.899806822,,,
68,106,106.0,Lushan,Sichuan,141.0,0.0,14520.0,87360.0,0.55,5.0,Yes,Y1,dellibertely not allocated,0.0,0.95,0.85,,,
69,29,29.0,Lvliang,Shanxi,118.0,0.0,17026.3,44163.3,0.55,5.0,NO,N1,not allocated - in metro city 2017 update,0.0,0.0,0.0,,,
70,167,,MRN,Brazil,,,,,,,,,,,,,99000000.0,4.5,0.545
71,165,,Malaysia,Malaysia,,,,,,,,,,,,,99000000.0,3.0,0.395
72,47,47.0,Malipo,Yunnan,155.0,0.0,1686.9,3464.3,0.5663,6.07,Yes,Y1,,0.0,0.875664757,0.839020599,,,
73,150,150.0,Mashan,Guangxi,20.0,0.0,84390.0,295250.0,0.4286,2.01,NO,Y1,deliberately no allocation,0.0,0.0,0.0,,,
74,120,120.0,Mianchi,Henan,65.0,0.1,150034.8,504491.2,0.67248606,6.646494114,Yes,Y1,10% refractory,0.0,0.949193694,0.915189447,,,
75,35,35.0,Miyi,Sichuan,142.0,0.0,1160.0,6160.0,0.6,5.0,NO,N1,2017 update,0.0,0.0,0.0,,,
76,82,82.0,Nanchuan,Chongqing,3.0,0.0,94536.0,95686.0,0.616214108,6.449689408,Yes,Y1,,0.0,0.95,0.79982033,,,
77,87,87.0,Napo,Guangxi,21.0,0.0,69970.0,150910.0,0.5608,6.54,Yes,Y1,,0.0,0.95,1.0,,,
78,152,152.0,Ningming,Guangxi,22.0,0.0,0.0,77860.0,0.507,3.29,Yes,N1,deliberately no allocation,0.0,0.952415133,0.925797463,,,
79,45,45.0,Ningwu,Shanxi,122.0,0.1,37071.4,80547.8,0.583990359,5.035947964,Yes,Y1,10% for refractory,0.0,0.950019425,0.79,,,
80,67,67.0,Not Applicable,Beijing,1.0,0.0,420.0,420.0,0.45,3.0,NO,Y1,deliberately not allocated,0.0,0.0,0.0,,,
81,69,69.0,Not Applicable,China Total,162.0,0.0,5494285.622,13344103.48,0.592329715,5.624263256,,N1,,0.0,0.0,0.0,,,
82,74,74.0,Not Applicable,Chongqing,6.0,0.0,145858.0,164808.0,0.60295787,5.882555594,NO,Y1,,0.0,0.0,0.0,,,
83,57,57.0,Not Applicable,Fujian,7.0,0.0,653.0,653.0,0.45,3.0,NO,Y1,deliberately no allocation,0.0,0.0,0.0,,,
84,68,68.0,Not Applicable,Guangdong,8.0,0.0,0.0,118.0,0.45,3.0,NO,Y1,deliberately no allocation,0.0,0.0,0.0,,,
85,54,54.0,Not Applicable,Guangxi,32.0,0.0,1540372.11,5670295.702,0.510811446,5.668088956,NO,Y1,,0.0,0.0,0.0,,,
86,58,58.0,Not Applicable,Guizhou,50.0,0.0,1039162.89,1309768.857,0.625878503,5.957125665,NO,Y1,,0.0,0.0,0.0,,,
87,63,63.0,Not Applicable,Hainan,52.0,0.0,21906.0,21906.0,0.444,6.3,NO,Y1,deliberately unallocated - space launch station in Wenchang !,0.0,0.0,0.0,,,
88,64,64.0,Not Applicable,Hebei,57.0,0.0,24886.34,70416.34,0.610492305,5.0,NO,Y1,,0.0,0.0,0.0,,,
89,71,71.0,Not Applicable,Henan,79.0,0.0,880961.1122,1838008.712,0.650821035,5.716704046,NO,Y1,,0.0,0.0,0.0,,,
90,59,59.0,Not Applicable,Hubei,81.0,0.0,44425.4,44425.4,0.673,5.25,NO,Y1,,0.0,0.0,0.0,,,
91,55,55.0,Not Applicable,Hunan,83.0,0.0,4815.0,4815.0,0.6219,5.0,NO,Y1,,0.0,0.0,0.0,,,
92,62,62.0,Not Applicable,Inner Mongolia,85.0,0.0,0.0,8000.0,0.55,5.0,NO,Y1,dliberate no allocation - believe A/S is overstated,0.0,0.0,0.0,,,
93,66,66.0,Not Applicable,Jiangxi,86.0,0.0,0.0,8000.0,0.45,3.0,NO,Y1,dliberate no allocation,0.0,0.0,0.0,,,
94,65,65.0,Not Applicable,Liaoning,87.0,0.0,0.0,8000.0,0.45,3.0,NO,Y1,dliberate no allocation,0.0,0.0,0.0,,,
95,61,61.0,Not Applicable,Shaanxi,100.0,0.0,41262.0,41405.0,0.55,5.0,NO,Y1,? not traded any more,0.0,0.0,0.0,,,
96,60,60.0,Not Applicable,Shandong,92.0,0.0,57946.0,207676.0,0.551076866,3.81292954,NO,Y1,mined out,0.0,0.0,0.0,,,
97,72,72.0,Not Applicable,Shanxi,139.0,0.0,1526761.17,3628160.47,0.624324799,5.386458518,NO,Y1,,0.0,0.0,0.0,,,
98,70,70.0,Not Applicable,Sichuan,144.0,0.0,20220.0,135526.0,0.55,5.0,NO,Y1,,0.0,0.0,0.0,,,
99,56,56.0,Not Applicable,Xinjiang,145.0,0.0,553.2,553.2,0.45,3.0,NO,Y1,dellibertely not allocated,0.0,0.0,0.0,,,
100,73,73.0,Not Applicable,Yunnan,161.0,0.0,144083.4,181147.8,0.544258342,6.455931278,NO,Y1,,0.0,0.0,0.0,,,
101,7,7.0,Pingdingshan,Henan,66.0,0.0,4490.0,4490.0,0.664,5.4,Yes,Y1,2017 update,0.0,0.95,0.85,,,
102,76,76.0,Pingguo,Guangxi,23.0,0.0,362009.26,1470592.722,0.601202635,7.270024455,Yes,Y1,,0.0,0.946102271,1.144364729,,,
103,52,52.0,Pinglu,Shanxi,123.0,0.1,123712.73,131359.73,0.626428193,5.154480134,Yes,Y1,10% for refractory,0.0,0.944095772,0.83,,,
104,153,153.0,Pingxiang,Guangxi,24.0,0.0,0.0,20150.0,0.411,3.32,Yes,N1,deliberate no allocation,0.0,0.952415133,0.925797463,,,
105,17,17.0,Pucheng,Shaanxi,94.0,0.0,5500.0,5500.0,0.54,2.4,NO,N1,2017 update,0.0,0.0,0.0,,,
106,10,10.0,Qingshuihe,Inner Mongolia,84.0,0.0,0.0,8000.0,0.55,5.0,NO,Y1,dliberate no allocation - believe A/S is overstated,0.0,0.0,0.0,,,
107,79,79.0,Qingzhen,Guizhou,41.0,0.21,315509.3,328766.6,0.674580734,8.347631817,Yes,Y1,20% to refractory,0.0,0.875089673,0.62833991,,,
108,142,142.0,Qinjiang,Chongqing,4.0,0.0,9500.0,11000.0,0.6436,4.7,Yes,Y1,deliberately not allocated,0.0,0.95,0.8,,,
109,108,108.0,Qinyang,Henan,67.0,0.0,10330.0,10330.0,0.6,4.0,Yes,Y1,,0.0,0.95,0.85,,,
110,131,131.0,Qinyuan,Shanxi,124.0,0.0,35793.7,120021.1,0.596445692,4.142143723,Yes,Y1,,0.0,0.95,0.93,,,
111,162,,Queensland,Australia,,,,,,,,,,,,,99000000.0,9.0,0.54
112,109,109.0,Ruyang,Henan,68.0,0.0,0.0,45.0,0.6,4.0,Yes,N1,,0.0,0.941719576,0.818938341,,,
113,110,110.0,Ruzhou,Henan,69.0,0.0,6196.0,7457.3,0.632076509,6.155768857,Yes,Y1,,0.0,0.954806412,0.796482416,,,
114,170,,SMB,Guinea,,,,,,,,,,,,,99000000.0,2.0,0.39
115,112,112.0,Sanmenxia,Henan,70.0,0.0,14398.0,14398.0,0.6468,5.7,Yes,Y1,,0.0,0.95,0.8,,,
116,129,129.0,Shaan,Henan,71.0,0.0,81672.6,81672.6,0.648222396,7.316368325,Yes,Y1,,0.0,0.965217694,0.79937424,,,
117,154,154.0,Shanglin,Guangxi,25.0,0.0,136740.0,423780.0,0.447965116,3.486425339,Yes,Y1,deliberately no allocation poor bauxite,0.0,0.922504867,0.752633355,,,
118,132,132.0,Shenchi,Shanxi,125.0,0.0,3727.4,6378.2,0.620212942,6.802961302,Yes,Y1,,0.0,0.947661201,0.79,,,
119,133,133.0,Shuozhou,Shanxi,126.0,0.0,4586.0,7323.8,0.6083,6.48,Yes,Y1,,0.0,0.95,0.79,,,
120,48,48.0,Songming,Yunnan,156.0,0.0,1141.0,1141.0,0.5787,4.95,Yes,Y1,dellibertely not allocated,0.0,0.95,0.8,,,
121,11,11.0,Tai'an,Shandong,88.0,0.0,3615.0,3615.0,0.55,4.0,Yes,N1,mined out,0.0,0.95,0.85,,,
122,5,5.0,Tangshan,Hebei,55.0,0.0,23869.0,23869.0,0.611195831,5.0,Yes,Y1,deliberately unallocated,0.0,0.91356328,0.8,,,
123,155,155.0,Tian'e,Guangxi,28.0,0.0,580.0,46230.0,0.4948,4.92,Yes,Y1,deliberately no allocation,0.0,0.95,0.8,,,
124,89,89.0,Tiandong,Guangxi,26.0,0.0,16327.85,214257.46,0.513836569,5.425187629,Yes,Y1,,0.0,0.976185874,1.109639041,,,
125,156,156.0,Tianlin,Guangxi,29.0,0.0,1080.0,30450.0,0.494781481,7.553610662,Yes,Y1,deliberately no allocation,0.0,0.908178695,0.529548077,,,
126,36,36.0,Tianquan,Sichuan,143.0,0.0,4540.0,4540.0,0.59,3.47,Yes,Y1,dellibertely not allocated,0.0,0.95,0.85,,,
127,90,90.0,Tianyang,Guangxi,27.0,0.0,121130.0,707740.0,0.539432263,5.685398329,Yes,Y1,,0.0,0.91589588,1.132596653,,,
128,20,20.0,Tongchuan,Shaanxi,97.0,0.0,943.0,943.0,0.55,5.0,Yes,Y1,? not traded any more,0.0,0.95,0.85,,,
129,100,100.0,Tongzi,Guizhou,42.0,0.0,0.0,0.0,0.6,5.0,Yes,N1,,0.0,0.910373345,0.837243372,,,
130,173,,Vietnam,Vietnam,,,,,,,,,,,,,99000000.0,5.0,0.5
131,2,2.0,Wenchang,Hainan,51.0,0.0,21906.0,21906.0,0.444,6.3,NO,Y1,deliberately unallocated - space launch station in Wenchang !,0.0,0.0,0.0,,,
132,96,96.0,Weng'an,Guizhou,43.0,0.0,5803.8,14337.3,0.6041,7.0,Yes,Y1,,0.0,0.95,0.8,,,
133,77,77.0,Wenshan,Yunnan,157.0,0.0,78143.3,82951.3,0.519891091,6.739101817,Yes,Y1,,0.0,0.952026316,0.80200179,,,
134,6,6.0,Wu'an,Hebei,56.0,0.0,323.34,323.34,0.577,5.0,Yes,Y1,deliberately unallocated,0.0,0.95,0.8,,,
135,80,80.0,Wuchuan,Guizhou,44.0,0.0,101900.0,120000.0,0.67,6.53,Yes,Y1,have one mine in. operation - but no refinery,0.0,0.9,0.857580398,,,
136,83,83.0,Wulong,Chongqing,5.0,0.0,40476.0,56776.0,0.563709812,5.228765189,Yes,Y1,,0.0,1.0,0.8,,,
137,1,1.0,Wutai,Shanxi,127.0,0.0,77794.8,80955.8,0.6232,4.327777778,Yes,Y1,,18304.0,0.937355689,0.85,,,
138,31,31.0,Wuxiang,Shanxi,128.0,0.0,8244.1,14574.6,0.5,5.0,Yes,Y1,bx under coal strip ratio 23; 2017 update,0.0,0.95,0.79,,,
139,134,134.0,Xia,Shanxi,129.0,0.1,6303.6,6303.6,0.643263342,4.023525902,Yes,Y1,10% for refractory,0.0,0.95,0.88,,,
140,32,32.0,Xiangyuan,Shanxi,130.0,0.0,9470.0,48487.8,0.5,5.0,Yes,Y1,2017 update,0.0,0.95,0.88,,,
141,151,151.0,Xiaoyi,Shanxi,131.0,0.25,295000.5,331002.7,0.645096599,5.287417981,Yes,Y1,15% refractory,4865.0,0.958931652,0.8,,,
142,49,49.0,Xichou,Yunnan,158.0,0.0,34214.2,34214.2,0.572616468,6.682996164,Yes,Y1,,0.0,0.962517453,0.90641593,,,
143,97,97.0,Xifeng,Guizhou,45.0,0.24,1859.0,1859.0,0.6241,4.4,Yes,Y1,20% to refractory,0.0,0.95,0.8,,,
144,111,111.0,Xin'an,Henan,72.0,0.0,158774.7,427184.8,0.641838064,5.517840002,Yes,Y1,,0.0,0.943205811,0.782706539,,,
145,140,140.0,Xing,Shanxi,132.0,0.0,126902.8,424954.2,0.619375025,8.471944747,Yes,Y1,,0.0,0.969099202,0.66,,,
146,113,113.0,Xingyang,Henan,73.0,0.0,22116.0,28088.4,0.6672,4.0,Yes,Y1,,0.0,0.95,0.85,,,
147,88,88.0,Xinmi,Henan,74.0,0.2,42951.0,71445.0,0.678179926,7.122264963,Yes,Y1,20% refractory,0.0,0.94534619,0.756406335,,,
148,50,50.0,Xishan,Yunnan,159.0,0.0,1058.0,1058.0,0.632240076,6.399333977,Yes,Y1,dellibertely not allocated,0.0,0.95,0.8,,,
149,98,98.0,Xiuwen,Guizhou,46.0,0.21,87444.2,90137.2,0.638192914,5.738766893,Yes,Y1,20% refractory,0.0,0.963422133,0.788731483,,,
150,21,21.0,Xixiang,Shaanxi,98.0,0.0,151.0,151.0,0.55,5.0,NO,N1,2017 update,0.0,0.0,0.0,,,
151,135,135.0,Xiyang,Shanxi,133.0,0.2,19152.0,27352.0,0.622,4.23,Yes,Y1,20% refractory,0.0,0.95,0.79,,,
152,34,34.0,Yangquan,Shanxi,135.0,0.2,111240.8,166705.4,0.615660692,5.316731446,Yes,Y1,20% refractory - mostly mined out,0.0,0.982950645,0.75,,,
153,51,51.0,Yanshan,Yunnan,160.0,0.0,5666.0,13931.0,0.6374,5.91,Yes,Y1,dellibertely not allocated,0.0,0.95,0.8,,,
154,99,99.0,Yanshi,Henan,75.0,0.0,58336.65217,126387.6522,0.665713303,5.775551415,Yes,Y1,,0.0,0.948733073,0.864491964,,,
155,115,115.0,Yicheng,Hubei,80.0,0.0,44425.4,44425.4,0.673,5.25,Yes,Y1,,0.0,0.908511883,0.8,,,
156,114,114.0,Yichuan,Henan,76.0,0.0,755.0,755.0,0.6,4.0,Yes,Y1,,0.0,0.95,1.0,,,
157,30,30.0,Yingze,Shanxi,120.0,0.0,0.0,12474.8,0.55,5.0,Yes,N1,2017 update,0.0,0.948882088,0.8,,,
158,8,8.0,Yiyang,Henan,77.0,0.0,2256.0,2256.0,0.6034,5.4,NO,Y1,mined out ??,0.0,0.0,0.0,,,
159,157,157.0,Yizhou,Guangxi,30.0,0.0,30.0,53240.0,0.526,2.78,NO,Y1,deliberately no allocation,0.0,0.0,0.0,,,
160,158,158.0,Yongning,Guangxi,31.0,0.0,1000.0,12670.0,0.5492,9.86,Yes,Y1,deliberately no allocation,0.0,0.95,0.8,,,
161,130,130.0,Yu,Shanxi,121.0,0.3,63872.0,63872.0,0.588805442,4.065729431,Yes,Y1,30% refractory,0.0,0.95,0.79,,,
162,136,136.0,Yuanping,Shanxi,134.0,0.0,40978.1,64243.2,0.578776801,4.521138595,Yes,Y1,,1172.0,0.953828272,0.8,,,
163,137,137.0,Yuanqu,Shanxi,136.0,0.1,0.0,20000.0,0.6,4.8,Yes,N1,10% for refractory,0.0,0.948882088,0.8,,,
164,9,9.0,Yuzhou,Henan,78.0,0.1,26059.0,58659.0,0.663218956,6.159083004,Yes,Y1,10% for refracroriy,0.0,0.912816413,0.678696233,,,
165,13,13.0,Zhangqiu,Shandong,89.0,0.0,6045.0,6045.0,0.55,4.0,Yes,N1,mined out,0.0,0.95,0.85,,,
166,22,22.0,Zhenba,Shaanxi,99.0,0.0,461.0,461.0,0.55,5.0,NO,N1,2017 update,0.0,0.0,0.0,,,
167,161,161.0,Zheng'an,Guizhou,47.0,0.0,112871.8,192512.1,0.615838462,4.513143729,Yes,Y1,,0.0,0.863862901,1.060865388,,,
168,101,101.0,Zhijin,Guizhou,48.0,0.0,14936.1,15671.76667,0.6578,8.06,Yes,Y1,,0.0,0.9,0.75,,,
169,138,138.0,Zhongyang,Shanxi,137.0,0.0,7335.0,27695.0,0.6833,8.24,Yes,Y1,,0.0,0.913805789,0.58,,,
170,15,15.0,Zibo,Shandong,91.0,0.0,48286.0,48286.0,0.551292302,3.786461529,Yes,N1,mined out,0.0,0.945851323,0.906706976,,,
171,14,14.0,Zouwu,Shandong,90.0,0.0,0.0,149730.0,0.55,2.4,Yes,Y1,low quality,0.0,0.948617108,0.868902325,,,
172,81,81.0,Zunyi,Guizhou,49.0,0.11,95808.04,104034.04,0.670716015,6.388346512,Yes,Y1,10% to refractory,0.0,0.798012229,0.77165951,,,
173,33,33.0,Zuoquan,Shanxi,138.0,0.0,0.0,66764.9,0.5,5.0,Yes,Y1,2017 update,0.0,0.948882088,0.8,,,
