,level_0,index,County,Province,reserve_id,refractory_allocation,Inventory,GeologicalEndowment,AI203,AS,Include Inventory in Allocations Further Processed?,Include in Endowment in Further Processing? (Provinces only),Comment by row,deep bauxite,de-rating factor Al2O3,de-rating factor AS,working_stock_prior_to_aa_and_as_de_rating000t,de_rated_sio2,de_rated_al2o3
0,37,37.0,Annin,Yunnan,146.0,0.0,5539.0,5539.0,0.594489908,5.882661187,Yes,Y1,dellibertely not allocated,0.0,0.95,0.8,,,
1,117,117.0,Baode,Shanxi,101.0,0.0,130827.0,271677.8,0.591764273,8.401344534,Yes,Y1,,0.0,0.951074595,0.81,,,
2,102,102.0,Baofeng,Henan,58.0,0.0,23864.86,37835.16,0.614699404,4.953515924,Yes,Y1,,0.0,0.948417453,0.820804477,,,
3,143,143.0,Binyang,Guangxi,9.0,0.0,7520.0,24010.0,0.4292,2.06,NO,Y1,"deliberately no allocation - ""gibbsite"" resource",0.0,0.0,0.0,,,
4,169,,CBG,Guinea,,,,,,,,,,,,,99000000.0,1.5,0.483
5,16,16.0,Chencheng,Shaanxi,93.0,0.0,341.0,484.0,0.4956,5.0,Yes,Y1,? not traded any more,0.0,0.95,0.85,,,
6,38,38.0,Chengong,Yunnan,147.0,0.0,969.0,969.0,0.5389,5.58,Yes,Y1,dellibertely not allocated,0.0,0.95,0.8,,,
7,116,116.0,Chenxi,Hunan,82.0,0.0,4815.0,4815.0,0.6219,5.0,Yes,Y1,,0.0,0.95,0.85,,,
8,168,,China,Fly Ash,,,,,,,,,,,,,99000000.0,1.2,0.42
9,84,84.0,Chongzuo,Guangxi,10.0,0.0,87771.0,184374.8,0.477,4.0,Yes,Y1,,0.0,0.95,0.975,,,
10,159,159.0,Daozhen,Guizhou,33.0,0.0,182982.15,290274.95,0.582525314,3.854034555,Yes,Y1,very mountainous ! ? difficult to build,0.0,1.046581127,1.579643335,,,
11,53,53.0,Debao,Guangxi,11.0,0.0,185222.0,317660.0,0.513519647,7.242822811,Yes,Y1,,0.0,0.95,0.85,,,
12,78,78.0,Dengfeng,Henan,59.0,0.2,76438.2,142674.2,0.649083712,5.768815722,Yes,Y1,10% for refractory,0.0,0.962906471,0.908143986,,,
