Mine,Reactive Alumina,Reactive Silica,Available Alumina,Tonnes per Tonne,Bauxite Cost Incl. Processing Penalties,Caustic Use t.NAOH / t.AA,Caustic cost,Thermal Energy Cost,Lime Cost,Mud make,Mud Disposal Cost,Total Cost
SMB Generic,,,,,0,,,52.69114137479914,1.290330288711402,,,
West Kalimantan Generic,,,,,0,,,52.69114137479914,1.290330288711402,,,
Weipa/Amrun Generic,0.54,0.08999999999999998,0.42930000000000007,2.588192665061987,0,0.17476240391334727,65.2491964980926,58.545712638665705,7.885351764347457,1.9829550689753344,8.88426037032181,140.56452127142757
Gove,,,,,0,,,50.374164429055966,1.2210288298473715,,,
Alufer Bel Air,,,,,0,,,50.374164429055966,1.2210288298473715,,,
Central Kalimantan Generic,,,,,0,,,50.374164429055966,1.2210288298473715,,,
CBG LT,,,,,0,,,50.374164429055966,1.2210288298473715,,,
Huntly,,,,,0,,,50.374164429055966,1.2210288298473715,,,
Turkey,,,,,0,,,50.374164429055966,1.2210288298473715,,,
Bauxite Hills,0.54,0.08999999999999998,0.42930000000000007,2.588192665061987,0,0.17476240391334727,41.9864452590009,55.971293810062186,7.461842849067271,1.9829550689753344,8.407101762190509,113.82668368032085
Chalco Boffa,,,,,0,,,50.374164429055966,1.2210288298473715,,,
Rennell Island,,,,,0,,,50.374164429055966,1.2210288298473715,,,
Discovery Bay,,,,,0,,,50.374164429055966,1.2210288298473715,,,
MRN,,,,,0,,,50.374164429055966,1.2210288298473715,,,
