,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
AA made from import bauxite,1.2,3.29,6.3,6.25,6.28,8.735,10.35,13.48,13.99,14.85,17.625,20.305,23.81,25.325,30.87,38.315,47.263000000000005,54.975,59.323,64.944,67.625,69.35,71.245,72.2,72.2,72.7,72.7
AA from domestic source inc. fly ash,7.165,10.405097,13.437000000000001,16.3516,17.49332196,20.20303857,23.52015466,28.366,32.515,35.710499999999996,39.5005,39.9755,45.58,45.495,43.23,38.685,32.037,26.125,23.177,18.756,16.275,14.65,12.855,11.9,11.9,11.4,11.3
