,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
Existing,2.155981268,9.237389292000001,23.17776692,25.88902957,19.791645300000006,30.35901066,45.23409017,40.06615285,71.60850865,36.52008452,56.09999918,52.05039162,68.75856349,82.36493252,100.6628611,85.41816767858401,85.531114267144,85.710007207656,84.17546144332,83.81393081406802,83.90956814879601,84.25369378556002,84.21021974097202,84.1795904937,84.36042878338401,84.3564952529,84.37773206959201
Planned Additional Imports,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.978263662875994,19.76993963985599,24.005427152723993,27.904569502279987,30.344801780832,31.425550769103996,37.12162496423999,41.24946432642799,45.69479329379999,47.896445914415985,48.6829842321,48.695240213207995
Depletion Imports,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0756744543000096,3.6572591677999964,14.868030636014987,23.581790618200014,29.107696575470012,30.763174745625,32.341144309800015,34.4430272975,34.451698357800005
CBIX U$65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0952843459399908,5.299664384599989,9.508873836280001,10.068938953150004,6.880210625799994,5.328099553490003,2.8860974175000034,2.1034890607999928,3.3391331807499895,4.418233071839981
CBIX U$55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.463765604299992,18.138977338860016,22.1169162189,19.710014586464986,16.71182335341,11.607072887800005,7.296609240740004,9.773375345624984,13.935615027800011,11.989328586000006,11.887150883760027
CBIX U$45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.577906275520018,20.676831311159987,16.3974764375,20.76800741715001,18.11101357157501,17.962076595599992,16.79794933119998,11.675575916250008,6.047531049799993,3.864980925749997,2.892890701799985
Stockpile building,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL,2.155981268,9.237389292000001,23.17776692,25.88902957,19.791645300000006,30.35901066,45.23409017,40.06615285,71.60850865,36.52008452,56.09999918,52.05039162,68.75856349,82.36493252,100.6628611,100.39643134146,143.34272578682,149.62652735634,156.96976244089998,167.802887602595,175.09492543205,181.40646947720003,183.99003876830002,184.9726072125,186.684654146,186.675949475,186.722945298
