Mine,Price,Total Alumina,LT Avail. Alumina,Total Silica,LT R.Silica,Quartz / HT Silica,Mono-hydrate / HT Alumina,Moisture,Processing,Processing Penalties
Juruti,36.12388266174038,0.52,0.44000000000000006,0.045,0.09,0.003999999999999997,0.004000000000000038,0.15000000000000002,LT,
Juruti,36.12388266174038,0.52,0.44000000000000006,0.045,0.09,0.003999999999999997,0.004000000000000038,0.05,LT,
Juruti,55.71721677409981,0.52,0.5,0.045,0.03,0.003999999999999997,0.004000000000000038,0.15000000000000002,LT,
Juruti,55.71721677409981,0.52,0.5,0.045,0.03,0.003999999999999997,0.004000000000000038,0.05,LT,
Juruti,22.96147560070216,0.52,0.33999999999999997,0.045,0.09,0.003999999999999997,0.004000000000000038,0.15000000000000002,LT,
Juruti,22.96147560070216,0.52,0.33999999999999997,0.045,0.09,0.003999999999999997,0.004000000000000038,0.05,LT,
Juruti,42.55480971306157,0.52,0.4,0.045,0.03,0.003999999999999997,0.004000000000000038,0.15000000000000002,LT,
Juruti,42.55480971306157,0.52,0.4,0.045,0.03,0.003999999999999997,0.004000000000000038,0.05,LT,
