Mine,Price,Total Alumina,LT Avail. Alumina,Total Silica,LT R.Silica,Quartz / HT Silica,Mono-hydrate / HT Alumina,Moisture,Processing,Processing Penalties
SMB Generic,55.0,0.448,0.4,0.023,0.013,0.01,0.035,0.1,LT,0.33
West Kalimantan Generic,54.0,0.48,0.44,0.08,0.035,0.045,0.005,0.15,LT,0.33
Weipa/Amrun Generic,49.0,0.53,0.3625,0.08999999999999998,0.0675,0.0225,0.1,0.13,HT-D,0.67
Gove,50.14999999999999,0.495,0.425,0.05,0.042,0.008,0.028000000000000004,0.095,LT,0.67
Alufer Bel Air,50.14999999999999,0.46,0.405,0.048,0.017,0.031,0.03799999999999999,0.101,LT,0.33
Central Kalimantan Generic,50.14999999999999,0.48,0.44,0.08,0.035,0.045,0.005,0.15,LT,0.33
CBG LT,50.14999999999999,0.487,0.433,0.022,0.019,0.0029999999999999988,0.035,0.071,LT,0.33
Huntly,50.14999999999999,0.35,0.33,0.2,0.011,0.18899999999999997,0.008999999999999963,0.08,LT,1.0
Turkey,100.29999999999998,0.562,0.45,0.082,0.05,0.032,0.062000000000000034,0.05,HT-D,
Bauxite Hills,50.14999999999999,0.513,0.405,0.095,0.051,0.044,0.05699999999999999,0.1,HT-D,0.67
Chalco Boffa,50.14999999999999,0.42,0.371,0.019,0.013999999999999999,0.004999999999999999,0.035,0.1,LT,0.33
Rennell Island,50.14999999999999,0.48,0.47,0.011,0.01,0.0009999999999999992,,0.15,HT-D,2.5
Discovery Bay,50.14999999999999,0.49,0.43,0.015,0.01,0.004999999999999999,0.05,0.17,HT-D,0.83
MRN,50.14999999999999,0.55,0.49,0.06,0.055,0.0049999999999999975,0.005000000000000053,0.12,LT,
