day_id,date,nax,sax,wacif
day_413,00-01-1900,0,0,0
day_412,00-01-1900,0,0,0
day_411,00-01-1900,0,0,0
day_410,00-01-1900,0,0,0
day_409,00-01-1900,0,0,0
day_408,00-01-1900,0,0,0
day_407,00-01-1900,0,0,0
day_406,00-01-1900,0,0,0
day_405,00-01-1900,0,0,0
day_404,00-01-1900,0,0,0
day_403,00-01-1900,0,0,0
day_402,00-01-1900,0,0,0
day_401,00-01-1900,0,0,0
day_400,00-01-1900,0,0,0
day_399,00-01-1900,0,0,0
day_398,00-01-1900,0,0,0
day_397,00-01-1900,0,0,0
day_396,00-01-1900,0,0,0
day_395,00-01-1900,0,0,0
day_394,00-01-1900,0,0,0
day_393,00-01-1900,0,0,0
day_392,00-01-1900,0,0,0
day_391,00-01-1900,0,0,0
day_390,00-01-1900,0,0,0
day_389,00-01-1900,0,0,0
day_388,00-01-1900,0,0,0
day_387,00-01-1900,0,0,0
day_386,00-01-1900,0,0,0
day_385,00-01-1900,0,0,0
day_384,00-01-1900,0,0,0
day_383,00-01-1900,0,0,0
day_382,00-01-1900,0,0,0
day_381,00-01-1900,0,0,0
day_380,00-01-1900,0,0,0
day_379,00-01-1900,0,0,0
day_378,00-01-1900,0,0,0
day_377,00-01-1900,0,0,0
day_376,00-01-1900,0,0,0
day_375,00-01-1900,0,0,0
day_374,00-01-1900,0,0,0
day_373,00-01-1900,0,0,0
day_372,00-01-1900,0,0,0
day_371,00-01-1900,0,0,0
day_370,00-01-1900,0,0,0
day_369,00-01-1900,0,0,0
day_368,00-01-1900,0,0,0
day_367,00-01-1900,0,0,0
day_366,00-01-1900,0,0,0
day_365,00-01-1900,0,0,0
day_364,00-01-1900,0,0,0
day_363,00-01-1900,0,0,0
day_362,00-01-1900,0,0,0
day_361,00-01-1900,0,0,0
day_360,00-01-1900,0,0,0
day_359,00-01-1900,0,0,0
day_358,00-01-1900,0,0,0
day_357,00-01-1900,0,0,0
day_356,00-01-1900,0,0,0
day_355,00-01-1900,0,0,0
day_354,00-01-1900,0,0,0
day_353,00-01-1900,0,0,0
day_352,00-01-1900,0,0,0
day_351,00-01-1900,0,0,0
day_350,00-01-1900,0,0,0
day_349,00-01-1900,0,0,0
day_348,00-01-1900,0,0,0
day_347,00-01-1900,0,0,0
day_346,00-01-1900,0,0,0
day_345,00-01-1900,0,0,0
day_344,00-01-1900,0,0,0
day_343,00-01-1900,0,0,0
day_342,00-01-1900,0,0,0
day_341,00-01-1900,0,0,0
day_340,00-01-1900,0,0,0
day_339,00-01-1900,0,0,0
day_338,00-01-1900,0,0,0
day_337,00-01-1900,0,0,0
day_336,00-01-1900,0,0,0
day_335,00-01-1900,0,0,0
day_334,00-01-1900,0,0,0
day_333,00-01-1900,0,0,0
day_332,00-01-1900,0,0,0
day_331,00-01-1900,0,0,0
day_330,00-01-1900,0,0,0
day_329,00-01-1900,0,0,0
day_328,00-01-1900,0,0,0
day_327,00-01-1900,0,0,0
day_326,00-01-1900,0,0,0
day_325,00-01-1900,0,0,0
day_324,00-01-1900,0,0,0
day_323,00-01-1900,0,0,0
day_322,00-01-1900,0,0,0
day_321,00-01-1900,0,0,0
day_320,00-01-1900,0,0,0
day_319,00-01-1900,0,0,0
day_318,00-01-1900,0,0,0
day_317,00-01-1900,0,0,0
day_316,00-01-1900,0,0,0
day_315,00-01-1900,0,0,0
day_314,00-01-1900,0,0,0
day_313,00-01-1900,0,0,0
day_312,00-01-1900,0,0,0
day_311,00-01-1900,0,0,0
day_310,00-01-1900,0,0,0
day_309,00-01-1900,0,0,0
day_308,00-01-1900,0,0,0
day_307,00-01-1900,0,0,0
day_306,00-01-1900,0,0,0
day_305,00-01-1900,0,0,0
day_304,00-01-1900,0,0,0
day_303,00-01-1900,0,0,0
day_302,00-01-1900,0,0,0
day_301,00-01-1900,0,0,0
day_300,00-01-1900,0,0,0
day_299,00-01-1900,0,0,0
day_298,00-01-1900,0,0,0
day_297,00-01-1900,0,0,0
day_296,00-01-1900,0,0,0
day_295,00-01-1900,0,0,0
day_294,00-01-1900,0,0,0
day_293,00-01-1900,0,0,0
day_292,00-01-1900,0,0,0
day_291,00-01-1900,0,0,0
day_290,00-01-1900,0,0,0
day_289,00-01-1900,0,0,0
day_288,00-01-1900,0,0,0
day_287,00-01-1900,0,0,0
day_286,00-01-1900,0,0,0
day_285,00-01-1900,0,0,0
day_284,00-01-1900,0,0,0
day_283,00-01-1900,0,0,0
day_282,00-01-1900,0,0,0
day_281,00-01-1900,0,0,0
day_280,00-01-1900,0,0,0
day_279,00-01-1900,0,0,0
day_278,00-01-1900,0,0,0
day_277,00-01-1900,0,0,0
day_276,00-01-1900,0,0,0
day_275,00-01-1900,0,0,0
day_274,00-01-1900,0,0,0
day_273,00-01-1900,0,0,0
day_272,00-01-1900,0,0,0
day_271,00-01-1900,0,0,0
day_270,00-01-1900,0,0,0
day_269,00-01-1900,0,0,0
day_268,00-01-1900,0,0,0
day_267,00-01-1900,0,0,0
day_266,00-01-1900,0,0,0
day_265,00-01-1900,0,0,0
day_264,00-01-1900,0,0,0
day_263,00-01-1900,0,0,0
day_262,00-01-1900,0,0,0
day_261,00-01-1900,0,0,0
day_260,00-01-1900,0,0,0
day_259,00-01-1900,0,0,0
day_258,00-01-1900,0,0,0
day_257,00-01-1900,0,0,0
day_256,00-01-1900,0,0,0
day_255,00-01-1900,0,0,0
day_254,00-01-1900,0,0,0
