Mine,Total Alumina,LT Avail. Alumina,Total Silica,LT R.Silica,Quartz / HT Silica,Mono-hydrate / HT Extble Alumina,Moisture,Processing,Cargo Tonnage,Double Leg Shipping? (South America special transload leg),Exporting Port,South America special transloading Port,South america special transloading cargo tonnage,Importing Port,Specific Index,General Index,Price Type,Price Basis,Price FOB,Freight (adjusted to Qingdao),Price CIF (Port adjustyed to Qingdao),"Processing Penalties to be applied (for organics, goehtite, impurities, crushing etc)",EXPLANITORY NOTES RECORD (on changes made to final spec etc),Old CBIX type Calc,INDEX VALUE  Guinea 45/3 LT,INDEX VALUE  Indonesian LT,INDEX VALUE  Australia HT,CBIX LT,CBIX HT,Old CBIX
SMB Generic,0.448,0.4,0.023,0.013,0.01,0.035,0.1,LT,153450.0,No,SMB-WAP_Nunez_Offshore,0,0,Qingdao,Guinea 45/3 LT,CBIX LT,CIF,dmt,41.26904793786911,13.730952062130887,55.0,0.33,,CBIX,,0,0,,0,
West Kalimantan Generic,0.48,0.44,0.08,0.035,0.045,0.005,0.15,LT,174396.0,No,West_Kal_Generic_Offshore,0,0,Qingdao,Indonesian LT,CBIX LT,CIF,dmt,49.53505596609345,4.464944033906546,54.0,0.33,,CBIX,0,,0,,0,
Weipa/Amrun Generic,0.53,0.3625,0.08999999999999998,0.0675,0.0225,0.1,0.13,HT-D,74154.0,No,Weipa_Amrun_Wharf,0,0,Qingdao,Australia HT,CBIX HT,CIF,dmt,40.13070943915136,8.869290560848643,49.0,0.67,,CBIX,0,0,50.7780505889034,0,,
Gove,0.495,0.425,0.05,0.042,0.008,0.028000000000000004,0.095,LT,83825.625,No,Gove_wharf,0,0,Qingdao,CBIX LT,CBIX LT,CFR,dmt,45.5011965993556,4.648803400644389,50.14999999999999,0.67,,CBIX,0,0,0,,0,
Alufer Bel Air,0.46,0.405,0.048,0.017,0.031,0.03799999999999999,0.101,LT,157774.5,No,Alufer_Cape_Verga_Offshore,0,0,Qingdao,Guinea 45/3 LT,CBIX LT,CFR,dmt,42.28539934786871,7.864600652131282,50.14999999999999,0.33,,CBIX,,0,0,,0,
Central Kalimantan Generic,0.48,0.44,0.08,0.035,0.045,0.005,0.15,LT,47238.75,No,Central_Kal_Generic_Offshore,0,0,Qingdao,Indonesian LT,CBIX LT,CFR,dmt,43.22476225266862,6.925237747331374,50.14999999999999,0.33,,CBIX,0,,0,,0,
CBG LT,0.487,0.433,0.022,0.019,0.0029999999999999988,0.035,0.071,LT,59781.15,No,CBG_Wharf,0,0,Qingdao,Guinea 45/3 LT,CBIX LT,CFR,dmt,34.4329703643529,15.717029635647096,50.14999999999999,0.33,,CBIX,,0,0,,0,
Huntly,0.35,0.33,0.2,0.011,0.18899999999999997,0.008999999999999963,0.08,LT,42607.5,No,Kwinana_wharf,0,0,Qingdao,CBIX LT,CBIX LT,CFR,dmt,39.743058898301456,10.406941101698536,50.14999999999999,1.0,,CBIX,0,0,0,,0,
Turkey,0.562,0.45,0.082,0.05,0.032,0.062000000000000034,0.05,HT-D,77805.0,No,Turkey,0,0,Qingdao,CBIX HT,CBIX HT,CFR,dmt,87.89451541282577,12.405484587174218,100.29999999999998,,,CBIX,0,0,0,0,,
Bauxite Hills,0.513,0.405,0.095,0.051,0.044,0.05699999999999999,0.1,HT-D,55721.25,No,Bauxite_Hills_offshore,0,0,Qingdao,Australia HT,CBIX HT,CFR,dmt,40.838262882715256,9.311737117284737,50.14999999999999,0.67,,CBIX,0,0,56.657039850134716,0,,
Chalco Boffa,0.42,0.371,0.019,0.013999999999999999,0.004999999999999999,0.035,0.1,LT,157950.0,No,Chalco_Boffa_offshore,0,0,Qingdao,Guinea 45/3 LT,CBIX LT,CFR,dmt,42.46102461011491,7.688975389885077,50.14999999999999,0.33,,CBIX,,0,0,,0,
Rennell Island,0.48,0.47,0.011,0.01,0.0009999999999999992,,0.15,HT-D,59670.0,No,Rennell_Is._offshore,0,0,Qingdao,CBIX HT,CBIX HT,CFR,dmt,43.3800488936348,6.769951106365193,50.14999999999999,2.5,,CBIX,0,0,0,0,,
Discovery Bay,0.49,0.43,0.015,0.01,0.004999999999999999,0.05,0.17,HT-D,48555.0,No,Discovery_Bay_wharf,0,0,Qingdao,CBIX HT,CBIX HT,CFR,dmt,30.98400385478,19.165996145219992,50.14999999999999,0.83,,CBIX,0,0,0,0,,
MRN,0.55,0.49,0.06,0.055,0.0049999999999999975,0.005000000000000053,0.12,LT,140000.0,Yes,MRN_wharf,Pt_Lisas,46666.666666666664,Qingdao,CBIX LT,CBIX LT,CFR,dmt,33.59787329043438,16.55212670956561,50.14999999999999,,,CBIX,0,0,0,,0,
