Mine,Qingdao Freight,Actual Port Freight,Freight Differential
SMB Generic,13.730952062130887,13.730952062130887,0.0
West Kalimantan Generic,4.464944033906546,4.464944033906546,0.0
Weipa/Amrun Generic,8.869290560848643,8.869290560848643,0.0
Gove,4.648803400644389,4.648803400644389,0.0
Alufer Bel Air,7.864600652131282,7.864600652131282,0.0
Central Kalimantan Generic,6.925237747331374,6.925237747331374,0.0
CBG LT,15.717029635647096,15.717029635647096,0.0
Huntly,10.406941101698536,10.406941101698536,0.0
Turkey,12.405484587174218,12.405484587174218,0.0
Bauxite Hills,9.311737117284737,9.311737117284737,0.0
Chalco Boffa,7.688975389885077,7.688975389885077,0.0
Rennell Island,6.769951106365193,6.769951106365193,0.0
Discovery Bay,19.165996145219992,19.165996145219992,0.0
MRN,16.55212670956561,16.55212670956561,0.0
