Mine,Amount per Capacity Tarrif Graduations - Tonnage Reference,Amount per Capacity Tarrif Graduations - 1st,Amount per Capacity Tarrif Graduations - 2nd,Amount per Capacity Tarrif Graduations - 3rd,Amount per Capacity Tarrif Graduations - 4th,Amount per Capacity Tarrif Graduations - 5th,Amount per Capacity Tarrif Graduations - 6th,Amount per Capacity Tarrif Graduations - 7th,Amount per Capacity Tarrif Graduations - 8th,Amount per Capacity Tarrif Graduations - 9th,Amounts per Cargo Tarrif Graduations - Tonnage Reference,Amounts per Cargo Tarrif Graduations - 1st,Amounts per Cargo Tarrif Graduations - 2nd,Amounts per Cargo Tarrif Graduations - 3rd,Amounts per Cargo Tarrif Graduations - 4th,Amounts per Cargo Tarrif Graduations - 5th,Amounts per Cargo Tarrif Graduations - 6th,Amounts per Cargo Tarrif Graduations - 7th,Amounts per Cargo Tarrif Graduations - 8th,Amounts per Cargo Tarrif Graduations - 9th
SMB Generic,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Kalimantan Generic,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Weipa/Amrun Generic,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gove,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alufer Bel Air,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central Kalimantan Generic,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CBG LT,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Huntly,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Turkey,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite Hills,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chalco Boffa,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rennell Island,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Discovery Bay,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRN,163170.16317016317,163170.16317016317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159090.9090909091,159090.9090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
