,,Day,Date,NAX,SAX,WA CIF VAT incl.,,Date,WA CIF VAT INCL.,USD: RMB,Australia (FOB WA),WA CIF RMB/t
HARD CODE VALUES,Make X Axis Date Start," 3,377 ",01-Mar-11,"2,795",," 3,355 ",,1/7/2011,479,6.6341,," 3,177.00 "
HARD CODE VALUES,#REF!," 3,376 ",02-Mar-11,"2,804",," 3,356 ",,1/10/2011,484,6.6349,," 3,208.42 "
HARD CODE VALUES,," 3,375 ",03-Mar-11,"2,812",," 3,362 ",,1/11/2011,484,6.6216,," 3,202.15 "
HARD CODE VALUES,," 3,374 ",04-Mar-11,"2,812",," 3,361 ",,1/12/2011,492,6.6128,," 3,252.16 "
HARD CODE VALUES,," 3,371 ",07-Mar-11,"2,823",," 3,360 ",,1/13/2011,493,6.5997,," 3,253.60 "
HARD CODE VALUES,," 3,370 ",08-Mar-11,"2,827",," 3,362 ",,1/14/2011,493,6.5896,," 3,248.74 "
HARD CODE VALUES,," 3,369 ",09-Mar-11,"2,820",," 3,365 ",,1/17/2011,488,6.5897,," 3,217.95 "
HARD CODE VALUES,," 3,368 ",10-Mar-11,"2,817",," 3,371 ",,1/18/2011,488,6.5891,," 3,217.66 "
HARD CODE VALUES,," 3,367 ",11-Mar-11,"2,811",," 3,372 ",,1/19/2011,488,6.5885,," 3,217.38 "
HARD CODE VALUES,," 3,364 ",14-Mar-11,"2,814",," 3,370 ",,1/20/2011,487,6.5883,," 3,209.57 "
HARD CODE VALUES,," 3,363 ",15-Mar-11,"2,813",," 3,354 ",,1/21/2011,487,6.5886,," 3,209.72 "
HARD CODE VALUES,," 3,362 ",16-Mar-11,"2,808",," 3,340 ",,1/24/2011,487,6.5883,," 3,209.57 "
HARD CODE VALUES,," 3,361 ",17-Mar-11,"2,813",," 3,346 ",,1/25/2011,487,6.5881,," 3,209.48 "
HARD CODE VALUES,," 3,360 ",18-Mar-11,"2,813",," 3,353 ",,1/26/2011,487,6.5878,," 3,209.34 "
HARD CODE VALUES,," 3,357 ",21-Mar-11,"2,815",," 3,351 ",,1/27/2011,486,6.5876,," 3,201.53 "
HARD CODE VALUES,," 3,356 ",22-Mar-11,"2,815",," 3,359 ",,1/28/2011,486,6.593,," 3,204.09 "
HARD CODE VALUES,," 3,355 ",23-Mar-11,"2,820",," 3,380 ",,1/31/2011,488,6.5891,," 3,213.81 "
HARD CODE VALUES,," 3,354 ",24-Mar-11,"2,799",," 3,382 ",,2/1/2011,488,6.5891,," 3,217.66 "
HARD CODE VALUES,," 3,353 ",25-Mar-11,"2,795",," 3,379 ",,2/2/2011,488,6.5891,," 3,217.66 "
HARD CODE VALUES,," 3,350 ",28-Mar-11,"2,764",," 3,381 ",,2/3/2011,488,6.5891,," 3,217.66 "
HARD CODE VALUES,," 3,349 ",29-Mar-11,"2,758",," 3,382 ",,2/4/2011,488,6.5891,," 3,217.66 "
HARD CODE VALUES,," 3,348 ",30-Mar-11,"2,765",," 3,372 ",,2/7/2011,488,6.5891,," 3,217.66 "
HARD CODE VALUES,," 3,347 ",31-Mar-11,"2,765",," 3,371 ",,2/8/2011,492,6.5891,," 3,240.79 "
HARD CODE VALUES,," 3,346 ",01-Apr-11,"2,751",," 3,363 ",,2/9/2011,492,6.585,," 3,238.82 "
HARD CODE VALUES,," 3,341 ",06-Apr-11,"2,728",," 3,367 ",,2/10/2011,498,6.5849,," 3,277.30 "
HARD CODE VALUES,," 3,340 ",07-Apr-11,"2,708",," 3,373 ",,2/11/2011,498,6.5952,," 3,282.30 "
HARD CODE VALUES,," 3,339 ",08-Apr-11,"2,714",," 3,371 ",,2/12/2011,504,6.5952,," 3,320.88 "
HARD CODE VALUES,," 3,336 ",11-Apr-11,"2,708",," 3,386 ",,2/13/2011,504,6.5952,," 3,320.88 "
HARD CODE VALUES,," 3,335 ",12-Apr-11,"2,702",," 3,388 ",,2/14/2011,504,6.5985,," 3,322.50 "
HARD CODE VALUES,," 3,334 ",13-Apr-11,"2,720",," 3,384 ",,2/15/2011,504,6.5929,," 3,319.75 "
HARD CODE VALUES,," 3,333 ",14-Apr-11,"2,720",," 3,382 ",,2/16/2011,504,6.5855,," 3,316.11 "
HARD CODE VALUES,," 3,332 ",15-Apr-11,"2,700",," 3,373 ",,2/17/2011,504,6.58,," 3,313.41 "
HARD CODE VALUES,," 3,329 ",18-Apr-11,"2,700",," 3,381 ",,2/18/2011,502,6.5781,," 3,304.78 "
HARD CODE VALUES,," 3,328 ",19-Apr-11,"2,697",," 3,394 ",,2/21/2011,502,6.5705,," 3,301.06 "
HARD CODE VALUES,," 3,327 ",20-Apr-11,"2,705",," 3,395 ",,2/22/2011,505,6.5772,," 3,319.73 "
HARD CODE VALUES,," 3,326 ",21-Apr-11,"2,698",," 3,476 ",,2/23/2011,505,6.5828,," 3,322.49 "
HARD CODE VALUES,," 3,325 ",22-Apr-11,"2,696",,#N/A,,2/24/2011,509,6.5795,," 3,351.66 "
HARD CODE VALUES,," 3,322 ",25-Apr-11,"2,698",,#N/A,,2/25/2011,509,6.5757,," 3,349.77 "
HARD CODE VALUES,," 3,321 ",26-Apr-11,"2,698",," 3,469 ",,2/28/2011,511,6.5752,," 3,357.21 "
HARD CODE VALUES,," 3,320 ",27-Apr-11,"2,698",," 3,465 ",,3/1/2011,511,6.5706,," 3,354.92 "
HARD CODE VALUES,," 3,319 ",28-Apr-11,"2,698",," 3,463 ",,3/2/2011,511,6.5736,," 3,356.41 "
