No,Ref .No.,Refiney Name,Province,Province category,Technology,Ownership,Owner,Bauxite,ref cell,ref cell row,column 1,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
,19.1,Qizheng Chemical,Guizhou,Guizhou,H-B,Qiya,Qiya,Imported,0,-,General Imports,-,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,726.3000000000001,1210.5,1944.0,2187.0,2394.0,2385.0,
,19.2,Qizheng Chemical Added LT,Guizhou,Guizhou,L-B,Qiya,Qiya,Imported,0,-,General Imports,-,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.0,400.5,536.0,540.0,532.0,534.0,536.0,538.0,538.0,540.0,540.0,532.0,530.0,
,20,SPIC - Wuchuan,Guizhou,Guizhou,H-B,SPIC,SPIC,Imported,0,-,General Imports,-,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,21,Kaisheng,Guizhou,Guizhou,H-B,Private,Other,Imported,0,-,General Imports,-,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,22,Huajin,Guizhou,Guizhou,H-B,"Chalco, Jinjiang",Chalco,Imported,0,-,General Imports,-,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3456.0,3888.0,4256.0,4240.0,
,23.1,Chalco Zhengzhou domestic,Henan,Henan,H-B,Chalco,Chalco,Imported,0,-,General Imports,-,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,23.2,Chalco Zhengzhou import,Henan,Henan,L-B,Chalco,Chalco,Imported,0,-,General Imports,-,,,,0.0,250.0,250.0,250.0,250.0,0.0,0.0,0.0,528.0,798.0,801.0,804.0,810.0,798.0,801.0,804.0,807.0,807.0,810.0,810.0,798.0,795.0,
,24.1,Chalco Zhongzhou Dom. Sinter,Henan,Henan,Sinter,Chalco,Chalco,Imported,0,-,General Imports,-,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,24.2,Chalco Zhongzhou Dom. Bayer,Henan,Henan,H-B-ODT-Sweet,Chalco,Chalco,Imported,0,-,General Imports,-,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,24.3,Chalco Zhongzhou LT Amt,Henan,Henan,L-B,Chalco,Chalco,Imported,0,-,General Imports,-,,,,0.0,500.0,375.0,375.0,500.0,500.0,0.0,0.0,528.0,3990.0,5607.0,5360.0,4860.0,3990.0,3737.9999999999995,3751.9999999999995,3765.9999999999995,3765.9999999999995,3510.0,3510.0,3458.0,3445.0,
,25.1,Kaiman,Henan,Henan,"H-B, ODT, Sweetening",Jinjiang,Jinjiang,Imported,0,-,General Imports,-,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1735.5,2144.0,2421.0,2690.0,1350.0,1350.0,1330.0,1325.0,
,25.2,Kaiman Import,Henan,Henan,L-B,Jinjiang,Jinjiang,Imported,0,-,General Imports,-,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1335.0,1340.0,1350.0,1330.0,1335.0,1340.0,1345.0,1345.0,1350.0,1350.0,1330.0,1325.0,
,26.1,East Hope Mianchi,Henan,Henan,"H-B, ODT",East Hope,East Hope,Imported,0,-,General Imports,-,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1596.0,2670.0,4288.0,4842.0,5380.0,4050.0,4050.0,3990.0,3975.0,
,26.2,East Hope Mianchi Added LT,Henan,Henan,L-B,East Hope,East Hope,Imported,0,-,General Imports,-,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,27,Huiyuan Lushan,Henan,Henan,"H-B, ODT","Shenhuo, Huiyuan",Shenhuo,Imported,0,-,General Imports,-,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,28,Jingxin,Henan,Henan,H-B,Private,Other,Imported,0,-,General Imports,-,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,29,Shenhuo,Henan,Henan,Sintering,Shenhuo,Shenhuo,Imported,0,-,General Imports,-,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,30.1,Wanji,Henan,Henan,H-B,Wanji Holdings,Other,Imported,0,-,General Imports,-,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,30.2,Wanji import,Henan,Henan,L-B,Wanji Holdings,Other,Imported,0,-,General Imports,-,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,957.5999999999999,2670.0,2680.0,2700.0,2660.0,2670.0,2680.0,2690.0,2690.0,2700.0,2700.0,2660.0,2650.0,
,31,Weilai,Henan,Henan,H-B,Private,Other,Imported,0,-,General Imports,-,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,32,Yifeng Gongyi (Yulian Xinya),Henan,Henan,H-B,Private,Other,Imported,0,-,General Imports,-,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,33,Yima Yixiang,Henan,Henan,"H-B, CGA","Jinjiang, Yima Coal Group",Jinjiang,Imported,0,-,General Imports,-,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,239.39999999999998,400.5,643.1999999999999,726.3000000000001,807.0,810.0,810.0,798.0,795.0,
,34,Zhongmei,Henan,Henan,"H-B, Sweetening","Yongmei Group, Wuzhou Aluminium, Dengfeng Electric Power Corporation",Other,Imported,0,-,General Imports,-,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,35,Shaoxing,Henan,Henan,H-B,Private,Other,Imported,0,-,General Imports,-,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,36,Zhongchao,Henan,Henan,H-B,Private,Other,Imported,0,-,General Imports,-,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
