,,Bx Origin Cty,Bx origin Prov,Country,Destination,Refiney Prov,Bx Prov category,Self Supply,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
,,Nanchuan,Chongqing,China,Bosai Xianfeng domestic,Chongqing,Other,1,1005.1276761728789,1009.9676969277247,845.2478930637983,848.779805095672,852.3518922706198,684.2795773928193,686.2638567471914,689.154051696748,692.2809811037156,694.5056801041558,522.10004249796,348.578848792253,0.0
,,Wulong,Chongqing,China,Bosai Xianfeng domestic,Chongqing,Other,1,188.19918382712106,189.10542487227522,158.26343993620182,158.92475190432788,159.59358622938012,128.12388020718075,128.49541485280878,129.03657230325217,129.6220556962845,130.03860629584418,97.75753290204005,65.26758380774709,0.0
,,Zunyi,Guizhou,China,Bosai Xianfeng domestic,Chongqing,Guizhou,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Nanchuan,Chongqing,China,Shuijiang,Chongqing,Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Wulong,Chongqing,China,Tuoyuan,Chongqing,Other,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Longzhou,Guangxi,China,Chalco Pingguo ,Guangxi,Guangxi,1,194.06842790092264,202.7452053858519,203.32730142410307,203.89262752994176,204.4444531158885,204.9855453552422,205.51828949396304,206.04479042616927,206.56694807339227,207.0865174971458,207.6051573879986,166.49302288819612,166.89951210167368
,,Pingguo,Guangxi,China,Chalco Pingguo ,Guangxi,Guangxi,0.95,5364.640241055609,5604.492700117629,5620.583600965013,5636.2109299927415,5651.4650636838,5666.422495105059,5681.149159692804,5695.703243107696,5710.137264946103,5724.499740433943,5738.836520811769,4602.372369899344,4613.608965237201
,,Tiandong,Guangxi,China,Chalco Pingguo ,Guangxi,Guangxi,1,34.52334944346902,36.06688449651931,36.17043511088541,36.271002477316344,36.36916820031181,36.46542453969893,36.56019581323346,36.65385646613549,36.74674448050566,36.839172068910436,36.93143430023213,29.617887212458605,29.690198661124793
,,Chongzuo,Guangxi,China,Jinjiang Chongzuo domestic,Guangxi,Guangxi,1,0.0,0.0,0.0,0.0,393.6595931751821,723.4061522953639,735.4231362909618,594.2818423448921,598.6770208754162,451.5806537910182,453.62147609763423,455.7442963986633,457.96265238265244
,,Longzhou,Guangxi,China,Jinjiang Chongzuo domestic,Guangxi,Guangxi,1,0.0,0.0,0.0,0.0,282.3508885083197,518.8603895195455,527.4795268838352,426.2464553626937,429.39888092213874,323.8945551984081,325.3583274563452,326.8809124727665,328.47202010475644
