No,Ref .No.,Refiney Name,Province,Province category,Technology,Ownership,Owner,Bauxite,ref cell,ref cell row,column 1,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,Bosai Xianfeng domestic,Chongqing,Other,Chongqing,Nanchuan,,,1,,,,,,,17531.12724936156,17506.890248553824,17470.244881302333,17423.107722543933,17351.526020321562,17296.428891356125,17245.778640582525,17180.498971571273,17097.096219760588,17015.16260861346,16942.529260441654,16872.028616356954,16801.320311978954,16742.439942601555,16694.03046045662,16624.018534377446,16548.930334880406,16495.919409514263,16457.348394813835,16433.168231724714,16423.501851035293,16423.501851035293,
2,1.1,Bosai Xianfeng domestic,Chongqing,Other,Chongqing,Wulong,,,1,,,,,,,3282.5121804046025,3277.9740666121324,3271.1126216720872,3262.286703317079,3248.883811073081,3238.5674752002146,3229.0837687197345,3216.860863391726,3201.244608669269,3185.9034344966394,3172.303633030011,3159.10315711978,3145.86379908677,3134.839092750498,3125.7749457320215,3112.66597693272,3098.6065313564145,3088.6808143312746,3081.4588129297767,3076.931341379589,3075.121417128734,3075.121417128734,
3,1.1,Bosai Xianfeng domestic,Chongqing,Guizhou,Guizhou,Zunyi,,,1,,,,,,,288.960469446469,286.60713291729303,282.48834373611334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,3,Shuijiang,Chongqing,Other,Chongqing,Nanchuan,,,1,,,,,,,3069.840722181027,3009.542959911257,2991.742994796737,2975.295369059958,2958.95607057477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,4,Tuoyuan,Chongqing,Other,Chongqing,Wulong,,,1,,,,,,,622.1918841047421,622.1918841047421,622.1918841047421,622.1918841047421,622.1918841047421,622.1918841047421,622.1918841047421,622.1918841047421,622.1918841047421,622.1918841047421,622.1918841047421,622.1918841047421,622.1918841047421,622.1918841047421,622.1918841047421,622.1918841047421,622.1918841047421,622.1918841047421,622.1918841047421,622.1918841047421,622.1918841047421,622.1918841047421,
6,5,Chalco Pingguo ,Guangxi,Guangxi,Guangxi,Longzhou,,,1,,,,,,,3856.955861977819,3839.1946803317683,3820.833499893788,3803.171525889147,3787.4982655613103,3773.2642201388903,3760.115421058714,3747.8105744209543,3736.4029620718848,3725.5188901674787,3714.853279739329,3704.5532332695816,3694.554100363485,3684.8017319800724,3675.2499955876865,3665.8587241812816,3656.592207033581,3647.4180052126603,3638.3060134879915,3629.3705499627977,3620.5310994353804,3611.6184257897544,
7,5,Chalco Pingguo ,Guangxi,Guangxi,Guangxi,Pingguo,,,0.95,,,,,,,106617.9638230746,106126.99086669167,105619.43212302442,105131.20156689218,104697.94509146911,104304.47288327916,103941.000177131,103600.85687743545,103285.51585610548,102984.6470813312,102689.8172446744,102405.09270511889,102128.68632957441,101859.10127423526,101595.06229593886,101335.45905678037,101079.30440389492,100825.7016267693,100573.81852547845,100326.81519928975,100082.46596370768,99836.09261894533,
8,5,Chalco Pingguo ,Guangxi,Guangxi,Guangxi,Tiandong,,,1,,,,,,,686.1241493597089,682.9645654586707,679.6982461747396,676.5563105852217,673.7681525676146,671.2360203221609,668.8969454385399,666.7080035023453,664.6786729631006,662.742476427745,660.8451425861637,659.0128398906392,657.2340675102853,655.4991927280055,653.8000089048924,652.1293706254537,650.4809252133164,648.8489020204958,647.2279455473628,645.638392145729,644.0659187519522,642.4804195026841,
9,6.1,Jinjiang Chongzuo domestic,Guangxi,Guangxi,Guangxi,Chongzuo,,,1,,,,,,,6976.630602139192,6976.630602139192,6976.630602139192,6976.630602139192,6976.630602139192,6976.630602139192,6976.630602139192,6976.630602139192,6976.630602139192,6976.630602139192,6976.630602139192,6976.630602139192,6976.630602139192,6327.514070892892,6224.121028752105,6161.874425855904,6116.637115520014,6081.787475870529,6054.4257917376935,6026.224763039505,5997.033929039394,5969.203231724077,
