No,Ref .No.,Refiney Name,Province,Province category,Technology,Ownership,Owner,Bauxite,ref cell,ref cell row,column 1,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
16,8,Jinjiang Tiandong,Guangxi,Guangxi,Guangxi,Chongzuo,,,1,,,,,,,0.0,0.0,0.0,23.510408262525598,27.150765400677177,44.01289213017608,38.954666092158845,56.25513661281256,54.026543480166836,50.51147781105352,57.91053832495101,58.42964102091906,58.93109093467045,59.42028155835617,59.901352046607705,60.37757136258707,60.85165410998201,49.02304601850096,59.66262985345972,60.935828813434576,61.455615050733265,81.02492983090306,
17,8,Jinjiang Tiandong,Guangxi,Guangxi,Guangxi,Napo,,,1,,,,,,,0.0,0.0,0.0,239.25363589666162,276.299725081485,447.8971335115805,396.42210350490103,572.4803168957372,549.801042084091,514.0299813538784,589.3265100403279,594.6091578798415,599.7121622064964,604.6904098854156,609.5860230177584,614.4322682024451,619.256770600003,498.8829573560005,607.1566669622567,620.1133743487201,625.4029782456029,824.5500819828367,
18,8,Jinjiang Tiandong,Guangxi,Guangxi,Guangxi,Tiandong,,,1,,,,,,,0.0,0.0,0.0,83.9932832336046,96.99882294018703,157.24045594361112,139.1694378852826,200.9770978922804,193.01522619219836,180.45730278084034,206.8911859557645,208.7457322181222,210.53721215172772,212.28489454633555,214.00356694554884,215.70490804697602,217.3986160435989,175.13973144265816,213.15070805176322,217.6993385844093,219.55632686648642,289.46965974715476,
19,8,Jinjiang Tiandong,Guangxi,Guangxi,Guangxi,Tianyang,,,1,,,,,,,0.0,0.0,0.0,701.8733566572081,810.5515920776509,1313.9489536146323,1162.9420443176575,1679.42560259917,1612.893787193544,1507.9559693342278,1728.8455166789563,1744.3426678811174,1759.3128177071053,1773.9169820098928,1788.2787299900854,1802.4956523879919,1816.6487902464162,1463.52072998284,1781.1519823325202,1819.1617190309003,1834.6792764906986,2418.8962964108705,
20,9,Xinfa Jingxi,Guangxi,Guangxi,Guangxi,Jingxi,,,1,,,,,,,4012.165020821552,4078.7189862361083,4691.3451659639995,4757.844599047339,5106.0014632721195,5221.969997034935,4362.837343182338,5888.427977938611,5469.655831866155,5924.730862719251,5872.681622103521,6474.82346875588,6574.4546082809375,5335.388077924951,5406.758236020682,5482.85305026548,5565.034869167461,5655.1752335684305,6846.911096470133,7075.3329361405085,7271.885021422492,0,
21,9,Xinfa Jingxi,Guangxi,Guangxi,Guangxi,Napo,,,0,,,,,,,226.68968317844855,230.45002136389186,265.06376079600074,268.82101787266055,288.49208544788127,295.0443758050657,246.5028756176618,332.69964366138817,309.03877113384556,334.75077800074837,331.8099652964786,365.8313337441202,371.4605517190624,301.45256407504894,305.48501997931874,309.78442173451975,314.42774283253976,319.5207264315697,386.85450352986663,399.7604718031538,410.86578021130913,0,
22,11,Tiangui,Guangxi,Guangxi,Guangxi,Jingxi,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1123.2200795,1207.0302020000001,1728.7615870000002,2020.6685992,2063.9119591999997,4115.3604328500005,4413.8666,4607.466393600001,0,0,0,0,
23,14,Chalco Guizhou,Guizhou,Guizhou,Guizhou,Guiyang,,,1,,,,,,,59.22617647614147,61.36799132309914,65.63344912925815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,14,Chalco Guizhou,Guizhou,Guizhou,Guizhou,Qingzhen,,,1,,,,,,,1847.2520649824914,1914.0548223822798,2047.0935598009796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,14,Chalco Guizhou,Guizhou,Guizhou,Guizhou,Xiuwen,,,0.5,,,,,,,114.8648175956427,119.01871012015067,127.29125212805381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
26,14,Chalco Guizhou,Guizhou,Guizhou,Guizhou,Zhijin,,,0,,,,,,,28.855861885724046,29.899385494469936,31.977579101708628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,15,Chalco Zunyi,Guizhou,Guizhou,Guizhou,Kaiyang,,,1,,,,,,,46.21244399423331,127.86668263466355,158.1195314347211,249.70424298633299,241.339467127418,209.84717329149086,238.14138398093684,243.5453441650169,253.55520206842186,256.6071158232976,0,0,0,0,0,0,0,0,0,0,0,0,
28,15,Chalco Zunyi,Guizhou,Guizhou,Guizhou,Jinsha,,,1,,,,,,,16.10467331155874,44.560533338617276,55.10341323325576,87.0199649753818,84.10490637019205,73.13008962770361,82.99039954376869,84.87363717050272,88.36199393106656,89.4255618740098,0,0,0,0,0,0,0,0,0,0,0,0,
29,15,Chalco Zunyi,Guizhou,Guizhou,Guizhou,Weng'an,,,0,,,,,,,57.9663975256305,160.38907089201896,198.3366129013912,313.21553594067916,302.7232122126554,263.2209771931202,298.7117091852008,305.4901454064522,318.04597133239224,321.8741273578806,0,0,0,0,0,0,0,0,0,0,0,0,
30,15,Chalco Zunyi,Guizhou,Guizhou,Guizhou,Xifeng,,,0,,,,,,,1.04168993005827,2.8822850335962964,3.564224468665515,5.6286656348265245,5.44011246545696,4.730234291357034,5.36802341927723,5.489835866740395,5.715471372635568,5.784265566386868,0,0,0,0,0,0,0,0,0,0,0,0,
31,15,Chalco Zunyi,Guizhou,Guizhou,Guizhou,Zunyi,,,1,,,,,,,421.53788819851917,1166.3666041011038,1442.3252181219664,2277.7371237020857,2201.435815092202,1914.1713059963286,2172.2637328708165,2221.557251391288,2312.8645703094376,2340.703333378425,0,0,0,0,0,0,0,0,0,0,0,0,
32,16,Xian,Guizhou,Guizhou,Guizhou,Kaiyang,,,0.6,,,,,,,214.16891778132552,219.5523741841439,178.90153370647525,294.81237986808884,282.98520692111083,187.54085739658856,190.93920309730066,195.08184835040862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
33,16,Xian,Guizhou,Guizhou,Guizhou,Xifeng,,,0.3,,,,,,,3.317260018674491,3.4006443158561233,2.77100389352476,4.566345718500717,4.383154766436338,2.9048182834114478,2.957455222699328,3.0216206095913605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34,17,Huafei,Guizhou,Guizhou,Guizhou,Xiuwen,,,0.6,,,,,,,71.90932325780017,49.88400081913921,73.22067761977426,88.00384946007284,337.25964234207015,302.047320125917,306.4077167563155,310.2789821280557,299.6063478960468,78.9593514696402,245.51203146374326,246.67874432506247,258.39554356072387,270.28306731861943,273.01407539093276,262.0229691358578,300.915908534602,335.1652680064235,372.27357751388297,297.1544289989425,221.7075052444901,0,
