Qingdao Freight,Actual Port Freight,Freight Differential
13.949113871275152,13.949113871275152,0.0
7.535979046380581,7.535979046380581,0.0
6.408241622558135,6.408241622558135,0.0
5.206881175119831,5.206881175119831,0.0
9.41822071760959,9.41822071760959,0.0
7.486059281714457,7.486059281714457,0.0
18.034112632740072,18.034112632740072,0.0
11.444192880845659,11.444192880845659,0.0
12.349889885492942,12.349889885492942,0.0
8.865107237169987,8.865107237169987,0.0
9.233878698139154,9.233878698139154,0.0
7.536561215513697,7.536561215513697,0.0
18.6698538618658,18.6698538618658,0.0
18.899892904603774,18.899892904603774,0.0
