Mine,Reactive Alumina,Reactive Silica,Available Alumina,Tonnes per Tonne,Bauxite Cost Incl. Processing Penalties,Caustic Use t.NAOH / t.AA,Caustic cost,Thermal Energy Cost,Lime Cost,Mud make,Mud Disposal Cost,Total Cost
West Kalimantan Generic,,,,,0,,,50.459594890727935,1.2230995948482588,,,
West Kalimantan Generic,,,,,0,,,50.459594890727935,1.2230995948482588,,,
Weipa/Amrun Generic,0.5,0.05,0.4385,2.5338907893069806,0,0.11101672367920942,26.71685955796501,56.06621654525326,7.474497524072693,1.86490751298619,7.920026470704456,98.17760009799541
Malaysia Kuantan washed,0.0,0.0,0.0,inf,0,,,0.0,0.0,,,
Malaysia Kuantan washed,0.0,0.0,0.0,inf,0,,,0.0,0.0,,,
India Gujarat,0.0,0.0,0.0,inf,0,,,0.0,0.0,,,
India Gujarat,0.0,0.0,0.0,inf,0,,,0.0,0.0,,,
India Gujarat,0.0,0.0,0.0,inf,0,,,0.0,0.0,,,
SMB Generic,,,,,0,,,50.459594890727935,1.2230995948482588,,,
