,,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
Shanxi,mining characteristics mine automation level,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Shanxi,mining characteristics mine depth open pit,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
Shanxi,mining characteristics mine depth underground,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Shanxi,mining characteristics dressing automation level,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Shanxi,mining characteristics production,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
Shanxi,mining characteristics mine type open,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
Shanxi,mining characteristics mine type underground,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998
Shanxi,mining characteristics stripping ratio open pit,7.5002881460492015,7.5002881460492015,7.5002881460492015,7.5002881460492015,7.5002881460492015,7.5002881460492015,7.5002881460492015,7.5002881460492015,7.5002881460492015,7.5002881460492015,7.5002881460492015,7.5002881460492015,7.5002881460492015,7.5002881460492015,7.5002881460492015,7.5002881460492015,7.5002881460492015,7.5002881460492015,7.5002881460492015,7.5002881460492015,7.5002881460492015,7.5002881460492015,7.5002881460492015,7.5002881460492015,7.5002881460492015,7.5002881460492015,7.5002881460492015
Shanxi,mining characteristics stripping ratio underground,0.522096182577963,0.522096182577963,0.522096182577963,0.522096182577963,0.522096182577963,0.522096182577963,0.522096182577963,0.522096182577963,0.522096182577963,0.522096182577963,0.522096182577963,0.522096182577963,0.522096182577963,0.522096182577963,0.522096182577963,0.522096182577963,0.522096182577963,0.522096182577963,0.522096182577963,0.522096182577963,0.522096182577963,0.522096182577963,0.522096182577963,0.522096182577963,0.522096182577963,0.522096182577963,0.522096182577963
Shanxi,open pit mine mining cost electricity consumption,0.6153061544799102,0.6153061544799102,0.6153061544799102,0.6153061544799102,0.6153061544799102,0.6153061544799102,0.6153061544799102,0.6153061544799102,0.6153061544799102,0.6153061544799102,0.6153061544799102,0.6153061544799102,0.6153061544799102,0.6153061544799102,0.6153061544799102,0.6153061544799102,0.6153061544799102,0.6153061544799102,0.6153061544799102,0.6153061544799102,0.6153061544799102,0.6153061544799102,0.6153061544799102,0.6153061544799102,0.6153061544799102,0.6153061544799102,0.6153061544799102
Shanxi,open pit mine mining cost electricity price,0.431168091168091,0.431168091168091,0.431168091168091,0.431168091168091,0.431168091168091,0.431168091168091,0.431168091168091,0.431168091168091,0.431168091168091,0.431168091168091,0.431168091168091,0.431168091168091,0.431168091168091,0.431168091168091,0.431168091168091,0.431168091168091,0.431168091168091,0.431168091168091,0.431168091168091,0.431168091168091,0.431168091168091,0.431168091168091,0.431168091168091,0.431168091168091,0.431168091168091,0.431168091168091,0.431168091168091
Shanxi,open pit mine mining cost electricity cost,0.2653003801110814,0.2653003801110814,0.2653003801110814,0.2653003801110814,0.2653003801110814,0.2653003801110814,0.2653003801110814,0.2653003801110814,0.2653003801110814,0.2653003801110814,0.2653003801110814,0.2653003801110814,0.2653003801110814,0.2653003801110814,0.2653003801110814,0.2653003801110814,0.2653003801110814,0.2653003801110814,0.2653003801110814,0.2653003801110814,0.2653003801110814,0.2653003801110814,0.2653003801110814,0.2653003801110814,0.2653003801110814,0.2653003801110814,0.2653003801110814
Shanxi,open pit mine mining cost diesel usage,1.5352041029866068,1.5352041029866068,1.5352041029866068,1.5352041029866068,1.5352041029866068,1.5352041029866068,1.5352041029866068,1.5352041029866068,1.5352041029866068,1.5352041029866068,1.5352041029866068,1.5352041029866068,1.5352041029866068,1.5352041029866068,1.5352041029866068,1.5352041029866068,1.5352041029866068,1.5352041029866068,1.5352041029866068,1.5352041029866068,1.5352041029866068,1.5352041029866068,1.5352041029866068,1.5352041029866068,1.5352041029866068,1.5352041029866068,1.5352041029866068
