refinery,province,category,technology,ownership,owner,bauxite,Factor X,Alumina Grade,A/S,open stock,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
Huayin,Henan,Guangxi,H-B,"Chalco, Guangxi Investment Group, Minmetal",Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huayin,Shanxi,Guangxi,H-B,"Chalco, Guangxi Investment Group, Minmetal",Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huayin,Other,Guangxi,H-B,"Chalco, Guangxi Investment Group, Minmetal",Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jinjiang Tiandong,Guangxi,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jinjiang Tiandong,Guizhou,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jinjiang Tiandong,Henan,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jinjiang Tiandong,Shanxi,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jinjiang Tiandong,Other,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xinfa Jingxi,Guangxi,Guangxi,H-B,Xinfa,Xinfa,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xinfa Jingxi,Guizhou,Guangxi,H-B,Xinfa,Xinfa,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xinfa Jingxi,Henan,Guangxi,H-B,Xinfa,Xinfa,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xinfa Jingxi,Shanxi,Guangxi,H-B,Xinfa,Xinfa,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xinfa Jingxi,Other,Guangxi,H-B,Xinfa,Xinfa,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fangcheng,Guangxi,Guangxi,L-B,Chalco,Chalco,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fangcheng,Guizhou,Guangxi,L-B,Chalco,Chalco,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fangcheng,Henan,Guangxi,L-B,Chalco,Chalco,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fangcheng,Shanxi,Guangxi,L-B,Chalco,Chalco,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fangcheng,Other,Guangxi,L-B,Chalco,Chalco,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiangui,Guangxi,Guangxi,H-B,Zengshi,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiangui,Guizhou,Guangxi,H-B,Zengshi,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiangui,Henan,Guangxi,H-B,Zengshi,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiangui,Shanxi,Guangxi,H-B,Zengshi,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiangui,Other,Guangxi,H-B,Zengshi,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beihai_GIG,Guangxi,Guangxi,L-B,GIG,Other,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beihai_GIG,Guizhou,Guangxi,L-B,GIG,Other,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beihai_GIG,Henan,Guangxi,L-B,GIG,Other,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beihai_GIG,Shanxi,Guangxi,L-B,GIG,Other,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beihai_GIG,Other,Guangxi,L-B,GIG,Other,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baise Mining,Guangxi,Guangxi,H-B,Baise Mining,Other,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baise Mining,Guizhou,Guangxi,H-B,Baise Mining,Other,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baise Mining,Henan,Guangxi,H-B,Baise Mining,Other,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baise Mining,Shanxi,Guangxi,H-B,Baise Mining,Other,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baise Mining,Other,Guangxi,H-B,Baise Mining,Other,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalco Guizhou,Guangxi,Guizhou,Series & Sinter (95:25),Chalco,Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalco Guizhou,Guizhou,Guizhou,Series & Sinter (95:25),Chalco,Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalco Guizhou,Henan,Guizhou,Series & Sinter (95:25),Chalco,Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalco Guizhou,Shanxi,Guizhou,Series & Sinter (95:25),Chalco,Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalco Guizhou,Other,Guizhou,Series & Sinter (95:25),Chalco,Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalco Zunyi,Guangxi,Guizhou,H-B,Chalco,Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalco Zunyi,Guizhou,Guizhou,H-B,Chalco,Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
