province,country,Inventory,Geological Endowment,Grade (%Al2O3),A/S Ratio,Proportion Collapse Accumulated (for Guangxi only),Average distance from refinery,Deposit thickness (m),Scale of Open Pit mining (ktpy),Scale of Under Ground mining (ktpy),In mine freight - Open Pit (km),In mine freight - Under Ground (km),exclude from exclusions,Minimum Burial (m),Maximum Burial (m),General % for county / province (must be blank or it takes precidence over depth profile values),Minimum Burial (m) for contamination start,Maximum Burial (m) for contamination plateau,Maximum contamination (% of Inventory per county / province),Profile factor: Factor X,In Mine Transport costs - collapse accumulated,Dressing Costs - sedimentary bauxite - RMB/t ROM ore,Dressing Costs - collapse accumulated bauxite - RMB/t ROM ore,Explosives Costs - open pit - RMB/t ROM ore,Explosives Costs - underground - RMB/t ROM ore,Other Allowance,open pit - RMB/t ROM ore,underground - RMB/t ROM ore,High sulphur treatmenty charge,"Alumina DSP Factor
t.aa/t.R.Si",Recovery of AA after losses,"Caustic
Use Factor t.NAOH/t.R.Si",BE
,,'000 t,'000 t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beijing,,420,420,0.45,3,0,0,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Chongqing,Fengdu,1346,1346,0.5653,3,0,0,4,4500,1750,5,5,0,0,400,0.6,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Chongqing,Nanchuan,94536,95686,0.616214107586996,6.44968940790384,0,16,4,4500,1750,5,5,0,0,400,0.8,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Chongqing,Qinjiang,9500,11000,0.6436,4.7,0,0,4,4500,1750,5,5,0,0,400,0.6,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Chongqing,Wulong,40476,56776,0.563709812409813,5.22876518886751,0,48,4,4500,1750,5,5,0,0,400,0.6,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Chongqing,,145858,164808,0.6029578702707,5.88255559372977,0,0,4,4500,1750,5,5,1,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Fujian,,653,653,0.45,3,0,0,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Guangdong,,0,118,0.45,3,0,0,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Guangxi,Binyang,7520,24010,0.4292,2.06,0,0,4,4500,1750,5,5,0,0,400,0.25,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Guangxi,Chongzuo,87771,184374.8,0.477,4,0.5,52,4,4500,1750,5,5,0,0,400,0.25,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Guangxi,Debao,185222,317660,0.513519646908866,7.24282281064181,1,40,4,4500,1750,5,5,0,0,400,0.25,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Guangxi,Donglan,1890,148113,0.510376190476191,3.50856362897512,0,0,4,4500,1750,5,5,0,0,400,0.25,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Guangxi,Guigang,0,220000,0.27,4,0,0,4,4500,1750,5,5,0,0,400,0.25,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Guangxi,Heng,0,267487.62,0.5,5,0,0,4,4500,1750,5,5,0,0,400,0.25,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Guangxi,Jingxi,406000,923420,0.494257064951193,6.04884645273001,0.7,48.5,4,4500,1750,5,5,0,0,400,0.25,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Guangxi,Laibin,7520,7520,0.5078,3.58,0.5,0,4,4500,1750,5,5,0,0,400,0.25,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Guangxi,Lingyun,0,8020,0.5154,1.68,0.25,0,4,4500,1750,5,5,0,0,400,0.25,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Guangxi,Long'an,0,14968.1,0.468,2.97,0,40,4,4500,1750,5,5,0,0,400,0.25,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Guangxi,Longzhou,51192,51592,0.5,5,0.5,100,4,4500,1750,5,5,0,0,400,0.25,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Guangxi,Mashan,84390,295250,0.4286,2.01,0,0,4,4500,1750,5,5,0,0,400,0.25,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Guangxi,Napo,69970,150910,0.5608,6.54,0.2,248,4,4500,1750,5,5,0,0,400,0.25,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Guangxi,Ningming,0,77860,0.507,3.29,0,0,4,4500,1750,5,5,0,0,400,0.25,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Guangxi,Pingguo,362009.26,1470592.722,0.60120263515057,7.27002445461903,0.536649214659686,20,4,4500,1750,5,5,0,0,400,0.25,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Guangxi,Pingxiang,0,20150,0.411,3.32,0,0,4,4500,1750,5,5,0,0,400,0.25,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Guangxi,Shanglin,136740,423780,0.44796511627907,3.48642533936652,0,0,4,4500,1750,5,5,0,0,400,0.25,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Guangxi,Tiandong,16327.85,214257.46,0.513836568566062,5.42518762875052,0.25,42.5,4,4500,1750,5,5,0,0,400,0.25,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Guangxi,Tianyang,121130,707740,0.539432262858086,5.68539832929039,0.75,64,4,4500,1750,5,5,0,0,400,0.25,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Guangxi,Tian'e,580,46230,0.4948,4.92,0,0,4,4500,1750,5,5,0,0,400,0.25,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Guangxi,Tianlin,1080,30450,0.494781481481482,7.55361066235864,0,0,4,4500,1750,5,5,0,0,400,0.25,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Guangxi,Yizhou,30,53240,0.526,2.78,0,0,4,4500,1750,5,5,0,0,400,0.25,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Guangxi,Yongning,1000,12670,0.5492,9.86,0,0,4,4500,1750,5,5,0,0,400,0.25,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Guangxi,,1540372.11,5670295.702,0.510811445501957,5.66808895596406,0,0,4,4500,1750,5,5,1,0,400,0.25,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
