province,country,Inventory,Geological Endowment,Grade (%Al2O3),A/S Ratio,Proportion Collapse Accumulated (for Guangxi only),Average distance from refinery,Deposit thickness (m),Scale of Open Pit mining (ktpy),Scale of Under Ground mining (ktpy),In mine freight - Open Pit (km),In mine freight - Under Ground (km),exclude from exclusions,Minimum Burial (m),Maximum Burial (m),General % for county / province (must be blank or it takes precidence over depth profile values),Minimum Burial (m) for contamination start,Maximum Burial (m) for contamination plateau,Maximum contamination (% of Inventory per county / province),Profile factor: Factor X,In Mine Transport costs - collapse accumulated,Dressing Costs - sedimentary bauxite - RMB/t ROM ore,Dressing Costs - collapse accumulated bauxite - RMB/t ROM ore,Explosives Costs - open pit - RMB/t ROM ore,Explosives Costs - underground - RMB/t ROM ore,Other Allowance,open pit - RMB/t ROM ore,underground - RMB/t ROM ore,High sulphur treatmenty charge,"Alumina DSP Factor
t.aa/t.R.Si",Recovery of AA after losses,"Caustic
Use Factor t.NAOH/t.R.Si",BE
Guizhou,Daozhen,182982.15,290274.95,0.582525314176505,3.85403455540768,0,44,4,4500,1750,5,5,0,0,400,0.8,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Guizhou,Fuquan,7220,7220,0.6658,6,0,50,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Guizhou,Guiyang,9512,9512,0.663537594617326,6.74243314714007,0,18,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,0.1
Guizhou,Huangping,14915.2,15283.6,0.656217237436396,8.44573969726915,0,50,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Guizhou,Kaili,58277.3,78860.2,0.633358857142857,6.64906034697723,0,20.35,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Guizhou,Kaiyang,7769.2,7758.2,0.687108932128083,7.62692529625214,0,59.45,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Guizhou,Jinsha,21958.8,23145.9,0.6224,3.69,0,65,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Guizhou,Longli,396,10396,0.687568181818182,5,0,92,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Guizhou,Qingzhen,315509.3,328766.6,0.674580734123738,8.34763181733312,0,27.6,4,4500,1750,5,5,0,0,400,0.3,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,0.21
Guizhou,Tongzi,0,0,0.6,5,0,90,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Guizhou,Weng'an,5803.8,14337.3,0.6041,7,0,40,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Guizhou,Wuchuan,101900,120000,0.67,6.53,0,30,4,4500,1750,5,5,0,0,400,0.8,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Guizhou,Xifeng,1859,1859,0.6241,4.4,0,50.3,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,0.24
Guizhou,Xiuwen,87444.2,90137.2,0.638192913964244,5.73876689256602,0,18.7,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,0.21
Guizhou,Zheng'an,112871.8,192512.1,0.615838461538462,4.51314372899427,0,32,4,4500,1750,5,5,0,0,400,0.8,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Guizhou,Zhijin,14936.1,15671.7666666667,0.6578,8.06,0,137,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Guizhou,Zunyi,95808.04,104034.04,0.67071601477558,6.38834651220645,0,40.2,4,4500,1750,5,5,0,0,400,0.3,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,0.11
Guizhou,,1039162.89,1309768.85666667,0.625878502760611,5.95712566474907,0,0,4,4500,1750,5,5,1,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Hainan,Wenchang,21906,21906,0.444,6.3,0,0,4,4500,1750,5,5,1,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Hainan,,21906,21906,0.444,6.3,0,0,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Hebei,Fengfeng,0,3346,0.597648339730782,5,0,0,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Hebei,Jingxing,694,42878,0.6019,5,0,0,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Hebei,Tangshan,23869,23869,0.61119583141313,5,0,0,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Hebei,Wu'an,323.34,323.34,0.577,5,0,0,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Hebei,,24886.34,70416.34,0.61049230541735,5,0,0,4,4500,1750,5,5,1,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Henan,Baofeng,23864.86,37835.16,0.614699403611464,4.95351592363197,0,107.5,4,4500,1750,5,5,0,0,400,0,50,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Henan,Dengfeng,76438.2,142674.2,0.649083711652433,5.76881572151072,0,37.45,4,4500,1750,5,5,0,0,400,0,50,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,0.2
Henan,Gongyi,180433,246607,0.654932318333334,5.01539296696013,0,71.78,4,4500,1750,5,5,0,0,400,0,50,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,0.15
Henan,Hubin,2791.2,3777,0.697,11.85,0,15,4,4500,1750,5,5,0,0,400,0,50,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Henan,Jiaxian,4900,4900,0.6,4,0,143.1,4,4500,1750,5,5,0,0,400,0,50,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Henan,Jiyuan,6335.4,6335.4,0.6,4,0,80,4,4500,1750,5,5,0,0,400,0,50,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Henan,Lushan,7828.7,58220,0.666213971225516,5.541187066541,0,143.3,4,4500,1750,5,5,0,0,400,0,50,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Henan,Mianchi,150034.8,504491.2,0.672486060105845,6.64649411389392,0,44.05,4,4500,1750,5,5,0,0,400,0.1,50,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,0.1
Henan,Pingdingshan,4490,4490,0.664,5.4,0,36,4,4500,1750,5,5,0,0,400,0,50,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Henan,Qinyang,10330,10330,0.6,4,0,55,4,4500,1750,5,5,0,0,400,0,50,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Henan,Ruyang,0,45,0.6,4,0,152.5,4,4500,1750,5,5,0,0,400,0,50,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Henan,Ruzhou,6196,7457.3,0.632076508665692,6.15576885709102,0,113.5,4,4500,1750,5,5,0,0,400,0,50,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Henan,Sanmenxia,14398,14398,0.6468,5.7,0,63.55,4,4500,1750,5,5,0,0,400,0,50,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Henan,Shaan,81672.6,81672.6,0.648222396115566,7.31636832525999,0,41.775,4,4500,1750,5,5,0,0,400,0.1,50,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Henan,Xin'an,158774.7,427184.8,0.641838063620967,5.51784000203274,0,53.2,4,4500,1750,5,5,0,0,400,0.1,50,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Henan,Xingyang,22116,28088.4,0.6672,4,0,20,4,4500,1750,5,5,0,0,400,0,50,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Henan,Xinmi,42951,71445,0.678179926463026,7.12226496307418,0,88.3,4,4500,1750,5,5,0,0,400,0,50,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,0.2
Henan,Yanshi,58336.652173913,126387.652173913,0.665713302962301,5.77555141475873,0,80.4,4,4500,1750,5,5,0,0,400,0,50,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Henan,Yichuan,755,755,0.6,4,0,70,4,4500,1750,5,5,0,0,400,0,50,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Henan,Yiyang,2256,2256,0.6034,5.4,0,0,4,4500,1750,5,5,0,0,400,0,50,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Henan,Yuzhou,26059,58659,0.663218956406869,6.15908300435756,0,89.75,4,4500,1750,5,5,0,0,400,0,50,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,0.1
Henan,,880961.112173913,1838008.71217391,0.650821034914099,5.71670404598576,0,0,4,4500,1750,5,5,1,0,400,0,50,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Hubei,Yicheng,44425.4,44425.4,0.673,5.25,0,100,4,4500,1750,5,5,0,0,400,0.25,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Hubei,,44425.4,44425.4,0.673,5.25,0,0,4,4500,1750,5,5,1,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Hunan,Chenxi,4815,4815,0.6219,5,0,100,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Hunan,,4815,4815,0.6219,5,0,0,4,4500,1750,5,5,1,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Inner Mongolia,Qingshuihe,0,8000,0.55,5,0,0,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Inner Mongolia,,0,8000,0.55,5,0,0,4,4500,1750,5,5,1,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Jiangxi,,0,8000,0.45,3,0,0,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Liaoning,,0,8000,0.45,3,0,0,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Shandong,Tai'an,3615,3615,0.55,4,0,0,4,4500,1750,5,5,0,0,400,0.2,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Shandong,Zhangqiu,6045,6045,0.55,4,0,0,4,4500,1750,5,5,0,0,400,0.2,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Shandong,Zouwu,0,149730,0.55,2.4,0,0,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Shandong,Zibo,48286,48286,0.551292302116556,3.78646152889645,0,0,4,4500,1750,5,5,0,0,400,0.2,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Shandong,,57946,207676,0.551076866392849,3.81292954002158,0,0,4,4500,1750,5,5,1,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Shaanxi,Chencheng,341,484,0.4956,5,0,0,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Shaanxi,Pucheng,5500,5500,0.54,2.4,0,0,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Shaanxi,Fugu,33646,33646,0.4956,5,0,0,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Shaanxi,Hancheng,220,220,0.55,5,0,0,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Shaanxi,Tongchuan,943,943,0.55,5,0,0,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Shaanxi,Xixiang,151,151,0.55,5,0,0,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Shaanxi,Zhenba,461,461,0.55,5,0,0,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Shaanxi,,41262,41405,0.55,5,0,0,4,4500,1750,5,5,1,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Shanxi,Baode,130827,271677.8,0.591764272665428,8.4013445341009,0,20,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Shanxi,Fangshan,0,10000,0.6803,8.72,0,140.5,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Shanxi,Fenxi,5509.8,24298.9,0.629698791244691,4.29707411218562,0,20,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Shanxi,Fenyang,8674.2,16567.4,0.6458,6.1329534662868,0,27.5,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Shanxi,Gujiao,0,117529,0.55,5,0,0,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Shanxi,Gu,7350,9918,0.6,4.8,0,20,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Shanxi,Hequ,0,4245,0.55,5,0,0,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Shanxi,Heshun,3888.6,3888.6,0.6,4.8,0,113,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,0.1
Shanxi,Huairen,5886,14564.5,0.5595,3.78,0,142.15,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,0.1
Shanxi,Huozhou,20810,20810,0.575,3.15,0,0,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Shanxi,Jiaokou,144749.74,731765.34,0.648700225090271,5.73345420612463,0,85,4,4500,1750,5,5,0,0,400,0.1,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Shanxi,Jiexiu,4323,4323,0.6524,7.05,0,25,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Shanxi,Jingle,0,20429.9,0.55,5,0,0,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Shanxi,Jincheng,2926,24860,0.6502,4.82,0,178.5,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Shanxi,Lin,53325.5,53325.5,0.6307,6.73,0,145,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,0.1
Shanxi,Lingshi,51706.1,65936.7,0.63735280344815,4.47886768497423,0,20,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Shanxi,Liulin,40156,414642,0.6610844391997,6.78319112194514,0,16,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,0.1
Shanxi,Lvliang,17026.3,44163.3,0.55,5,0,0,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Shanxi,Loufan,58418,74198.9,0.620526423362662,7.04112671038007,0,312.5,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Shanxi,Yingze,0,12474.8,0.55,5,0,0,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Shanxi,Yu,63872,63872,0.588805441866257,4.06572943098454,0,56,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,0.3
Shanxi,Ningwu,37071.4,80547.8,0.583990358515079,5.03594796402366,0,77.35,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,0.1
Shanxi,Pinglu,123712.73,131359.73,0.62642819296166,5.15448013413666,0,75.5,4,4500,1750,5,5,0,0,400,0.1,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,0.1
Shanxi,Qinyuan,35793.7,120021.1,0.596445692443399,4.14214372272661,0,133,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Shanxi,Shenchi,3727.4,6378.2,0.620212941924208,6.80296130154068,0,84.05,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Shanxi,Shuozhou,4586,7323.8,0.6083,6.48,0,120,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Shanxi,Wutai,77794.8,80955.8,0.6232,4.32777777777778,0,112.75,4,4500,1750,5,5,0,0,400,0.1,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Shanxi,Wuxiang,8244.1,14574.6,0.5,5,0,40,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Shanxi,Xia,6303.6,6303.6,0.643263341582588,4.02352590224161,0,67.5,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,0.1
Shanxi,Xiangyuan,9470,48487.8,0.5,5,0,40,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Shanxi,Xiaoyi,295000.5,331002.7,0.645096598600302,5.28741798094421,0,85.38,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,0.25
Shanxi,Xing,126902.8,424954.2,0.619375025468981,8.47194474688492,0,138.55,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Shanxi,Xiyang,19152,27352,0.622,4.23,0,128,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,0.2
Shanxi,Yuanping,40978.1,64243.2,0.578776801401082,4.52113859521919,0,94.5,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Shanxi,Yangquan,111240.8,166705.4,0.615660692112324,5.3167314457292,0,249,4,4500,1750,5,5,0,0,400,0.1,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,0.2
