Province,County,minable_shallow_inventory,refractory_allocation,remaining_inventory_available_to_mining_for_SGA000t,remaining_inventory_available_to_mining_for_SGA_AA,remaining_inventory_available_to_mining_for_SGA_SiO2,remaining_inventory_available_to_mining_for_SGA_AS,extractable_to_SGA,working_stock_prior_to_AA_and_AS_de_rating000t,working_stock_prior_to_AA_and_AS_de_rating_AA,working_stock_prior_to_AA_and_AS_de_rating_AS,de_rated_Al2O3,de_rated_AS,de_rated_SiO2,province_county_000twstockprior,refractory_depletion_end_2009,refractory_depletion_end_2009_000t,SGA_depletion_end_2009,SGA_depletion_end_2009_000t,endowment_end_2009_prov_totals,geol_endowment_end_2009,endowment_end_2009_all,max_extr_inventory_end_2009_1,AA_end_2009_1,SiO2_end_2009_1,AS_end_2009_1,max_extr_inventory_end_2009_2,AA_end_2009_2,SiO2_end_2009_2,AS_end_2009_2,max_extr_inventory_end_2009_3,AA_end_2009_3,SiO2_end_2009_3,AS_end_2009_3,unallocated,check_sum,deposit
Henan,Baofeng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henan,Dengfeng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henan,Gongyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henan,Hubin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henan,Jiaxian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henan,Jiyuan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henan,Lushan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henan,Mianchi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henan,Pingdingshan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henan,Qinyang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henan,Ruyang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henan,Ruzhou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henan,Sanmenxia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henan,Shaan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henan,Xin'an,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henan,Xingyang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henan,Xinmi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henan,Yanshi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henan,Yichuan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henan,Yiyang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henan,Yuzhou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubei,Yicheng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hunan,Chenxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hunan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inner Mongolia,Qingshuihe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inner Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jiangxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liaoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shandong,Tai'an,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shandong,Zhangqiu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shandong,Zouwu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shandong,Zibo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shandong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaanxi,Chencheng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaanxi,Pucheng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaanxi,Fugu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaanxi,Hancheng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaanxi,Tongchuan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaanxi,Xixiang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaanxi,Zhenba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaanxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shanxi,Baode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shanxi,Fangshan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shanxi,Fenxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shanxi,Fenyang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shanxi,Gujiao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shanxi,Gu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shanxi,Hequ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shanxi,Heshun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shanxi,Huairen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shanxi,Huozhou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shanxi,Jiaokou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shanxi,Jiexiu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shanxi,Jingle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shanxi,Jincheng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shanxi,Lin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shanxi,Lingshi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shanxi,Liulin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shanxi,Lvliang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shanxi,Loufan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shanxi,Yingze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shanxi,Yu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shanxi,Ningwu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shanxi,Pinglu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shanxi,Qinyuan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shanxi,Shenchi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shanxi,Shuozhou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shanxi,Wutai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shanxi,Wuxiang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shanxi,Xia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shanxi,Xiangyuan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shanxi,Xiaoyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
