refinery,province,category,technology,ownership,owner,bauxite,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
Bosai Xianfeng domestic,Chongqing,Other,H-B,Bosai,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosai Xianfeng import,Chongqing,Other,L-B,Bosai,Other,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosai Wanzhou,Chongqing,Other,L-B,Bosai,Other,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shuijiang,Chongqing,Other,H-B,Bosai,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuoyuan,Chongqing,Other,H-B,SPIC,SPIC,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalco Pingguo ,Guangxi,Guangxi,H-B,Chalco,Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jinjiang Chongzuo domestic,Guangxi,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jinjiang Chongzuo import,Guangxi,Guangxi,L-B,Jinjiang,Jinjiang,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huayin,Guangxi,Guangxi,H-B,"Chalco, Guangxi Investment Group, Minmetal",Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jinjiang Tiandong,Guangxi,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xinfa Jingxi,Guangxi,Guangxi,H-B,Xinfa,Xinfa,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fangcheng,Guangxi,Guangxi,L-B,Chalco,Chalco,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiangui,Guangxi,Guangxi,H-B,Zengshi,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beihai_GIG,Guangxi,Guangxi,L-B,GIG,Other,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baise Mining,Guangxi,Guangxi,H-B,Baise Mining,Other,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalco Guizhou,Guizhou,Guizhou,Series & Sinter (95:25),Chalco,Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,
