Province,County,Inventory,GeologicalEndowment,AI203,AS,Include Inventory in Allocations Further Processed?,Include in Endowment in Further Processing? (Provinces only),Comment by row,deep bauxite,de-rating factor Al2O3,de-rating factor AS,cbx,Comment
Beijing,,420.00000000000000000000,420.00000000000000000000,0.45000000000000000000,3.00000000000000000000,NO,Y1,deliberately not allocated,0,,,1,"most of the entries in ""Include in Endowment in Further Processing? (Provinces only)"" relate to including a 2009 version of the data base and so are redundant, but the provincial total endowments should still be included to go forward in the current model form"
Chongqing,Fengdu,1346.00000000000000000000,1346.00000000000000000000,0.56530000000000000000,3.00000000000000000000,Yes,Y1,"deliberately not allocated - remote, undeveloped and poor bauxite for either sga and refractories",0,0.95000000000000000000,0.80000000000000000000,,
Chongqing,Nanchuan,94536.00000000000000000000,95686.00000000000000000000,0.61621410758699600000,6.44968940790384000000,Yes,Y1,,0,0.95000000000000000000,0.79982032975705200000,,
Chongqing,Qinjiang,9500.00000000000000000000,11000.00000000000000000000,0.64360000000000000000,4.70000000000000000000,Yes,Y1,deliberately not allocated,0,0.95000000000000000000,0.80000000000000000000,,
Chongqing,Wulong,40476.00000000000000000000,56776.00000000000000000000,0.56370981240981200000,5.22876518886751000000,Yes,Y1,,0,1.00000000000000000000,0.80000000000000000000,,
Chongqing,,145858.00000000000000000000,164808.00000000000000000000,0.60295787027070000000,5.88255559372977000000,NO,Y1,,0,,,,
Fujian,,653.00000000000000000000,653.00000000000000000000,0.45000000000000000000,3.00000000000000000000,NO,Y1,deliberately no allocation,0,,,,
Guangdong,,0.00000000000000000000,118.00000000000000000000,0.45000000000000000000,3.00000000000000000000,NO,Y1,deliberately no allocation,0,,,,
Guangxi,Binyang,7520.00000000000000000000,24010.00000000000000000000,0.42920000000000000000,2.06000000000000000000,NO,Y1,"deliberately no allocation - ""gibbsite"" resource",0,,,,
Guangxi,Chongzuo,87771.00000000000000000000,184374.80000000000000000000,0.47700000000000000000,4.00000000000000000000,Yes,Y1,,0,0.95000000000000000000,0.97500000000000000000,,
Guangxi,Debao,185222.00000000000000000000,317660.00000000000000000000,0.51351964690886600000,7.24282281064181000000,Yes,Y1,,0,0.95000000000000000000,0.85000000000000000000,,
Guangxi,Donglan,1890.00000000000000000000,148113.00000000000000000000,0.51037619047619100000,3.50856362897512000000,NO,Y1,deliberately no allocation - doubt if it will be developed,0,,,,
Guangxi,Guigang,0.00000000000000000000,220000.00000000000000000000,0.27000000000000000000,4.00000000000000000000,NO,Y1,"deliberately no allocation - ""gibbsite"" resource",0,,,,
Guangxi,Heng,0.00000000000000000000,267487.62000000000000000000,0.50000000000000000000,5.00000000000000000000,NO,Y1,"deliberately no allocation - ""gibbsite"" resource",0,,,,
Guangxi,Jingxi,406000.00000000000000000000,923420.00000000000000000000,0.49425706495119200000,6.04884645273001000000,Yes,Y1,,0,1.06011401518057000000,1.01578770495655000000,,
