No,Ref .No.,Refiney Name,Province,Province category,Technology,Ownership,Owner,Bauxite,ref cell,ref cell row,column 1,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
16,8,Jinjiang Tiandong,Guangxi,Guangxi,Guangxi,Chongzuo,,,1,,,,,,,0.0,0.0,0.0,23.510408262525598,27.150765400677177,44.01289213017608,38.954666092158845,56.25513661281256,54.026543480166836,50.51147781105352,57.91053832495101,58.42964102091906,58.93109093467045,59.42028155835617,59.901352046607705,60.37757136258707,60.85165410998201,49.02304601850096,49.327812616577944,49.66662141523513,50.04413784067287,50.42985885807393,
17,8,Jinjiang Tiandong,Guangxi,Guangxi,Guangxi,Napo,,,1,,,,,,,0.0,0.0,0.0,239.25363589666162,276.299725081485,447.8971335115805,396.42210350490103,572.4803168957372,549.801042084091,514.0299813538784,589.3265100403279,594.6091578798415,599.7121622064964,604.6904098854156,609.5860230177584,614.4322682024451,619.256770600003,498.8829573560005,501.98441420334905,505.43230145598005,509.2740968169165,513.1993861961766,
18,8,Jinjiang Tiandong,Guangxi,Guangxi,Guangxi,Tiandong,,,1,,,,,,,0.0,0.0,0.0,83.9932832336046,96.99882294018703,157.24045594361112,139.1694378852826,200.9770978922804,193.01522619219836,180.45730278084034,206.8911859557645,208.7457322181222,210.53721215172772,212.28489454633555,214.00356694554884,215.70490804697602,217.3986160435989,175.13973144265816,176.22854057377066,177.43896886875737,178.78768402899865,180.16571091402568,
19,8,Jinjiang Tiandong,Guangxi,Guangxi,Guangxi,Tianyang,,,1,,,,,,,0.0,0.0,0.0,701.8733566572081,810.5515920776509,1313.9489536146323,1162.9420443176575,1679.42560259917,1612.893787193544,1507.9559693342278,1728.8455166789563,1744.3426678811174,1759.3128177071053,1773.9169820098928,1788.2787299900854,1802.4956523879919,1816.6487902464162,1463.52072998284,1472.6191494063023,1482.7338554600271,1494.004128513412,1505.5193392317237,
20,9,Xinfa Jingxi,Guangxi,Guangxi,Guangxi,Jingxi,,,1,,,,,,,4012.165020821552,4078.7189862361083,4691.3451659639995,4757.844599047339,5106.0014632721195,5221.969997034935,4362.837343182338,5888.427977938611,5469.655831866155,5924.730862719251,5872.681622103521,6474.82346875588,6574.4546082809375,5335.388077924951,5406.758236020682,5482.85305026548,5565.034869167461,5655.1752335684305,5756.1353893910955,5885.938156702674,6067.474547843999,0,
21,9,Xinfa Jingxi,Guangxi,Guangxi,Guangxi,Napo,,,0,,,,,,,226.68968317844855,230.45002136389186,265.06376079600074,268.82101787266055,288.49208544788127,295.0443758050657,246.5028756176618,332.69964366138817,309.03877113384556,334.75077800074837,331.8099652964786,365.8313337441202,371.4605517190624,301.45256407504894,305.48501997931874,309.78442173451975,314.42774283253976,319.5207264315697,325.225034608904,332.5589672973262,342.81588015600005,0,
22,11,Tiangui,Guangxi,Guangxi,Guangxi,Jingxi,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1123.2200795,1207.0302020000001,1728.7615870000002,2020.6685992,2063.9119591999997,4115.3604328500005,4413.8666,4607.466393600001,0,0,0,0,
23,14,Chalco Guizhou,Guizhou,Guizhou,Guizhou,Guiyang,,,1,,,,,,,59.22617647614147,61.36799132309914,65.63344912925815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,14,Chalco Guizhou,Guizhou,Guizhou,Guizhou,Qingzhen,,,1,,,,,,,1847.2520649824914,1914.0548223822798,2047.0935598009796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,14,Chalco Guizhou,Guizhou,Guizhou,Guizhou,Xiuwen,,,0.5,,,,,,,114.8648175956427,119.01871012015067,127.29125212805381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
