,Ref. No.,Refiney Name,Province,Province category,Technology,Ownership,Owner,Bauxite,,,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0
Depleted AA production from domestic bx  by province,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Guangxi,,,,Domestic,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1.6,1.6,3.24
,,,,Guizhou,,,,Domestic,,,,,,,,0.0,0.0,0.0,1.02,1.08,0.0,0.0,0.0,0.08,0.0,1.0,1.0,1.2,1.5,1.5,1.17,1.6099999999999999,1.5499999999999998,0.8,0.4,0.0,0.0
,,,,Henan,,,,Domestic,,,,,,,,0.079683944,0.076638037,0.0,0.0,0.72,0.72,2.42,2.33,2.25,0.6,0.2,0.0,0.27,1.6099999999999999,1.7999999999999998,0.6600000000000001,0.33000000000000007,0.0,0.0,0.0,0.0,0.0
,,,,Shanxi,,,,Domestic,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.55,3.36,4.3,2.8000000000000003,2.0900000000000003,0.8,0.8,0.8,0.8,0.8,0.6,0.6,0.6
,,,,Other,,,,Domestic,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.09,0.7899999999999999,0.7,0.7,0.244,0.595,0.525,0.385,0.28,0.5249999999999999,0.19,0.095,0.0,0.0,0.0,0.0,0.0
,,,,Total,,,,Domestic,,,,,,,,0.079683944,0.076638037,0.0,1.02,1.8,0.8099999999999999,3.21,3.0300000000000002,3.0300000000000002,3.394,5.154999999999999,5.825,4.655,5.48,4.625,2.82,2.8350000000000004,2.3499999999999996,3.2,2.6,2.2,3.8400000000000003
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Depleted AA production from domestic bx  by province,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Guangxi,,,,Domestic,,,,,,,,5.2,5.3,6.04,6.890000000000001,7.0600000000000005,7.48,7.2,8.1,7.710000000000001,8.032,8.5,8.7,9.2,9.0,8.8,9.450000000000001,9.5,9.2,7.6,7.1,7.1,5.1
,,,,Guizhou,,,,Domestic,,,,,,,,1.446,1.854993378,2.32,1.73,2.12,3.69,3.73,4.34,4.300000000000001,4.04,3.9000000000000004,4.0,4.0,4.300000000000001,4.300000000000001,4.2,3.5,2.5,0.9,0.9,0.9,0.8
,,,,Henan,,,,Domestic,,,,,,,,9.324264221,9.889533741,10.6,10.75,10.489999999999998,10.939999999999998,7.98,9.129999999999997,8.219999999999999,6.720000000000001,5.6000000000000005,5.6000000000000005,5.2,2.8,1.3,1.3,1.3,1.3,1.1,1.1,1.1,1.1
,,,,Shanxi,,,,Domestic,,,,,,,,3.703090407,5.242989499,7.940999999999999,9.97,11.5125,14.452499999999999,16.1875,19.44,20.41,14.33,8.8,6.3,2.5999999999999996,1.0,1.0,0.2,0.2,0.2,0.2,0.2,0.2,0.1
,,,,Other,,,,Domestic,,,,,,,,0.45,1.1560000000000001,1.465,2.105,2.368,1.7679999999999998,1.6680000000000001,1.75,2.05,2.2,2.1,2.1,2.1,2.0,0.4,0.4,0.4,0.4,0.3,0.2,0.0,0.0
,,,,Total,,,,Domestic,,,,,,,,20.123354628,23.443516618,28.366,31.445000000000004,33.5505,38.3305,36.765499999999996,42.76,42.69,35.322,28.900000000000002,26.700000000000003,23.1,19.1,15.800000000000002,15.550000000000002,14.9,13.6,10.1,9.499999999999998,9.299999999999999,7.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
