No,Ref .No.,Refiney Name,Province,Province category,Technology,Ownership,Owner,Bauxite,ref cell,ref cell row,column 1,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
21,9,Xinfa Jingxi,Guangxi,Guangxi,Guangxi,Napo,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.62946892096262,67.20150450582759,68.04990005530911,0,
22,11,Tiangui,Guangxi,Guangxi,Guangxi,Jingxi,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,
23,14,Chalco Guizhou,Guizhou,Guizhou,Guizhou,Guiyang,,,1,,,,,,,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,14,Chalco Guizhou,Guizhou,Guizhou,Guizhou,Qingzhen,,,1,,,,,,,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,14,Chalco Guizhou,Guizhou,Guizhou,Guizhou,Xiuwen,,,0.5,,,,,,,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
26,14,Chalco Guizhou,Guizhou,Guizhou,Guizhou,Zhijin,,,0,,,,,,,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,15,Chalco Zunyi,Guizhou,Guizhou,Guizhou,Kaiyang,,,1,,,,,,,0.0,0.0,0.0,88.01173861488826,76.6060266597645,0.0,0.0,0.0,4.064507882798834,0.0,0,0,0,0,0,0,0,0,0,0,0,0,
28,15,Chalco Zunyi,Guizhou,Guizhou,Guizhou,Jinsha,,,1,,,,,,,0.0,0.0,0.0,30.671398771983295,26.69659785156608,0.0,0.0,0.0,1.416449033357741,0.0,0,0,0,0,0,0,0,0,0,0,0,0,
29,15,Chalco Zunyi,Guizhou,Guizhou,Guizhou,Weng'an,,,0,,,,,,,0.0,0.0,0.0,110.3971784766268,96.09046850612535,0.0,0.0,0.0,5.098299490712421,0.0,0,0,0,0,0,0,0,0,0,0,0,0,
30,15,Chalco Zunyi,Guizhou,Guizhou,Guizhou,Xifeng,,,0,,,,,,,0.0,0.0,0.0,1.983901605669032,1.7268016935700263,0.0,0.0,0.0,0.09161941170396326,0.0,0,0,0,0,0,0,0,0,0,0,0,0,
31,15,Chalco Zunyi,Guizhou,Guizhou,Guizhou,Zunyi,,,1,,,,,,,0.0,0.0,0.0,802.820176250139,698.7802399168987,0.0,0.0,0.0,37.07538319538039,0.0,0,0,0,0,0,0,0,0,0,0,0,0,
32,16,Xian,Guizhou,Guizhou,Guizhou,Kaiyang,,,0.6,,,,,,,0.0,0.0,0.0,113.12386937450374,98.46379914250437,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
33,16,Xian,Guizhou,Guizhou,Guizhou,Xifeng,,,0.3,,,,,,,0.0,0.0,0.0,1.7521743720858358,1.5251047050428062,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34,17,Huafei,Guizhou,Guizhou,Guizhou,Xiuwen,,,0.6,,,,,,,0.0,0.0,0.0,32.78376499062594,114.14086413488965,0.0,0.0,0.0,5.450404048203382,0.0,47.1795392416799,46.85598483612376,56.91853327927649,67.10644231645064,68.03239448693213,55.13445083500943,92.07204557706952,124.13898900455712,158.5361509382424,79.80830734105754,0.0,0,
35,17,Huafei,Guizhou,Guizhou,Guizhou,Zhijin,,,0,,,,,,,0.0,0.0,0.0,10.294751414345155,35.84249163643111,0.0,0.0,0.0,1.711534803889619,0.0,14.815309604473939,14.713707113876255,17.87354659072352,21.072751776572616,21.363519094463214,17.313309373561967,28.91244558693045,38.98210083544287,49.78349083953541,25.061388925609123,0.0,0,
36,18,Qingzhen Guanglv,Guizhou,Guizhou,Guizhou,Longli,,,0,,,,,,,0.0,0.0,0.0,0.623259449439946,0.5424893400716203,0.0,0.0,0.0,0.025329050725821187,0.0,0.29898023875545027,0.29692985049438614,0.3606969661631268,0.680413601939598,0.6898021260483577,0.5590257654653539,1.1669347607793537,0,0,0,0,0,
37,18,Qingzhen Guanglv,Guizhou,Guizhou,Guizhou,Qingzhen,,,0.6,,,,,,,0.0,0.0,0.0,561.656737236944,488.8699128496852,0.0,0.0,0.0,22.825537584319513,0.0,269.4291527366389,267.581424022998,325.04582373919783,613.1617963922328,621.6223625707877,503.77188463776235,1051.5954004334083,0,0,0,0,0,
38,18,Qingzhen Guanglv,Guizhou,Guizhou,Guizhou,Zhijin,,,0,,,,,,,0.0,0.0,0.0,83.89774938818248,73.02518195269617,0.0,0.0,0.0,3.4095758226290087,0.0,40.24611125537483,39.97010587650763,48.55387864463914,91.5913427500137,92.85514395432666,75.2511712653436,157.0825764458118,0,0,0,0,0,
39,19.1,Qizheng Chemical,Guizhou,Guizhou,Guizhou,Fuquan,,,0.2,,,,,,,0.0,0.0,0.0,41.261727428198995,59.85748873082417,0.0,0.0,0.0,3.0488408756227754,0.0,39.58685625715145,39.31537200889487,47.758537525182916,56.3068891432346,57.08382626604281,41.63541343542609,0,0,0,0,0,0,
40,19.1,Qizheng Chemical,Guizhou,Guizhou,Guizhou,Huangping,,,0.5,,,,,,,0.0,0.0,0.0,117.70444530517456,170.7512735787058,0.0,0.0,0.0,8.697215227195473,0.0,112.92665740259994,112.15221326654823,136.2374412891463,160.62272635088425,162.83904056691586,118.77043325430995,0,0,0,0,0,0,
41,19.1,Qizheng Chemical,Guizhou,Guizhou,Guizhou,Kaili,,,0.7,,,,,,,0.0,0.0,0.0,487.21157334119283,706.7872112612249,0.0,0.0,0.0,36.0002029111351,0.0,467.43497480178695,464.22933422455696,563.9248198856709,664.8623254361137,674.0362689809946,491.62399518740654,0,0,0,0,0,0,
42,20,SPIC - Wuchuan,Guizhou,Guizhou,Guizhou,Daozhen,,,1,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.78931689462325,322.1064080572864,391.28031073508356,461.31599127953723,467.6813494874539,379.0158286244037,632.9393350079042,853.3800748819939,1089.8396502505257,548.6335907924678,0.0,0.0,
43,20,SPIC - Wuchuan,Guizhou,Guizhou,Guizhou,Wuchuan,,,1,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0714912222873,153.3087761887366,186.2325743450458,219.5665416466399,222.59617797937955,180.39520912677116,301.2518609518534,406.17215811721064,518.716731000749,261.1259579954287,0.0,0.0,
44,20,SPIC - Wuchuan,Guizhou,Guizhou,Guizhou,Zheng'an,,,1,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.10313380616628,17.142351353977137,20.82375387987078,24.551019818008843,24.889781184329202,20.17104391739635,33.68473335224197,45.41648572079544,58.000752970948085,29.19802134543673,0.0,0.0,
45,21,Kaisheng,Guizhou,Guizhou,Guizhou,Kaili,,,0.7,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
46,21,Kaisheng,Guizhou,Guizhou,Guizhou,Kaiyang,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
47,22,Huajin,Guizhou,Guizhou,Guizhou,Guiyang,,,1,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.786429297059168,0.0,49.16387519894105,48.826712338291976,59.31248400529066,69.92888883866604,70.89378586143144,57.45336439445141,95.94452660663755,129.36018157106213,0,0,0,0,
48,22,Huajin,Guizhou,Guizhou,Guizhou,Jinsha,,,1,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36927723780371513,0.0,4.794781206476555,4.761898889099815,5.784539613023313,6.819920533860723,6.914023573790341,5.603226164183623,9.35713491209302,12.616047147493434,0,0,0,0,
