No,Ref .No.,Refiney Name,Province,Province category,Technology,Ownership,Owner,Bauxite,ref cell,ref cell row,column 1,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
13,7,Huayin,Guangxi,Guangxi,Guangxi,Jingxi,,,1,,,,,,125409.24193341404,123441.48753463122,121688.56643349241,119923.10069089495,117671.4765779549,115404.79880225737,113004.23681086983,110347.83378260558,107676.11036507864,105038.96929331117,102216.43468807753,99503.2477378876,96777.44344071375,94039.38219510164,91289.3501097576,88779.1226458048,86259.31930429896,83730.04171798792,81191.36263313034,78117.67009822394,74986.14263829222,71836.01352472689,67698.67111522697,
14,7,Huayin,Guangxi,Guangxi,Guangxi,Tiandong,,,1,,,,,,1599.127147682656,1574.035779370771,1551.683808516301,1529.171877547208,1500.4608097672826,1471.5577886638507,1440.9475737311973,1407.075060571926,1373.0071929873725,1339.3802942427697,1303.3893924326835,1268.792812133676,1234.035344632237,1199.1215854676543,1164.0551828893904,1132.0465938685204,1099.9159002441786,1067.664397963009,1035.2930146322224,996.0995301615318,956.1685769264476,916.000428977013,863.2440574027162,
15,7,Huayin,Guangxi,Guangxi,Guangxi,Tianyang,,,1,,,,,,20786.56469561921,20460.40967319187,20169.863240461782,19877.237535125918,19504.031146407815,19128.32961514686,18730.436793449433,18290.138354886418,17847.300563898803,17410.194791990267,16942.360067269867,16492.649701415197,16040.848012023876,15587.014735105557,15131.19729313917,14715.127434365291,14297.470375196885,13878.242961248008,13457.457250201085,12947.993132993544,12428.94288487435,11906.809415209922,11221.04547678614,
16,8,Jinjiang Tiandong,Guangxi,Guangxi,Guangxi,Chongzuo,,,1,,,,,,2130.1587636457316,2130.1587636457316,2130.1587636457316,2130.1587636457316,2106.648355383206,2079.4975899825286,2035.4846978523524,1996.5300317601937,1940.2748951473811,1886.2483516672144,1835.7368738561609,1777.82633553121,1719.396694510291,1660.4656035756204,1601.0453220172642,1541.1439699706566,1480.7663986080695,1419.9147444980874,1370.8916984795865,1311.2290686261267,1250.293239812692,1188.8376247619588,1107.8126949310556,
17,8,Jinjiang Tiandong,Guangxi,Guangxi,Guangxi,Napo,,,1,,,,,,21677.55759697854,21677.55759697854,21677.55759697854,21677.55759697854,21438.303961081878,21162.004236000394,20714.10710248881,20317.68499898391,19745.204682088173,19195.403640004082,18681.373658650205,18092.047148609876,17497.437990730035,16897.72582852354,16293.035418638125,15683.449395620366,15069.017127417921,14449.760356817918,13950.877399461919,13343.720732499662,12723.60735815094,12098.204379905337,11273.654297922501,
18,8,Jinjiang Tiandong,Guangxi,Guangxi,Guangxi,Tiandong,,,1,,,,,,7610.205078940668,7610.205078940668,7610.205078940668,7610.205078940668,7526.211795707063,7429.212972766876,7271.972516823265,7132.803078937983,6931.825981045702,6738.810754853504,6558.3534520726635,6351.462266116899,6142.716533898776,5932.179321747049,5719.894427200713,5505.890860255164,5290.185952208188,5072.787336164589,4897.64760472193,4684.496896670167,4466.797558085758,4247.241231219272,3957.771571472117,
19,8,Jinjiang Tiandong,Guangxi,Guangxi,Guangxi,Tianyang,,,1,,,,,,63593.18243043507,63593.18243043507,63593.18243043507,63593.18243043507,62891.30907377786,62080.75748170021,60766.808528085574,59603.86648376792,57924.440881168746,56311.547093975205,54803.591124640974,53074.74560796202,51330.4029400809,49571.0901223738,47797.173140363906,46008.89441037382,44206.39875798582,42389.74996773941,40926.22923775657,39145.07725542405,37325.91553639315,35491.23625990245,33072.33996349158,
20,9,Xinfa Jingxi,Guangxi,Guangxi,Guangxi,Jingxi,,,1,,,,,,124487.99525814498,120475.83023732342,116397.1112510873,111705.76608512331,106947.92148607597,101841.92002280385,96619.95002576892,92257.11268258658,86368.68470464797,80899.02887278181,74974.29801006256,69101.61638795903,62626.79291920315,56052.33831092221,50716.95023299726,45310.19199697658,39827.3389467111,34262.30407754364,28607.12884397521,21760.217747505078,14684.884811364569,7412.999789942077,7412.999789942077,
21,9,Xinfa Jingxi,Guangxi,Guangxi,Guangxi,Napo,,,0,,,,,,7033.6449418550055,6806.955258676557,6576.505237312665,6311.441476516664,6042.6204586440035,5754.128373196122,5459.083997391056,5212.581121773394,4879.881478112006,4570.842706978161,4236.091928977413,3904.2819636809345,3538.4506299368145,3166.990078217752,2865.537514142703,2560.0524941633844,2250.268072428865,1935.840329596325,1616.3196031647553,1229.4650996348887,829.7046278317349,418.8388476204258,418.8388476204258,
22,11,Tiangui,Guangxi,Guangxi,Guangxi,Jingxi,,,0,,,,,,28419.89972,28419.89972,28419.89972,28419.89972,28419.89972,28419.89972,28419.89972,28419.89972,28419.89972,28419.89972,28419.89972,27296.679640500002,26089.6494385,24360.8878515,22340.2192523,20276.307293100002,16160.946860250002,11747.08026025,7139.61386665,7139.61386665,7139.61386665,7139.61386665,7139.61386665,
