updated,Refiney No.,Refiney Name,Refiney Prov,Bx Prov category,Bx origin Prov,Bx Origin Cty,Owner,Bauxite,Self Supply,column 1,column 2,column 3,column 4,column 5,Allocation
,1.1,Bosai Xianfeng domestic,Guangxi,Chongqing,H-B,Bosai,Other,Domestic,3,,,,,,0.0
,1.1,Bosai Xianfeng domestic,Guizhou,Chongqing,H-B,Bosai,Other,Domestic,3,,,,,,1197.816501
,1.1,Bosai Xianfeng domestic,Henan,Chongqing,H-B,Bosai,Other,Domestic,3,,,,,,0.0
,1.1,Bosai Xianfeng domestic,Shanxi,Chongqing,H-B,Bosai,Other,Domestic,3,,,,,,0.0
,1.1,Bosai Xianfeng domestic,Other,Chongqing,H-B,Bosai,Other,Domestic,3,,,,,,39904.701518999995
,1.2,Bosai Xianfeng import,Guangxi,Chongqing,L-B,Bosai,Other,Imported,4,,,,,,0.0
,1.2,Bosai Xianfeng import,Guizhou,Chongqing,L-B,Bosai,Other,Imported,4,,,,,,0.0
,1.2,Bosai Xianfeng import,Henan,Chongqing,L-B,Bosai,Other,Imported,4,,,,,,0.0
,1.2,Bosai Xianfeng import,Shanxi,Chongqing,L-B,Bosai,Other,Imported,4,,,,,,0.0
,1.2,Bosai Xianfeng import,Other,Chongqing,L-B,Bosai,Other,Imported,4,,,,,,0.0
,2,Bosai Wanzhou,Guangxi,Chongqing,L-B,Bosai,Other,Imported,5,,,,,,0.0
,2,Bosai Wanzhou,Guizhou,Chongqing,L-B,Bosai,Other,Imported,5,,,,,,0.0
,2,Bosai Wanzhou,Henan,Chongqing,L-B,Bosai,Other,Imported,5,,,,,,0.0
,2,Bosai Wanzhou,Shanxi,Chongqing,L-B,Bosai,Other,Imported,5,,,,,,0.0
,2,Bosai Wanzhou,Other,Chongqing,L-B,Bosai,Other,Imported,5,,,,,,0.0
,3,Shuijiang,Guangxi,Chongqing,H-B,Bosai,Other,Domestic,6,,,,,,0.0
,3,Shuijiang,Guizhou,Chongqing,H-B,Bosai,Other,Domestic,6,,,,,,0.0
,3,Shuijiang,Henan,Chongqing,H-B,Bosai,Other,Domestic,6,,,,,,0.0
,3,Shuijiang,Shanxi,Chongqing,H-B,Bosai,Other,Domestic,6,,,,,,0.0
,3,Shuijiang,Other,Chongqing,H-B,Bosai,Other,Domestic,6,,,,,,6141.2949
,4,Tuoyuan,Guangxi,Chongqing,H-B,SPIC,SPIC,Domestic,7,,,,,,0.0
,4,Tuoyuan,Guizhou,Chongqing,H-B,SPIC,SPIC,Domestic,7,,,,,,0.0
,4,Tuoyuan,Henan,Chongqing,H-B,SPIC,SPIC,Domestic,7,,,,,,0.0
,4,Tuoyuan,Shanxi,Chongqing,H-B,SPIC,SPIC,Domestic,7,,,,,,0.0
,4,Tuoyuan,Other,Chongqing,H-B,SPIC,SPIC,Domestic,7,,,,,,1981.594657
,5,Chalco Pingguo ,Guangxi,Guangxi,H-B,Chalco,Chalco,Domestic,8,,,,,,250188.232761
,5,Chalco Pingguo ,Guizhou,Guangxi,H-B,Chalco,Chalco,Domestic,8,,,,,,0.0
,5,Chalco Pingguo ,Henan,Guangxi,H-B,Chalco,Chalco,Domestic,8,,,,,,0.0
,5,Chalco Pingguo ,Shanxi,Guangxi,H-B,Chalco,Chalco,Domestic,8,,,,,,0.0
,5,Chalco Pingguo ,Other,Guangxi,H-B,Chalco,Chalco,Domestic,8,,,,,,0.0
,6.1,Jinjiang Chongzuo domestic,Guangxi,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,9,,,,,,40147.960588
,6.1,Jinjiang Chongzuo domestic,Guizhou,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,9,,,,,,0.0
,6.1,Jinjiang Chongzuo domestic,Henan,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,9,,,,,,0.0
,6.1,Jinjiang Chongzuo domestic,Shanxi,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,9,,,,,,0.0
,6.1,Jinjiang Chongzuo domestic,Other,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,9,,,,,,0.0
,6.2,Jinjiang Chongzuo import,Guangxi,Guangxi,L-B,Jinjiang,Jinjiang,Imported,10,,,,,,0.0
,6.2,Jinjiang Chongzuo import,Guizhou,Guangxi,L-B,Jinjiang,Jinjiang,Imported,10,,,,,,0.0
,6.2,Jinjiang Chongzuo import,Henan,Guangxi,L-B,Jinjiang,Jinjiang,Imported,10,,,,,,0.0
,6.2,Jinjiang Chongzuo import,Shanxi,Guangxi,L-B,Jinjiang,Jinjiang,Imported,10,,,,,,0.0
,6.2,Jinjiang Chongzuo import,Other,Guangxi,L-B,Jinjiang,Jinjiang,Imported,10,,,,,,0.0
,7,Huayin,Guangxi,Guangxi,H-B,"Chalco, Guangxi Investment Group, Minmetal",Chalco,Domestic,11,,,,,,275260.36580100004
,7,Huayin,Guizhou,Guangxi,H-B,"Chalco, Guangxi Investment Group, Minmetal",Chalco,Domestic,11,,,,,,0.0
,7,Huayin,Henan,Guangxi,H-B,"Chalco, Guangxi Investment Group, Minmetal",Chalco,Domestic,11,,,,,,0.0
,7,Huayin,Shanxi,Guangxi,H-B,"Chalco, Guangxi Investment Group, Minmetal",Chalco,Domestic,11,,,,,,0.0
,7,Huayin,Other,Guangxi,H-B,"Chalco, Guangxi Investment Group, Minmetal",Chalco,Domestic,11,,,,,,0.0
,8,Jinjiang Tiandong,Guangxi,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,12,,,,,,95011.204822
,8,Jinjiang Tiandong,Guizhou,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,12,,,,,,0.0
,8,Jinjiang Tiandong,Henan,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,12,,,,,,0.0
,8,Jinjiang Tiandong,Shanxi,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,12,,,,,,0.0
,8,Jinjiang Tiandong,Other,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,12,,,,,,0.0
,9,Xinfa Jingxi,Guangxi,Guangxi,H-B,Xinfa,Xinfa,Domestic,13,,,,,,131440.04332300002
,9,Xinfa Jingxi,Guizhou,Guangxi,H-B,Xinfa,Xinfa,Domestic,13,,,,,,0.0
,9,Xinfa Jingxi,Henan,Guangxi,H-B,Xinfa,Xinfa,Domestic,13,,,,,,0.0
,9,Xinfa Jingxi,Shanxi,Guangxi,H-B,Xinfa,Xinfa,Domestic,13,,,,,,0.0
,9,Xinfa Jingxi,Other,Guangxi,H-B,Xinfa,Xinfa,Domestic,13,,,,,,0.0
,10,Fangcheng,Guangxi,Guangxi,L-B,Chalco,Chalco,Imported,14,,,,,,0.0
,10,Fangcheng,Guizhou,Guangxi,L-B,Chalco,Chalco,Imported,14,,,,,,0.0
,10,Fangcheng,Henan,Guangxi,L-B,Chalco,Chalco,Imported,14,,,,,,0.0
,10,Fangcheng,Shanxi,Guangxi,L-B,Chalco,Chalco,Imported,14,,,,,,0.0
,10,Fangcheng,Other,Guangxi,L-B,Chalco,Chalco,Imported,14,,,,,,0.0
,11,Tiangui,Guangxi,Guangxi,H-B,Zengshi,Other,Domestic,15,,,,,,28420.0
,11,Tiangui,Guizhou,Guangxi,H-B,Zengshi,Other,Domestic,15,,,,,,0.0
,11,Tiangui,Henan,Guangxi,H-B,Zengshi,Other,Domestic,15,,,,,,0.0
,11,Tiangui,Shanxi,Guangxi,H-B,Zengshi,Other,Domestic,15,,,,,,0.0
,11,Tiangui,Other,Guangxi,H-B,Zengshi,Other,Domestic,15,,,,,,0.0
,12,Beihai_GIG,Guangxi,Guangxi,L-B,GIG,Other,Imported,16,,,,,,0.0
,12,Beihai_GIG,Guizhou,Guangxi,L-B,GIG,Other,Imported,16,,,,,,0.0
,12,Beihai_GIG,Henan,Guangxi,L-B,GIG,Other,Imported,16,,,,,,0.0
,12,Beihai_GIG,Shanxi,Guangxi,L-B,GIG,Other,Imported,16,,,,,,0.0
,12,Beihai_GIG,Other,Guangxi,L-B,GIG,Other,Imported,16,,,,,,0.0
,13,Baise Mining,Guangxi,Guangxi,H-B,Baise Mining,Other,Imported,17,,,,,,0.0
,13,Baise Mining,Guizhou,Guangxi,H-B,Baise Mining,Other,Imported,17,,,,,,0.0
,13,Baise Mining,Henan,Guangxi,H-B,Baise Mining,Other,Imported,17,,,,,,0.0
,13,Baise Mining,Shanxi,Guangxi,H-B,Baise Mining,Other,Imported,17,,,,,,0.0
,13,Baise Mining,Other,Guangxi,H-B,Baise Mining,Other,Imported,17,,,,,,0.0
,14,Chalco Guizhou,Guangxi,Guizhou,Series & Sinter (95:25),Chalco,Chalco,Domestic,18,,,,,,0.0
,14,Chalco Guizhou,Guizhou,Guizhou,Series & Sinter (95:25),Chalco,Chalco,Domestic,18,,,,,,10356.014740399998
,14,Chalco Guizhou,Henan,Guizhou,Series & Sinter (95:25),Chalco,Chalco,Domestic,18,,,,,,0.0
,14,Chalco Guizhou,Shanxi,Guizhou,Series & Sinter (95:25),Chalco,Chalco,Domestic,18,,,,,,0.0
,14,Chalco Guizhou,Other,Guizhou,Series & Sinter (95:25),Chalco,Chalco,Domestic,18,,,,,,0.0
,15,Chalco Zunyi,Guangxi,Guizhou,H-B,Chalco,Chalco,Domestic,19,,,,,,0.0
,15,Chalco Zunyi,Guizhou,Guizhou,H-B,Chalco,Chalco,Domestic,19,,,,,,26832.12147471
