No,Ref .No.,Refiney Name,Province,Province category,Technology,Ownership,Owner,Bauxite,ref cell,ref cell row,,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,Bosai Xianfeng domestic,Chongqing,Other,Chongqing,Nanchuan,,,1,,,,,,1.93529291,1.93963798,1.942323266,1.946397459,1.951663319,1.959714679,1.965957277,1.971731225,1.979223089,1.9888781,1.998455203,2.007022666,2.015409114,2.023890957,2.031008644,2.036898179,2.04547656,2.054757592,2.061360716,2.066191918,2.069232163,2.070450051,2.070450051,
2,1.1,Bosai Xianfeng domestic,Chongqing,Other,Chongqing,Wulong,,,1,,,,,,1.93529291,1.93963798,1.942323266,1.946397459,1.951663319,1.959714679,1.965957277,1.971731225,1.979223089,1.9888781,1.998455203,2.007022666,2.015409114,2.023890957,2.031008644,2.036898179,2.04547656,2.054757592,2.061360716,2.066191918,2.069232163,2.070450051,2.070450051,
3,1.1,Bosai Xianfeng domestic,Chongqing,Guizhou,Guizhou,Zunyi,,,1,,,,,,2.262207649,2.288925854,2.307720267,2.34136772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4,3,Shuijiang,Chongqing,Other,Chongqing,Nanchuan,,,1,,,,,,2.000492988,2.000492988,2.040573908,2.052714705,2.064062245,2.075459957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
5,4,Tuoyuan,Chongqing,Other,Chongqing,Wulong,,,1,,,,,,2.776119662,2.776119662,2.776119662,2.776119662,2.776119662,2.776119662,2.776119662,2.776119662,2.776119662,2.776119662,2.776119662,2.776119662,2.776119662,2.776119662,2.776119662,2.776119662,2.776119662,2.776119662,2.776119662,2.776119662,2.776119662,2.776119662,2.776119662,
6,5,Chalco Pingguo ,Guangxi,Guangxi,Guangxi,Longzhou,,,1,,,,,,2.245081813,2.257670884,2.268115497,2.279015024,2.289598797,2.299073515,2.307746408,2.315816398,2.323419708,2.330513341,2.337321916,2.344032535,2.350549824,2.356911474,2.363149386,2.369291058,2.375360756,2.381380383,2.387370172,2.393349245,2.39924164,2.405099338,2.41103459,
7,5,Chalco Pingguo ,Guangxi,Guangxi,Guangxi,Pingguo,,,0.95,,,,,,2.245081813,2.257670884,2.268115497,2.279015024,2.289598797,2.299073515,2.307746408,2.315816398,2.323419708,2.330513341,2.337321916,2.344032535,2.350549824,2.356911474,2.363149386,2.369291058,2.375360756,2.381380383,2.387370172,2.393349245,2.39924164,2.405099338,2.41103459,
8,5,Chalco Pingguo ,Guangxi,Guangxi,Guangxi,Tiandong,,,1,,,,,,2.245081813,2.257670884,2.268115497,2.279015024,2.289598797,2.299073515,2.307746408,2.315816398,2.323419708,2.330513341,2.337321916,2.344032535,2.350549824,2.356911474,2.363149386,2.369291058,2.375360756,2.381380383,2.387370172,2.393349245,2.39924164,2.405099338,2.41103459,
9,6.1,Jinjiang Chongzuo domestic,Guangxi,Guangxi,Guangxi,Chongzuo,,,1,,,,,,2.747945591,2.747945591,2.747945591,2.747945591,2.747945591,2.747945591,2.747945591,2.747945591,2.747945591,2.747945591,2.747945591,2.747945591,2.747945591,2.747945591,3.029847281,3.080178103,3.111293736,3.134304184,3.152264261,3.166510246,3.181328619,3.19681388,3.211718643,
10,6.1,Jinjiang Chongzuo domestic,Guangxi,Guangxi,Guangxi,Longzhou,,,1,,,,,,2.747945591,2.747945591,2.747945591,2.747945591,2.747945591,2.747945591,2.747945591,2.747945591,2.747945591,2.747945591,2.747945591,2.747945591,2.747945591,2.747945591,3.029847281,3.080178103,3.111293736,3.134304184,3.152264261,3.166510246,3.181328619,3.19681388,3.211718643,
11,6.1,Jinjiang Chongzuo domestic,Guangxi,Guangxi,Guangxi,Napo,,,1,,,,,,2.747945591,2.747945591,2.747945591,2.747945591,2.747945591,2.747945591,2.747945591,2.747945591,2.747945591,2.747945591,2.747945591,2.747945591,2.747945591,2.747945591,3.029847281,3.080178103,3.111293736,3.134304184,3.152264261,3.166510246,3.181328619,3.19681388,3.211718643,
12,7,Huayin,Guangxi,Guangxi,Guangxi,Debao,,,1,,,,,,2.500585889,2.537598923,2.561958678,2.580293133,2.59802485,2.615394441,2.631382249,2.647111877,2.662378681,2.676582427,2.690372716,2.703697189,2.716270405,2.728484483,2.740413453,2.751592341,2.762088964,2.772474182,2.782779659,2.793033451,2.8043338,2.816792006,2.829375265,
13,7,Huayin,Guangxi,Guangxi,Guangxi,Jingxi,,,1,,,,,,2.500585889,2.537598923,2.561958678,2.580293133,2.59802485,2.615394441,2.631382249,2.647111877,2.662378681,2.676582427,2.690372716,2.703697189,2.716270405,2.728484483,2.740413453,2.751592341,2.762088964,2.772474182,2.782779659,2.793033451,2.8043338,2.816792006,2.829375265,
14,7,Huayin,Guangxi,Guangxi,Guangxi,Tiandong,,,1,,,,,,2.500585889,2.537598923,2.561958678,2.580293133,2.59802485,2.615394441,2.631382249,2.647111877,2.662378681,2.676582427,2.690372716,2.703697189,2.716270405,2.728484483,2.740413453,2.751592341,2.762088964,2.772474182,2.782779659,2.793033451,2.8043338,2.816792006,2.829375265,
15,7,Huayin,Guangxi,Guangxi,Guangxi,Tianyang,,,1,,,,,,2.500585889,2.537598923,2.561958678,2.580293133,2.59802485,2.615394441,2.631382249,2.647111877,2.662378681,2.676582427,2.690372716,2.703697189,2.716270405,2.728484483,2.740413453,2.751592341,2.762088964,2.772474182,2.782779659,2.793033451,2.8043338,2.816792006,2.829375265,
