updated,Refiney No.,Refiney Name,Refiney Prov,Bx Prov category,Bx origin Prov,Bx Origin Cty,Owner,Bauxite,Self Supply,column 1,column 2,column 3,column 4,column 5,Allocation
,,,,,,,,,,,,,,,
18/03/2020,,,,,,,,,,,,,,,
updated,Refiney No.,Refiney Name,Refiney Prov,Bx Prov category,Bx origin Prov,Bx Origin Cty,,,Self Supply,,,fix up below zero's,,,Allocation
updated,1.1,Bosai Xianfeng domestic,Chongqing,Other,Chongqing,Nanchuan,,,1,,,,,,33611.34426
updated,1.1,Bosai Xianfeng domestic,Chongqing,Other,Chongqing,Wulong,,,1,,,,,,6293.357259
updated,1.1,Bosai Xianfeng domestic,Chongqing,Guizhou,Guizhou,Zunyi,,,1,,,,,,1197.816501
updated,3,Shuijiang,Chongqing,Other,Chongqing,Nanchuan,,,1,,,,,,6141.2949
updated,4,Tuoyuan,Chongqing,Other,Chongqing,Wulong,,,1,,,,,,1981.594657
updated,5,Chalco Pingguo ,Guangxi,Guangxi,Guangxi,Longzhou,,,1,,,,,,8680.783642
updated,5,Chalco Pingguo ,Guangxi,Guangxi,Guangxi,Pingguo,,,0.95,,,,,,239963.2014
updated,5,Chalco Pingguo ,Guangxi,Guangxi,Guangxi,Tiandong,,,1,,,,,,1544.247719
updated,6.1,Jinjiang Chongzuo domestic,Guangxi,Guangxi,Guangxi,Chongzuo,,,1,,,,,,19171.44925
updated,6.1,Jinjiang Chongzuo domestic,Guangxi,Guangxi,Guangxi,Longzhou,,,1,,,,,,13750.65113
updated,6.1,Jinjiang Chongzuo domestic,Guangxi,Guangxi,Guangxi,Napo,,,1,,,,,,7225.860208
updated,7,Huayin,Guangxi,Guangxi,Guangxi,Debao,,,1,,,,,,127290.7056
updated,7,Huayin,Guangxi,Guangxi,Guangxi,Jingxi,,,1,,,,,,125557.5035
updated,7,Huayin,Guangxi,Guangxi,Guangxi,Tiandong,,,1,,,,,,1601.017671
updated,7,Huayin,Guangxi,Guangxi,Guangxi,Tianyang,,,1,,,,,,20811.13903
updated,8,Jinjiang Tiandong,Guangxi,Guangxi,Guangxi,Chongzuo,,,1,,,,,,2130.161027
updated,8,Jinjiang Tiandong,Guangxi,Guangxi,Guangxi,Napo,,,1,,,,,,21677.58063
updated,8,Jinjiang Tiandong,Guangxi,Guangxi,Guangxi,Tiandong,,,1,,,,,,7610.213165
updated,8,Jinjiang Tiandong,Guangxi,Guangxi,Guangxi,Tianyang,,,1,,,,,,63593.25
updated,9,Xinfa Jingxi,Guangxi,Guangxi,Guangxi,Jingxi,,,1,,,,,,124410.7621
updated,9,Xinfa Jingxi,Guangxi,Guangxi,Guangxi,Napo,,,0,,,,,,7029.281223
updated,11,Tiangui,Guangxi,Guangxi,Guangxi,Jingxi,,,0,,,,,,28420
updated,14,Chalco Guizhou,Guizhou,Guizhou,Guizhou,Guiyang,,,1,,,,,,299.1647056
updated,14,Chalco Guizhou,Guizhou,Guizhou,Guizhou,Qingzhen,,,1,,,,,,9330.884637
updated,14,Chalco Guizhou,Guizhou,Guizhou,Guizhou,Xiuwen,,,0.5,,,,,,580.2079652
updated,14,Chalco Guizhou,Guizhou,Guizhou,Guizhou,Zhijin,,,0,,,,,,145.7574326
updated,15,Chalco Zunyi,Guizhou,Guizhou,Guizhou,Kaiyang,,,1,,,,,,2284.1448
updated,15,Chalco Zunyi,Guizhou,Guizhou,Guizhou,Jinsha,,,1,,,,,,796.0065
updated,15,Chalco Zunyi,Guizhou,Guizhou,Guizhou,Weng'an,,,0,,,,,,2865.108054
updated,15,Chalco Zunyi,Guizhou,Guizhou,Guizhou,Xifeng,,,0,,,,,,51.48766071
updated,15,Chalco Zunyi,Guizhou,Guizhou,Guizhou,Zunyi,,,1,,,,,,20835.37446
updated,16,Xian,Guizhou,Guizhou,Guizhou,Kaiyang,,,0.6,,,,,,1866.863107
updated,16,Xian,Guizhou,Guizhou,Guizhou,Xifeng,,,0.3,,,,,,28.91582219
updated,17,Huafei,Guizhou,Guizhou,Guizhou,Xiuwen,,,0.6,,,,,,5584.458158
updated,17,Huafei,Guizhou,Guizhou,Guizhou,Zhijin,,,0,,,,,,1753.630449
updated,18,Qingzhen Guanglv,Guizhou,Guizhou,Guizhou,Longli,,,0,,,,,,27.25328571
updated,18,Qingzhen Guanglv,Guizhou,Guizhou,Guizhou,Qingzhen,,,0.6,,,,,,24559.58196
updated,18,Qingzhen Guanglv,Guizhou,Guizhou,Guizhou,Zhijin,,,0,,,,,,3668.599548
updated,19.1,Qizheng Chemical,Guizhou,Guizhou,Guizhou,Fuquan,,,0.2,,,,,,2305.242857
updated,19.1,Qizheng Chemical,Guizhou,Guizhou,Guizhou,Huangping,,,0.5,,,,,,6576.005143
updated,19.1,Qizheng Chemical,Guizhou,Guizhou,Guizhou,Kaili,,,0.7,,,,,,27219.92193
updated,20,SPIC - Wuchuan,Guizhou,Guizhou,Guizhou,Daozhen,,,1,,,,,,81979.27074
updated,20,SPIC - Wuchuan,Guizhou,Guizhou,Guizhou,Wuchuan,,,1,,,,,,39018.60179
updated,20,SPIC - Wuchuan,Guizhou,Guizhou,Guizhou,Zheng'an,,,1,,,,,,4362.898184
updated,21,Kaisheng,Guizhou,Guizhou,Guizhou,Kaili,,,0.7,,,,,,1071.573385
updated,21,Kaisheng,Guizhou,Guizhou,Guizhou,Kaiyang,,,0,,,,,,170.6654238
updated,22,Huajin,Guizhou,Guizhou,Guizhou,Guiyang,,,1,,,,,,3497.97855
updated,22,Huajin,Guizhou,Guizhou,Guizhou,Jinsha,,,1,,,,,,341.1456429
updated,22,Huajin,Guizhou,Guizhou,Guizhou,Longli,,,0,,,,,,40.87992857
updated,22,Huajin,Guizhou,Guizhou,Guizhou,Qingzhen,,,1,,,,,,54031.08031
updated,22,Huajin,Guizhou,Guizhou,Guizhou,Xiuwen,,,0.5,,,,,,11224.55612
updated,22,Huajin,Guizhou,Guizhou,Guizhou,Zhijin,,,0,,,,,,1438.666489
updated,23.1,Chalco Zhengzhou domestic,Henan,Henan,Henan,Baofeng,,,0.5,,,,,,2446.400412
updated,23.1,Chalco Zhengzhou domestic,Henan,Henan,Henan,Dengfeng,,,0.3,,,,,,8469.21723
updated,23.1,Chalco Zhengzhou domestic,Henan,Henan,Henan,Gongyi,,,0.85,,,,,,14549.30659
updated,23.1,Chalco Zhengzhou domestic,Henan,Henan,Henan,Jiaxian,,,0.8,,,,,,253.1047056
updated,23.1,Chalco Zhengzhou domestic,Henan,Henan,Henan,Lushan,,,0.8,,,,,,1827.195375
updated,23.1,Chalco Zhengzhou domestic,Henan,Henan,Henan,Mianchi,,,0.8,,,,,,848.1423577
updated,23.1,Chalco Zhengzhou domestic,Henan,Henan,Henan,Pingdingshan,,,1,,,,,,507.6367864
updated,23.1,Chalco Zhengzhou domestic,Henan,Henan,Henan,Ruzhou,,,0.5,,,,,,454.0220319
updated,23.1,Chalco Zhengzhou domestic,Henan,Henan,Henan,Sanmenxia,,,0.8,,,,,,519.8880463
updated,23.1,Chalco Zhengzhou domestic,Henan,Henan,Henan,Shaan,,,0.8,,,,,,1615.924908
updated,23.1,Chalco Zhengzhou domestic,Henan,Henan,Henan,Xin'an,,,0.85,,,,,,4636.607327
updated,23.1,Chalco Zhengzhou domestic,Henan,Henan,Henan,Xingyang,,,1,,,,,,4624.478557
