,nan_1,nan_1,Ref. No.,Refinery,Refinery Province,Refinery Province Category,Technology,Refinery Ownership,Owner,Bauxite Source,Bauxite Self Supply,Bauxite Origin Province,Bauxite Origin Province Category,Bauxite Origin County,nan_1,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,nan_1,2018_1,2019_1,2020_1,2021_1,2022_1,2023_1,2024_1,2025_1,2026_1,2027_1,2028_1,2029_1,2030_1,2031_1
,,,1.1,Bosai Xianfeng domestic,Chongqing,Other,H-B,Bosai,Other,Domestic,1,Nanchuan,Other,Nanchuan,,1005.1276761728789,1009.9676969277247,845.2478930637983,848.779805095672,852.3518922706198,684.2795773928193,686.2638567471914,689.154051696748,692.2809811037156,694.5056801041558,522.10004249796,348.578848792253,0.0,0.0,,1.9888781,1.998455203,2.007022666,2.015409114,2.023890957,2.031008644,2.036898179,2.04547656,2.054757592,2.061360716,2.066191918,2.069232163,2.070450051,
,,,1.1,Bosai Xianfeng domestic,Chongqing,Other,H-B,Bosai,Other,Domestic,1,Wulong,Other,Wulong,,188.19918382712106,189.10542487227522,158.26343993620182,158.92475190432788,159.59358622938012,128.12388020718075,128.49541485280878,129.03657230325217,129.6220556962845,130.03860629584418,97.75753290204005,65.26758380774709,0.0,0.0,,1.9888781,1.998455203,2.007022666,2.015409114,2.023890957,2.031008644,2.036898179,2.04547656,2.054757592,2.061360716,2.066191918,2.069232163,2.070450051,
,,,1.1,Bosai Xianfeng domestic,Chongqing,Other,H-B,Bosai,Other,Domestic,1,Zunyi,Guizhou,Zunyi,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,,,3,Shuijiang,Chongqing,Other,H-B,Bosai,Other,Domestic,1,Nanchuan,Other,Nanchuan,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,,,4,Tuoyuan,Chongqing,Other,H-B,SPIC,SPIC,Domestic,1,Wulong,Other,Wulong,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.776119662,2.776119662,2.776119662,2.776119662,2.776119662,2.776119662,2.776119662,2.776119662,2.776119662,2.776119662,2.776119662,2.776119662,2.776119662,
,,,5,Chalco Pingguo ,Guangxi,Guangxi,H-B,Chalco,Chalco,Domestic,1,Longzhou,Guangxi,Longzhou,,194.06842790092264,202.7452053858519,203.32730142410307,203.89262752994176,204.4444531158885,204.9855453552422,205.51828949396304,206.04479042616927,206.56694807339227,207.0865174971458,207.6051573879986,166.49302288819612,166.89951210167368,167.31138309899566,,2.330513341,2.337321916,2.344032535,2.350549824,2.356911474,2.363149386,2.369291058,2.375360756,2.381380383,2.387370172,2.393349245,2.39924164,2.405099338,
,,,5,Chalco Pingguo ,Guangxi,Guangxi,H-B,Chalco,Chalco,Domestic,0.95,Pingguo,Guangxi,Pingguo,,5364.640241055609,5604.492700117629,5620.583600965013,5636.2109299927415,5651.4650636838,5666.422495105059,5681.149159692804,5695.703243107696,5710.137264946103,5724.499740433943,5738.836520811769,4602.372369899344,4613.608965237201,4624.994329411354,,2.330513341,2.337321916,2.344032535,2.350549824,2.356911474,2.363149386,2.369291058,2.375360756,2.381380383,2.387370172,2.393349245,2.39924164,2.405099338,
,,,5,Chalco Pingguo ,Guangxi,Guangxi,H-B,Chalco,Chalco,Domestic,1,Tiandong,Guangxi,Tiandong,,34.52334944346902,36.06688449651931,36.17043511088541,36.271002477316344,36.36916820031181,36.46542453969893,36.56019581323346,36.65385646613549,36.74674448050566,36.839172068910436,36.93143430023213,29.617887212458605,29.690198661124793,29.763467489650758,,2.330513341,2.337321916,2.344032535,2.350549824,2.356911474,2.363149386,2.369291058,2.375360756,2.381380383,2.387370172,2.393349245,2.39924164,2.405099338,
,,,6.1,Jinjiang Chongzuo domestic,Guangxi,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,1,Chongzuo,Guangxi,Chongzuo,,0.0,0.0,0.0,0.0,393.6595931751821,723.4061522953639,735.4231362909618,594.2818423448921,598.6770208754162,451.5806537910182,453.62147609763423,455.7442963986633,457.96265238265244,460.09784856636486,,2.747945591,2.747945591,2.747945591,2.747945591,2.747945591,3.029847281,3.080178103,3.111293736,3.134304184,3.152264261,3.166510246,3.181328619,3.19681388,
,,,6.1,Jinjiang Chongzuo domestic,Guangxi,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,1,Longzhou,Guangxi,Longzhou,,0.0,0.0,0.0,0.0,282.3508885083197,518.8603895195455,527.4795268838352,426.2464553626937,429.39888092213874,323.8945551984081,325.3583274563452,326.8809124727665,328.47202010475644,330.00348167729965,,2.747945591,2.747945591,2.747945591,2.747945591,2.747945591,3.029847281,3.080178103,3.111293736,3.134304184,3.152264261,3.166510246,3.181328619,3.19681388,
