,nan_1,nan_1,Ref. No.,Refinery,Refinery Province,Refinery Province Category,Technology,Refinery Ownership,Owner,Bauxite Source,Bauxite Self Supply,Bauxite Origin Province,Bauxite Origin Province Category,Bauxite Origin County,nan_1,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,nan_1,2018_1,2019_1,2020_1,2021_1,2022_1,2023_1,2024_1,2025_1,2026_1,2027_1,2028_1,2029_1,2030_1,2031_1
,,,6.1,Jinjiang Chongzuo domestic,Guangxi,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,1,Napo,Guangxi,Napo,,0.0,0.0,0.0,0.0,148.37319561649818,272.6570986850908,277.1863883252031,223.98919669241417,225.645771802445,170.20406931057357,170.9732702460206,171.77337682857015,172.60949151259106,173.4142626563355,,2.747945591,2.747945591,2.747945591,2.747945591,2.747945591,3.029847281,3.080178103,3.111293736,3.134304184,3.152264261,3.166510246,3.181328619,3.19681388,
,,,7,Huayin,Guangxi,Guangxi,H-B,"Chalco, Guangxi Investment Group, Minmetal",Chalco,Domestic,1,Debao,Guangxi,Debao,,2673.544299899386,2861.4970150358768,2750.639919456403,2763.4314369333792,2775.8575809049908,2787.993666711306,2544.878770252461,2554.5868337014012,2564.1918614589063,2573.72313876472,2583.206613909843,2593.6580233857444,2605.18030577199,2616.8182465426958,,2.676582427,2.690372716,2.703697189,2.716270405,2.728484483,2.740413453,2.751592341,2.762088964,2.772474182,2.782779659,2.793033451,2.8043338,2.816792006,
,,,7,Huayin,Guangxi,Guangxi,H-B,"Chalco, Guangxi Investment Group, Minmetal",Chalco,Domestic,1,Jingxi,Guangxi,Jingxi,,2637.1410717674758,2822.5346052336345,2713.18695018992,2725.8042971738614,2738.0612456121057,2750.0320853440435,2510.227463952789,2519.803341505852,2529.277586311048,2538.67908485757,2548.0334321220726,2558.3425342333767,2569.707928149765,2581.1874056352813,,2.676582427,2.690372716,2.703697189,2.716270405,2.728484483,2.740413453,2.751592341,2.762088964,2.772474182,2.782779659,2.793033451,2.8043338,2.816792006,
,,,7,Huayin,Guangxi,Guangxi,H-B,"Chalco, Guangxi Investment Group, Minmetal",Chalco,Domestic,1,Tiandong,Guangxi,Tiandong,,33.62689874460277,35.99090181008622,34.59658029900744,34.75746750143918,34.91375916458273,35.06640257826402,32.00858902086987,32.130693624341745,32.25150228116963,32.371383330786585,32.49066314165937,32.62211728969714,32.767040500104976,32.913418420944716,,2.676582427,2.690372716,2.703697189,2.716270405,2.728484483,2.740413453,2.751592341,2.762088964,2.772474182,2.782779659,2.793033451,2.8043338,2.816792006,
,,,7,Huayin,Guangxi,Guangxi,H-B,"Chalco, Guangxi Investment Group, Minmetal",Chalco,Domestic,1,Tianyang,Guangxi,Tianyang,,437.1057719085355,467.8347247204013,449.71036585467084,451.8016893913206,453.8332769183207,455.8174419663872,416.0698587738788,417.65705916840614,419.2274139488766,420.7857110469232,422.3361928264248,424.04492509118205,425.9287375781409,427.83145940107715,,2.676582427,2.690372716,2.703697189,2.716270405,2.728484483,2.740413453,2.751592341,2.762088964,2.772474182,2.782779659,2.793033451,2.8043338,2.816792006,
,,,8,Jinjiang Tiandong,Guangxi,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,1,Chongzuo,Guangxi,Chongzuo,,54.026543480166836,50.51147781105352,57.91053832495101,58.42964102091906,58.93109093467045,59.42028155835617,59.901352046607705,60.37757136258707,60.85165410998201,49.02304601850096,49.327812616577944,49.66662141523513,50.04413784067287,50.42985885807393,,2.536564841,2.560175831,2.582973751,2.606127199,2.628493283,2.650312568,2.671769672,2.6930104,2.714155831,2.733208081,2.750199896,2.769089684,2.790137559,
,,,8,Jinjiang Tiandong,Guangxi,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,1,Napo,Guangxi,Napo,,549.801042084091,514.0299813538784,589.3265100403279,594.6091578798415,599.7121622064964,604.6904098854156,609.5860230177584,614.4322682024451,619.256770600003,498.8829573560005,501.98441420334905,505.43230145598005,509.2740968169165,513.1993861961766,,2.536564841,2.560175831,2.582973751,2.606127199,2.628493283,2.650312568,2.671769672,2.6930104,2.714155831,2.733208081,2.750199896,2.769089684,2.790137559,
,,,8,Jinjiang Tiandong,Guangxi,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,1,Tiandong,Guangxi,Tiandong,,193.01522619219836,180.45730278084034,206.8911859557645,208.7457322181222,210.53721215172772,212.28489454633555,214.00356694554884,215.70490804697602,217.3986160435989,175.13973144265816,176.22854057377066,177.43896886875737,178.78768402899865,180.16571091402568,,2.536564841,2.560175831,2.582973751,2.606127199,2.628493283,2.650312568,2.671769672,2.6930104,2.714155831,2.733208081,2.750199896,2.769089684,2.790137559,
,,,8,Jinjiang Tiandong,Guangxi,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,1,Tianyang,Guangxi,Tianyang,,1612.893787193544,1507.9559693342278,1728.8455166789563,1744.3426678811174,1759.3128177071053,1773.9169820098928,1788.2787299900854,1802.4956523879919,1816.6487902464162,1463.52072998284,1472.6191494063023,1482.7338554600271,1494.004128513412,1505.5193392317237,,2.536564841,2.560175831,2.582973751,2.606127199,2.628493283,2.650312568,2.671769672,2.6930104,2.714155831,2.733208081,2.750199896,2.769089684,2.790137559,
,,,9,Xinfa Jingxi,Guangxi,Guangxi,H-B,Xinfa,Xinfa,Domestic,1,Jingxi,Guangxi,Jingxi,,5469.655831866155,5924.730862719251,5872.681622103521,6474.82346875588,6574.4546082809375,5335.388077924951,5406.758236020682,5482.85305026548,5565.034869167461,5655.1752335684305,5756.1353893910955,5885.938156702674,6067.474547843999,0,,2.626679365,2.661344235,2.697605038,2.736261921,2.778366064,2.818420321,2.856121628,2.896318736,2.939731306,2.98734798,3.040680212,3.109248562,3.205145214,
,,,9,Xinfa Jingxi,Guangxi,Guangxi,H-B,Xinfa,Xinfa,Domestic,0,Napo,Guangxi,Napo,,309.03877113384556,334.75077800074837,331.8099652964786,365.8313337441202,371.4605517190624,301.45256407504894,305.48501997931874,309.78442173451975,314.42774283253976,319.5207264315697,325.225034608904,332.5589672973262,342.81588015600005,0,,2.626679365,2.661344235,2.697605038,2.736261921,2.778366064,2.818420321,2.856121628,2.896318736,2.939731306,2.98734798,3.040680212,3.109248562,3.205145214,
,,,11,Tiangui,Guangxi,Guangxi,H-B,Zengshi,Other,Domestic,0,Jingxi,Guangxi,Jingxi,,0.0,0.0,1123.2200795,1207.0302020000001,1728.7615870000002,2020.6685992,2063.9119591999997,4115.3604328500005,4413.8666,4607.466393600001,0,0,0,0,,2.246440159,2.246440159,2.246440159,2.414060404,2.46965941,2.525835749,2.579889949,2.655071247,2.758666625,2.879666496,0.0,0.0,0.0,
,,,14,Chalco Guizhou,Guizhou,Guizhou,Series & Sinter (95:25),Chalco,Chalco,Domestic,1,Guiyang,Guizhou,Guiyang,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,,,14,Chalco Guizhou,Guizhou,Guizhou,Series & Sinter (95:25),Chalco,Chalco,Domestic,1,Qingzhen,Guizhou,Qingzhen,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,,,14,Chalco Guizhou,Guizhou,Guizhou,Series & Sinter (95:25),Chalco,Chalco,Domestic,0.5,Xiuwen,Guizhou,Xiuwen,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,,,14,Chalco Guizhou,Guizhou,Guizhou,Series & Sinter (95:25),Chalco,Chalco,Domestic,0,Zhijin,Guizhou,Zhijin,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,,,15,Chalco Zunyi,Guizhou,Guizhou,H-B,Chalco,Chalco,Domestic,1,Kaiyang,Guizhou,Kaiyang,,249.49069418562303,256.6071158232976,0,0,0,0,0,0,0,0,0,0,0,0,,2.93079695,3.014394404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,,,15,Chalco Zunyi,Guizhou,Guizhou,H-B,Chalco,Chalco,Domestic,1,Jinsha,Guizhou,Jinsha,,86.94554489770883,89.4255618740098,0,0,0,0,0,0,0,0,0,0,0,0,,2.93079695,3.014394404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,,,15,Chalco Zunyi,Guizhou,Guizhou,H-B,Chalco,Chalco,Domestic,0,Weng'an,Guizhou,Weng'an,,312.94767184167983,321.8741273578806,0,0,0,0,0,0,0,0,0,0,0,0,,2.93079695,3.014394404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,,,15,Chalco Zunyi,Guizhou,Guizhou,H-B,Chalco,Chalco,Domestic,0,Xifeng,Guizhou,Xifeng,,5.623851960931605,5.784265566386868,0,0,0,0,0,0,0,0,0,0,0,0,,2.93079695,3.014394404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,,,15,Chalco Zunyi,Guizhou,Guizhou,H-B,Chalco,Chalco,Domestic,1,Zunyi,Guizhou,Zunyi,,2275.7891871140573,2340.703333378425,0,0,0,0,0,0,0,0,0,0,0,0,,2.93079695,3.014394404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,,,16,Xian,Guizhou,Guizhou,H-B,Zengshi Group,Other,Domestic,0.6,Kaiyang,Guizhou,Kaiyang,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,,,16,Xian,Guizhou,Guizhou,H-B,Zengshi Group,Other,Domestic,0.3,Xifeng,Guizhou,Xifeng,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,,,17,Huafei,Guizhou,Guizhou,H-B,Shanghai Huafei Investment Co.Ltd,Other,Domestic,0.6,Xiuwen,Guizhou,Xiuwen,,294.15594384784345,78.9593514696402,198.33249222206337,199.82275948893871,201.47701028144738,203.17662500216878,204.98168090400063,206.88851830084838,208.8438629575325,211.0262790018664,213.7374265756406,217.34612165788494,221.7075052444901,0,,2.576844902,2.593853786,2.606128223,2.62571063,2.647447813,2.669781087,2.693499879,2.7185561,2.744249716,2.772927095,2.808552111,2.855971079,2.913280523,
,,,17,Huafei,Guizhou,Guizhou,H-B,Shanghai Huafei Investment Co.Ltd,Other,Domestic,0,Zhijin,Guizhou,Zhijin,,92.37079145215657,24.794799970359794,62.28033007793663,62.74830351106134,63.267771018552615,63.80148369783127,64.36830699599939,64.96709169915162,65.58110864246754,66.2664304981336,67.11778452435944,68.25098624211509,69.62054705550989,0,,2.576844902,2.593853786,2.606128223,2.62571063,2.647447813,2.669781087,2.693499879,2.7185561,2.744249716,2.772927095,2.808552111,2.855971079,2.913280523,
,,,18,Qingzhen Guanglv,Guizhou,Guizhou,H-B,Guangdong Guang Al Group Co.Ltd,Other,Domestic,0,Longli,Guizhou,Longli,,1.3083931729633582,1.1995500612674845,1.2087244148781524,1.2187624297151285,1.2297658900015938,1.9911600977264672,2.0226760041216756,2.058798845770879,2.6353788682570403,0,0,0,0,0,,2.466372704,2.487319063,2.506342483,2.527156742,2.549972894,2.580472998,2.621316497,2.668130421,2.732286175,0.0,0.0,0.0,0.0,
,,,18,Qingzhen Guanglv,Guizhou,Guizhou,H-B,Guangdong Guang Al Group Co.Ltd,Other,Domestic,0.6,Qingzhen,Guizhou,Qingzhen,,1179.072120302446,1080.9870177969747,1089.2545820029502,1098.3004435085209,1108.2163262253669,1794.3546380409914,1822.755524979655,1855.3079995528838,2374.899085538953,0,0,0,0,0,,2.466372704,2.487319063,2.506342483,2.527156742,2.549972894,2.580472998,2.621316497,2.668130421,2.732286175,0.0,0.0,0.0,0.0,
,,,18,Qingzhen Guanglv,Guizhou,Guizhou,H-B,Guangdong Guang Al Group Co.Ltd,Other,Domestic,0,Zhijin,Guizhou,Zhijin,,176.1244737245908,161.4729636417578,162.7079350821716,164.05916506176393,165.54035488463182,268.0326002612824,272.2749966162236,277.1375384013455,354.75171059278966,0,0,0,0,0,,2.466372704,2.487319063,2.506342483,2.527156742,2.549972894,2.580472998,2.621316497,2.668130421,2.732286175,0.0,0.0,0.0,0.0,
,,,19.1,Qizheng Chemical,Guizhou,Guizhou,H-B,Qiya,Qiya,Domestic,0.2,Fuquan,Guizhou,Fuquan,,153.7180864881885,139.90096189710638,157.10182097865606,159.0461928311251,161.26583930761078,163.69818499034886,166.59746853494883,153.13837169716922,0,0,0,0,0,0,,2.40729637,2.434348672,2.460287218,2.490736981,2.525497672,2.563589331,2.608993453,2.664686409,0.0,0.0,0.0,0.0,0.0,
,,,19.1,Qizheng Chemical,Guizhou,Guizhou,H-B,Qiya,Qiya,Domestic,0.5,Huangping,Guizhou,Huangping,,438.5008391844445,399.0856937924865,448.15338201492915,453.6999556711124,460.0317860033,466.9703684917652,475.2409519760218,436.8471273268674,0,0,0,0,0,0,,2.40729637,2.434348672,2.460287218,2.490736981,2.525497672,2.563589331,2.608993453,2.664686409,0.0,0.0,0.0,0.0,0.0,
,,,19.1,Qizheng Chemical,Guizhou,Guizhou,H-B,Qiya,Qiya,Domestic,0.7,Kaili,Guizhou,Kaili,,1815.0774443273672,1651.9271491104075,1855.0320150064147,1877.9908324977625,1904.2000466890895,1932.9207775178863,1967.1550324890293,1808.2322690759638,0,0,0,0,0,0,,2.40729637,2.434348672,2.460287218,2.490736981,2.525497672,2.563589331,2.608993453,2.664686409,0.0,0.0,0.0,0.0,0.0,
,,,20,SPIC - Wuchuan,Guizhou,Guizhou,H-B,SPIC,SPIC,Domestic,1,Daozhen,Guizhou,Daozhen,,0.0,0.0,921.4427349212558,1138.4610999695365,1152.640686839155,1162.496311243167,1170.6903066117216,1177.7882160490692,1183.9061187684863,1189.6893446113947,1195.6639498067698,1201.9634713307858,1207.5776142670436,1211.5149351533905,,2.01292648,2.01292648,2.01292648,2.176134888,2.203238751,2.222077487,2.237740068,2.251307513,2.263001704,2.27405617,2.285476452,2.297517802,2.308249071,
,,,20,SPIC - Wuchuan,Guizhou,Guizhou,H-B,SPIC,SPIC,Domestic,1,Wuchuan,Guizhou,Wuchuan,,0.0,0.0,438.56705264198365,541.858446801752,548.6073193962287,553.2981721025376,557.1981609590953,560.5764601239623,563.4883183027938,566.2408847038994,569.0845394335222,572.0828403404998,574.7549305609255,576.628925711127,,2.01292648,2.01292648,2.01292648,2.176134888,2.203238751,2.222077487,2.237740068,2.251307513,2.263001704,2.27405617,2.285476452,2.297517802,2.308249071,
,,,20,SPIC - Wuchuan,Guizhou,Guizhou,H-B,SPIC,SPIC,Domestic,1,Zheng'an,Guizhou,Zheng'an,,0.0,0.0,49.038748436760486,60.588363628711775,61.3429945646167,61.867506254295236,62.303586829182905,62.68133422696853,63.00692612871998,63.314706684706024,63.63267235970808,63.96792992871435,64.2667119720311,64.47625433548234,,2.01292648,2.01292648,2.01292648,2.176134888,2.203238751,2.222077487,2.237740068,2.251307513,2.263001704,2.27405617,2.285476452,2.297517802,2.308249071,
,,,21,Kaisheng,Guizhou,Guizhou,H-B,Private,Other,Domestic,0.7,Kaili,Guizhou,Kaili,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.653913578,2.653913578,2.653913578,2.653913578,2.653913578,2.653913578,2.653913578,2.653913578,2.653913578,2.653913578,2.653913578,2.653913578,2.653913578,
,,,21,Kaisheng,Guizhou,Guizhou,H-B,Private,Other,Domestic,0,Kaiyang,Guizhou,Kaiyang,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.653913578,2.653913578,2.653913578,2.653913578,2.653913578,2.653913578,2.653913578,2.653913578,2.653913578,2.653913578,2.653913578,2.653913578,2.653913578,
,,,22,Huajin,Guizhou,Guizhou,H-B,"Chalco, Jinjiang",Chalco,Domestic,1,Guiyang,Guizhou,Guiyang,,195.98929215567762,198.37049805552493,200.55257530251689,202.88506455643036,205.4178602737561,208.01950358599572,210.84468324027566,213.9831933342045,217.50028149567262,222.0947321331965,0,0,0,0,,2.471393171,2.501419791,2.528935431,2.558347742,2.590285885,2.623092185,2.658717242,2.698293345,2.742643256,2.800578533,0.0,0.0,0.0,
,,,22,Huajin,Guizhou,Guizhou,H-B,"Chalco, Jinjiang",Chalco,Domestic,1,Jinsha,Guizhou,Jinsha,,19.11415182176133,19.34638252471424,19.55919290495014,19.786672443406335,20.033687172333543,20.287416366970962,20.562946281088742,20.869034219718753,21.212043556348338,21.66012429615459,0,0,0,0,,2.471393171,2.501419791,2.528935431,2.558347742,2.590285885,2.623092185,2.658717242,2.698293345,2.742643256,2.800578533,0.0,0.0,0.0,
,,,22,Huajin,Guizhou,Guizhou,H-B,"Chalco, Jinjiang",Chalco,Domestic,0,Longli,Guizhou,Longli,,2.29047381202751,2.3183023208947877,2.343803667091222,2.3710628377028535,2.4006629357385254,2.43106763698204,2.4640847469538505,2.5007636649695235,2.541866922396649,2.5955610234883677,0,0,0,0,,2.471393171,2.501419791,2.528935431,2.558347742,2.590285885,2.623092185,2.658717242,2.698293345,2.742643256,2.800578533,0.0,0.0,0.0,
,,,22,Huajin,Guizhou,Guizhou,H-B,"Chalco, Jinjiang",Chalco,Domestic,1,Qingzhen,Guizhou,Qingzhen,,3027.3236479290217,3064.1046416859144,3097.8098200595346,3133.838318347614,3172.9608249197736,3213.146777101096,3256.7855549291016,3305.2641514999164,3359.5904059904246,3430.558002797552,0,0,0,0,,2.471393171,2.501419791,2.528935431,2.558347742,2.590285885,2.623092185,2.658717242,2.698293345,2.742643256,2.800578533,0.0,0.0,0.0,
,,,22,Huajin,Guizhou,Guizhou,H-B,"Chalco, Jinjiang",Chalco,Domestic,0.5,Xiuwen,Guizhou,Xiuwen,,628.9040305065561,636.5450091100731,643.5470098847882,651.0316631368356,659.1590736578685,667.5074071153324,676.5730394870768,686.6441082998032,697.9299846661369,712.6729764496218,0,0,0,0,,2.471393171,2.501419791,2.528935431,2.558347742,2.590285885,2.623092185,2.658717242,2.698293345,2.742643256,2.800578533,0.0,0.0,0.0,
,,,22,Huajin,Guizhou,Guizhou,H-B,"Chalco, Jinjiang",Chalco,Domestic,0,Zhijin,Guizhou,Zhijin,,80.60747737495531,81.58683190287813,82.48428778111864,83.44360587801147,84.48530704052982,85.55532419362243,86.71727851550277,88.00810098138771,89.45462696902216,91.34425609998704,0,0,0,0,,2.471393171,2.501419791,2.528935431,2.558347742,2.590285885,2.623092185,2.658717242,2.698293345,2.742643256,2.800578533,0.0,0.0,0.0,
,,,23.1,Chalco Zhengzhou domestic,Henan,Henan,H-B,Chalco,Chalco,Domestic,0.5,Baofeng,Henan,Baofeng,,105.80698619372191,79.85234579765023,87.02249069135988,94.3439570175154,94.99199706599389,81.96303058031435,68.80661929691276,69.56021995495887,70.38064076620248,71.02619907156449,57.24092370173083,57.59442339290422,57.97672156066907,58.3954434045942,,2.138022237,2.15141548,2.164242959,2.178732483,2.193697998,2.208282437,2.224580246,2.248944837,2.275469784,2.296341268,2.313313556,2.327599762,2.343049819,
,,,23.1,Chalco Zhengzhou domestic,Henan,Henan,H-B,Chalco,Chalco,Domestic,0.3,Dengfeng,Henan,Dengfeng,,366.29422809557707,276.44160766490967,301.26400156965786,326.6102566038649,328.8537127107976,283.748607713125,238.20230033850405,240.81119773990926,243.65142047546482,245.88628501191732,198.16290697870195,199.38669097603938,200.71017269781711,202.15974989611766,,2.138022237,2.15141548,2.164242959,2.178732483,2.193697998,2.208282437,2.224580246,2.248944837,2.275469784,2.296341268,2.313313556,2.327599762,2.343049819,
,,,23.1,Chalco Zhengzhou domestic,Henan,Henan,H-B,Chalco,Chalco,Domestic,0.85,Gongyi,Henan,Gongyi,,629.2585113807434,474.9002882937347,517.5427910670318,561.0852372443165,564.9392806387108,487.4530167298465,409.2088092618397,413.6906459090854,418.56987739427035,422.40916129087265,340.42495429046704,342.52729835529135,344.80091359191516,347.29114881805157,,2.138022237,2.15141548,2.164242959,2.178732483,2.193697998,2.208282437,2.224580246,2.248944837,2.275469784,2.296341268,2.313313556,2.327599762,2.343049819,
,,,23.1,Chalco Zhengzhou domestic,Henan,Henan,H-B,Chalco,Chalco,Domestic,0.8,Jiaxian,Henan,Jiaxian,,10.946795937256917,8.261527579641225,9.00335111904624,9.760830381211237,9.827876636142607,8.47989912990346,7.1187361786940295,7.1967037394249385,7.281584516455288,7.348374010123132,5.922148749948234,5.9587218451885935,5.998274432217647,6.041595414553617,,2.138022237,2.15141548,2.164242959,2.178732483,2.193697998,2.208282437,2.224580246,2.248944837,2.275469784,2.296341268,2.313313556,2.327599762,2.343049819,
,,,23.1,Chalco Zhengzhou domestic,Henan,Henan,H-B,Chalco,Chalco,Domestic,0.8,Lushan,Henan,Lushan,,79.02632572637808,59.641028593959845,64.9963479944972,70.46468806824372,70.94870359308851,61.21748085992963,51.39107070617381,51.953928540167176,52.56669377046427,53.0488557027728,42.75275238489064,43.01677825637416,43.30231346172505,43.61505319675723,,2.138022237,2.15141548,2.164242959,2.178732483,2.193697998,2.208282437,2.224580246,2.248944837,2.275469784,2.296341268,2.313313556,2.327599762,2.343049819,
,,,23.1,Chalco Zhengzhou domestic,Henan,Henan,H-B,Chalco,Chalco,Domestic,0.8,Mianchi,Henan,Mianchi,,36.68221534434349,27.684003199348197,30.169820143038912,32.708098701703044,32.93276765282999,28.41575633311536,23.854561186956627,24.115826937135672,24.40025856073299,24.624067116542925,19.844851131962532,19.967405910831662,20.09994483118256,20.245111472826814,,2.138022237,2.15141548,2.164242959,2.178732483,2.193697998,2.208282437,2.224580246,2.248944837,2.275469784,2.296341268,2.313313556,2.327599762,2.343049819,
,,,23.1,Chalco Zhengzhou domestic,Henan,Henan,H-B,Chalco,Chalco,Domestic,1,Pingdingshan,Henan,Pingdingshan,,21.95532595015364,16.56964575724602,18.057476324152063,19.576706626483045,19.711177241372773,17.007620356546813,14.277618222921154,14.433993039734851,14.604233275990742,14.73818892035719,11.877695252168,11.951047695349589,12.03037592484907,12.117262196696885,,2.138022237,2.15141548,2.164242959,2.178732483,2.193697998,2.208282437,2.224580246,2.248944837,2.275469784,2.296341268,2.313313556,2.327599762,2.343049819,
