mine,country,field,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Chhattisgarh,India,LT Avail AA,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
Chhattisgarh,India,Total Alumina,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45
Chhattisgarh,India,LT React. Silica,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
Chhattisgarh,India,Total Silica,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
Chhattisgarh,India,Monhydrate,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
Chhattisgarh,India,Moisture,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
Chhattisgarh,India,Bauxite style,HT-B,HT-B,HT-B,HT-B,HT-B,HT-B,HT-B,HT-B,HT-B,HT-B,HT-B,HT-B,HT-B,HT-B,HT-B,HT-B,HT-B
Chhattisgarh,India,Total Organic Carbon,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
Chhattisgarh,India,Vessel size,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax,Panamax
Chhattisgarh,India,quartz,0.020000000000000004,0.020000000000000004,0.020000000000000004,0.020000000000000004,0.020000000000000004,0.020000000000000004,0.020000000000000004,0.020000000000000004,0.020000000000000004,0.020000000000000004,0.020000000000000004,0.020000000000000004,0.020000000000000004,0.020000000000000004,0.020000000000000004,0.020000000000000004,0.020000000000000004
Chhattisgarh,India,LT processing,3.1746031746031744,3.1746031746031744,3.1746031746031744,3.1746031746031744,3.1746031746031744,3.1746031746031744,3.1746031746031744,3.1746031746031744,3.1746031746031744,3.1746031746031744,3.1746031746031744,3.1746031746031744,3.1746031746031744,3.1746031746031744,3.1746031746031744,3.1746031746031744,3.1746031746031744
Chhattisgarh,India,HT-B processing,2.8490028490028485,2.8490028490028485,2.8490028490028485,2.8490028490028485,2.8490028490028485,2.8490028490028485,2.8490028490028485,2.8490028490028485,2.8490028490028485,2.8490028490028485,2.8490028490028485,2.8490028490028485,2.8490028490028485,2.8490028490028485,2.8490028490028485,2.8490028490028485,2.8490028490028485
Chhattisgarh,India,HT-D processing,3.053341882690605,3.053341882690605,3.053341882690605,3.053341882690605,3.053341882690605,3.053341882690605,3.053341882690605,3.053341882690605,3.053341882690605,3.053341882690605,3.053341882690605,3.053341882690605,3.053341882690605,3.053341882690605,3.053341882690605,3.053341882690605,3.053341882690605
